,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,Karntaka,Bellary,Rice,2,1680,1920,1800,2008,1
10,2008-02-01,Karntaka,Bellary,Rice,28,1792,2032,1912,2008,2
18,2008-03-01,Karntaka,Bellary,Rice,27,1702,1942,1822,2008,3
34,2008-04-01,Karntaka,Bellary,Rice,10,1560,1800,1680,2008,4
50,2008-05-01,Karntaka,Bellary,Rice,10,1734,1974,1854,2008,5
70,2008-06-01,Karntaka,Bellary,Rice,10,1702,1942,1822,2008,6
82,2008-07-01,Karntaka,Bellary,Rice,4,1648,1888,1768,2008,7
94,2008-08-01,Karntaka,Bellary,Rice,8,1560,1800,1680,2008,8
107,2008-09-01,Karntaka,Bellary,Rice,17,1648,1888,1768,2008,9
124,2008-10-01,Karntaka,Bellary,Rice,25,1792,2032,1912,2008,10
143,2008-11-01,Karntaka,Bellary,Rice,1,1734,1974,1854,2008,11
154,2008-12-01,Karntaka,Bellary,Rice,29,1792,2032,1912,2008,12
164,2009-01-01,Karntaka,Bellary,Rice,24,1792,2032,1912,2009,1
173,2009-02-01,Karntaka,Bellary,Rice,16,1904,2144,2024,2009,2
182,2009-03-01,Karntaka,Bellary,Rice,24,1814,2054,1934,2009,3
197,2009-04-01,Karntaka,Bellary,Rice,24,1672,1912,1792,2009,4
201,2009-05-01,Karntaka,Bellary,Rice,13,1846,2086,1966,2009,5
207,2009-06-01,Karntaka,Bellary,Rice,25,1814,2054,1934,2009,6
222,2009-07-01,Karntaka,Bellary,Rice,6,1760,2000,1880,2009,7
237,2009-08-01,Karntaka,Bellary,Rice,28,1672,1912,1792,2009,8
238,2009-09-01,Karntaka,Bellary,Rice,24,1760,2000,1880,2009,9
241,2009-10-01,Karntaka,Bellary,Rice,10,1904,2144,2024,2009,10
254,2009-11-01,Karntaka,Bellary,Rice,10,1846,2086,1966,2009,11
264,2009-12-01,Karntaka,Bellary,Rice,25,1904,2144,2024,2009,12
280,2010-01-01,Karntaka,Bellary,Rice,5,1904,2144,2024,2010,1
292,2010-02-01,Karntaka,Bellary,Rice,2,1814,2054,1934,2010,2
295,2010-03-01,Karntaka,Bellary,Rice,29,1724,1964,1844,2010,3
296,2010-04-01,Karntaka,Bellary,Rice,15,1582,1822,1702,2010,4
297,2010-05-01,Karntaka,Bellary,Rice,1,1756,1996,1876,2010,5
308,2010-06-01,Karntaka,Bellary,Rice,17,1724,1964,1844,2010,6
321,2010-07-01,Karntaka,Bellary,Rice,20,1670,1910,1790,2010,7
329,2010-08-01,Karntaka,Bellary,Rice,24,1582,1822,1702,2010,8
343,2010-09-01,Karntaka,Bellary,Rice,6,1670,1910,1790,2010,9
350,2010-10-01,Karntaka,Bellary,Rice,2,1814,2054,1934,2010,10
360,2010-11-01,Karntaka,Bellary,Rice,23,1756,1996,1876,2010,11
373,2010-12-01,Karntaka,Bellary,Rice,2,1814,2054,1934,2010,12
391,2011-01-01,Karntaka,Bellary,Rice,25,1814,2054,1934,2011,1
415,2011-02-01,Karntaka,Bellary,Rice,24,1672,1912,1792,2011,2
437,2011-03-01,Karntaka,Bellary,Rice,6,1582,1822,1702,2011,3
455,2011-04-01,Karntaka,Bellary,Rice,2,1440,1680,1560,2011,4
479,2011-05-01,Karntaka,Bellary,Rice,25,1614,1854,1734,2011,5
504,2011-06-01,Karntaka,Bellary,Rice,4,1582,1822,1702,2011,6
531,2011-07-01,Karntaka,Bellary,Rice,2,1528,1768,1648,2011,7
561,2011-08-01,Karntaka,Bellary,Rice,16,1440,1680,1560,2011,8
587,2011-09-01,Karntaka,Bellary,Rice,40,1528,1768,1648,2011,9
599,2011-10-01,Karntaka,Bellary,Rice,40,1672,1912,1792,2011,10
611,2011-11-01,Karntaka,Bellary,Rice,2,1614,1854,1734,2011,11
630,2011-12-01,Karntaka,Bellary,Rice,35,1672,1912,1792,2011,12
638,2012-01-01,Karntaka,Bellary,Rice,6,1672,1912,1792,2012,1
645,2012-02-01,Karntaka,Bellary,Rice,3,1846,2086,1966,2012,2
651,2012-03-01,Karntaka,Bellary,Rice,10,1756,1996,1876,2012,3
664,2012-04-01,Karntaka,Bellary,Rice,5,1614,1854,1734,2012,4
673,2012-05-01,Karntaka,Bellary,Rice,2,1788,2028,1908,2012,5
677,2012-06-01,Karntaka,Bellary,Rice,7,1756,1996,1876,2012,6
683,2012-07-01,Karntaka,Bellary,Rice,36,1702,1942,1822,2012,7
694,2012-08-01,Karntaka,Bellary,Rice,30,1614,1854,1734,2012,8
707,2012-09-01,Karntaka,Bellary,Rice,10,1702,1942,1822,2012,9
718,2012-10-01,Karntaka,Bellary,Rice,2,1846,2086,1966,2012,10
727,2012-11-01,Karntaka,Bellary,Rice,10,1788,2028,1908,2012,11
732,2012-12-01,Karntaka,Bellary,Rice,10,1846,2086,1966,2012,12
742,2013-01-01,Karntaka,Bellary,Rice,4,1846,2086,1966,2013,1
748,2013-02-01,Karntaka,Bellary,Rice,1,1814,2054,1934,2013,2
752,2013-03-01,Karntaka,Bellary,Rice,2,1724,1964,1844,2013,3
