,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2008,1
1,2008-02-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2008,2
2,2008-03-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2008,3
3,2008-04-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2008,4
4,2008-05-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2008,5
5,2008-06-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2008,6
6,2008-07-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2008,7
7,2008-08-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2008,8
8,2008-09-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2008,9
9,2008-10-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2008,10
10,2008-11-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2008,11
11,2008-12-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2008,12
12,2009-01-01,62676.0,Karnataka,Davangere,Maize,56.0,1445.0,1445.0,1445.0,2009,1
13,2009-02-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2009,2
14,2009-03-01,100699.0,Karnataka,Davangere,Maize,46.0,2400.0,2600.0,2500.0,2009,3
15,2009-04-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2009,4
16,2009-05-01,78976.0,Karnataka,Davangere,Maize,10.0,1200.0,1600.0,1400.0,2009,5
17,2009-06-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2009,6
18,2009-07-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2009,7
19,2009-08-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2009,8
20,2009-09-01,99036.0,Karnataka,Davangere,Maize,10.0,960.0,960.0,960.0,2009,9
23,2009-10-01,103130.0,Karnataka,Davangere,Maize,40.0,2400.0,2700.0,2600.0,2009,10
25,2009-11-01,97422.0,Karnataka,Davangere,Maize,1.0,2000.0,2250.0,2018.0,2009,11
26,2009-12-01,116041.0,Karnataka,Davangere,Maize,150.0,2200.0,2800.0,2500.0,2009,12
27,2010-01-01,117246.0,Karnataka,Davangere,Maize,16.0,2200.0,2500.0,2242.816890428117,2010,1
32,2010-02-01,124272.0,Karnataka,Davangere,Maize,14.0,2300.0,2500.0,2242.816890428117,2010,2
33,2010-03-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2010,3
34,2010-04-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2010,4
35,2010-05-01,145407.0,Karnataka,Davangere,Maize,16.0,870.0,885.0,2242.816890428117,2010,5
38,2010-06-01,155132.0,Karnataka,Davangere,Maize,8.0,1500.0,1500.0,2242.816890428117,2010,6
40,2010-07-01,158304.0,Karnataka,Davangere,Maize,11.0,1690.0,1690.0,2242.816890428117,2010,7
41,2010-08-01,165100.0,Karnataka,Davangere,Maize,7.0,1990.0,1990.0,2242.816890428117,2010,8
43,2010-09-01,176005.0,Karnataka,Davangere,Maize,20.0,900.0,1000.0,2242.816890428117,2010,9
44,2010-10-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2010,10
45,2010-11-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2010,11
46,2010-12-01,194939.0,Karnataka,Davangere,Maize,36.0,900.0,900.0,2242.816890428117,2010,12
48,2011-01-01,201016.0,Karnataka,Davangere,Maize,10.0,1530.0,1530.0,1530.0,2011,1
50,2011-02-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2011,2
51,2011-03-01,278358.0,Karnataka,Davangere,Maize,10.0,1000.0,1000.0,1000.0,2011,3
52,2011-04-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2011,4
53,2011-05-01,229274.0,Karnataka,Davangere,Maize,41.0,800.0,800.0,800.0,2011,5
54,2011-06-01,197720.0,Karnataka,Davangere,Maize,4.0,800.0,800.0,800.0,2011,6
55,2011-07-01,248483.0,Karnataka,Davangere,Maize,195.0,2100.0,2300.0,2200.0,2011,7
56,2011-08-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2011,8
57,2011-09-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2011,9
58,2011-10-01,272514.0,Karnataka,Davangere,Maize,7.0,1200.0,1200.0,1200.0,2011,10
59,2011-11-01,274017.0,Karnataka,Davangere,Maize,9.0,950.0,1100.0,1000.0,2011,11
60,2011-12-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2011,12
61,2012-01-01,344404.0,Karnataka,Davangere,Maize,7.0,1800.0,1800.0,1800.0,2012,1
62,2012-02-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2012,2
63,2012-03-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2012,3
64,2012-04-01,309036.0,Karnataka,Davangere,Maize,75.0,2400.0,2600.0,2500.0,2012,4
69,2012-05-01,307024.0,Karnataka,Davangere,Maize,56.0,7000.0,9000.0,8000.0,2012,5
74,2012-06-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2012,6
75,2012-07-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2012,7
76,2012-08-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2012,8
77,2012-09-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2012,9
78,2012-10-01,315658.0,Karnataka,Davangere,Maize,1.0,2500.0,2500.0,2500.0,2012,10
81,2012-11-01,315947.0,Karnataka,Davangere,Maize,35.0,1800.0,2000.0,1900.0,2012,11
82,2012-12-01,300951.0,Karnataka,Davangere,Maize,74.0,2100.0,2500.0,2400.0,2012,12
83,2013-01-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2013,1
84,2013-02-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2013,2
85,2013-03-01,392274.0,Karnataka,Davangere,Maize,12.0,2200.0,2200.0,2200.0,2013,3
88,2013-04-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2013,4
89,2013-05-01,447238.0,Karnataka,Davangere,Maize,16.0,2400.0,2400.0,2400.0,2013,5
90,2013-06-01,404172.0,Karnataka,Davangere,Maize,8.0,2200.0,2200.0,2200.0,2013,6
91,2013-07-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2013,7
92,2013-08-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2013,8
93,2013-09-01,437659.0,Karnataka,Davangere,Maize,14.0,1300.0,1450.0,1382.0,2013,9
94,2013-10-01,444312.0,Karnataka,Davangere,Maize,43.0,1950.0,1950.0,1950.0,2013,10
97,2013-11-01,452275.0,Karnataka,Davangere,Maize,15.0,1500.0,2300.0,2000.0,2013,11
99,2013-12-01,421172.0,Karnataka,Davangere,Maize,2.0,4800.0,5000.0,4900.0,2013,12
102,2014-01-01,462368.0,Karnataka,Davangere,Maize,186.0,3000.0,3200.0,3100.0,2014,1
103,2014-02-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2014,2
104,2014-03-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2014,3
105,2014-04-01,483297.0,Karnataka,Davangere,Maize,10.0,2200.0,2200.0,2200.0,2014,4
106,2014-05-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2014,5
107,2014-06-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2014,6
108,2014-07-01,508362.0,Karnataka,Davangere,Maize,334.0,2000.0,2000.0,2000.0,2014,7
110,2014-08-01,,Karnataka,Davangere,Maize,157.93243243243242,3678.0405405405404,3931.3513513513512,3876.7234476138506,2014,8
111,2014-09-01,504253.0,Karnataka,Davangere,Maize,16.0,1300.0,1300.0,1300.0,2014,9
114,2014-10-01,529024.0,Karnataka,Davangere,Maize,65.0,1800.0,2000.0,1900.0,2014,10
116,2014-11-01,519513.0,Karnataka,Davangere,Maize,10.0,4428.0,4428.0,4428.0,2014,11
118,2014-12-01,545300.0,Karnataka,Davangere,Maize,1310.0,1600.0,1600.0,1600.0,2014,12
121,2015-01-01,549914.0,Karnataka,Davangere,Maize,740.0,1820.0,2200.0,2000.0,2015,1
124,2015-02-01,576894.0,Karnataka,Davangere,Maize,215.0,3200.0,3300.0,3250.0,2015,2
125,2015-03-01,565916.0,Karnataka,Davangere,Maize,131.0,1550.0,1600.0,1580.0,2015,3
130,2015-04-01,570032.0,Karnataka,Davangere,Maize,203.0,15000.0,16000.0,15500.0,2015,4
142,2015-05-01,562342.0,Karnataka,Davangere,Maize,25.0,3000.0,3100.0,3050.0,2015,5
149,2015-06-01,588873.0,Karnataka,Davangere,Maize,505.0,3200.0,3300.0,3250.0,2015,6
153,2015-07-01,555407.0,Karnataka,Davangere,Maize,1400.0,1550.0,1800.0,1600.0,2015,7
164,2015-08-01,578213.0,Karnataka,Davangere,Maize,223.0,3000.0,3100.0,3050.0,2015,8
171,2015-09-01,611108.0,Karnataka,Davangere,Maize,404.0,3200.0,3300.0,3250.0,2015,9
175,2015-10-01,571568.0,Karnataka,Davangere,Maize,375.0,3200.0,3300.0,3250.0,2015,10
