,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,2432.0,Karnataka,Karwar(Uttar Kannad),Maize,3.0,1300.0,1600.0,1450.0,2008,1
8,2008-02-01,4992.0,Karnataka,Karwar(Uttar Kannad),Maize,2.0,1200.0,1500.0,1400.0,2008,2
13,2008-03-01,12168.0,Karnataka,Karwar(Uttar Kannad),Maize,21.0,810.0,1300.0,1100.0,2008,3
27,2008-04-01,16983.0,Karnataka,Karwar(Uttar Kannad),Maize,20.0,1100.0,1400.0,1300.0,2008,4
37,2008-05-01,15496.0,Karnataka,Karwar(Uttar Kannad),Maize,20.0,1100.0,1400.0,1300.0,2008,5
48,2008-06-01,20542.0,Karnataka,Karwar(Uttar Kannad),Maize,10.0,1100.0,1500.0,1300.0,2008,6
55,2008-07-01,25983.0,Karnataka,Karwar(Uttar Kannad),Maize,10.0,1200.0,1600.0,1400.0,2008,7
59,2008-08-01,1041.0,Karnataka,Karwar(Uttar Kannad),Maize,10.0,1300.0,1600.0,1440.0,2008,8
63,2008-09-01,43160.0,Karnataka,Karwar(Uttar Kannad),Maize,10.0,1600.0,1800.0,1700.0,2008,9
65,2008-10-01,1404.0,Karnataka,Karwar(Uttar Kannad),Maize,10.0,850.0,900.0,875.0,2008,10
74,2008-11-01,26637.0,Karnataka,Karwar(Uttar Kannad),Maize,10.0,1300.0,1600.0,1400.0,2008,11
86,2008-12-01,11551.0,Karnataka,Karwar(Uttar Kannad),Maize,3.0,1300.0,1600.0,1450.0,2008,12
91,2009-01-01,59838.0,Karnataka,Karwar(Uttar Kannad),Maize,2.0,1700.0,2200.0,1850.0,2009,1
98,2009-02-01,65438.0,Karnataka,Karwar(Uttar Kannad),Maize,10.0,1600.0,2200.0,1800.0,2009,2
106,2009-03-01,67730.0,Karnataka,Karwar(Uttar Kannad),Maize,10.0,1600.0,2200.0,1800.0,2009,3
113,2009-04-01,63255.0,Karnataka,Karwar(Uttar Kannad),Maize,1.0,1600.0,1800.0,1700.0,2009,4
119,2009-05-01,63459.0,Karnataka,Karwar(Uttar Kannad),Maize,10.0,1600.0,2200.0,1800.0,2009,5
123,2009-06-01,73035.0,Karnataka,Karwar(Uttar Kannad),Maize,1.0,1500.0,1800.0,1700.0,2009,6
131,2009-07-01,68450.0,Karnataka,Karwar(Uttar Kannad),Maize,11.0,1600.0,2200.0,1800.0,2009,7
135,2009-08-01,101634.0,Karnataka,Karwar(Uttar Kannad),Maize,3.0,2500.0,2700.0,2600.0,2009,8
137,2009-09-01,,Karnataka,Karwar(Uttar Kannad),Maize,9.457943925233645,1955.2897196261683,2382.299065420561,2160.644727053358,2009,9
138,2009-10-01,64264.0,Karnataka,Karwar(Uttar Kannad),Maize,10.0,1600.0,2200.0,1800.0,2009,10
145,2009-11-01,107906.0,Karnataka,Karwar(Uttar Kannad),Maize,3.0,2650.0,2800.0,2750.0,2009,11
151,2009-12-01,64658.0,Karnataka,Karwar(Uttar Kannad),Maize,10.0,1600.0,2200.0,1800.0,2009,12
157,2010-01-01,117250.0,Karnataka,Karwar(Uttar Kannad),Maize,8.0,1700.0,1822.0,2242.816890428117,2010,1
166,2010-02-01,123234.0,Karnataka,Karwar(Uttar Kannad),Maize,3.0,1900.0,2000.0,2242.816890428117,2010,2
171,2010-03-01,129828.0,Karnataka,Karwar(Uttar Kannad),Maize,3.0,2700.0,2800.0,2242.816890428117,2010,3
190,2010-04-01,136988.0,Karnataka,Karwar(Uttar Kannad),Maize,3.0,2400.0,2600.0,2242.816890428117,2010,4
201,2010-05-01,143426.0,Karnataka,Karwar(Uttar Kannad),Maize,11.0,1200.0,1571.0,2242.816890428117,2010,5
210,2010-06-01,151471.0,Karnataka,Karwar(Uttar Kannad),Maize,4.0,1800.0,2000.0,2242.816890428117,2010,6
219,2010-07-01,156621.0,Karnataka,Karwar(Uttar Kannad),Maize,8.0,1500.0,1841.0,2242.816890428117,2010,7
229,2010-08-01,165377.0,Karnataka,Karwar(Uttar Kannad),Maize,5.0,2500.0,2600.0,2242.816890428117,2010,8
235,2010-09-01,171391.0,Karnataka,Karwar(Uttar Kannad),Maize,1.0,1500.0,1600.0,2242.816890428117,2010,9
239,2010-10-01,178947.0,Karnataka,Karwar(Uttar Kannad),Maize,1.0,1800.0,2000.0,2242.816890428117,2010,10
245,2010-11-01,,Karnataka,Karwar(Uttar Kannad),Maize,9.457943925233645,1955.2897196261683,2382.299065420561,2160.644727053358,2010,11
246,2010-12-01,192969.0,Karnataka,Karwar(Uttar Kannad),Maize,2.0,1800.0,2500.0,2242.816890428117,2010,12
249,2011-01-01,200760.0,Karnataka,Karwar(Uttar Kannad),Maize,5.0,2300.0,2500.0,2400.0,2011,1
255,2011-02-01,209641.0,Karnataka,Karwar(Uttar Kannad),Maize,2.0,1600.0,1800.0,1700.0,2011,2
259,2011-03-01,233521.0,Karnataka,Karwar(Uttar Kannad),Maize,1.0,1800.0,2200.0,2000.0,2011,3
260,2011-04-01,249904.0,Karnataka,Karwar(Uttar Kannad),Maize,2.0,1800.0,2200.0,2000.0,2011,4
261,2011-05-01,229536.0,Karnataka,Karwar(Uttar Kannad),Maize,5.0,2400.0,2600.0,2500.0,2011,5
268,2011-06-01,236075.0,Karnataka,Karwar(Uttar Kannad),Maize,2.0,1800.0,2200.0,2000.0,2011,6
278,2011-07-01,219642.0,Karnataka,Karwar(Uttar Kannad),Maize,20.0,2100.0,2600.0,2400.0,2011,7
290,2011-08-01,234814.0,Karnataka,Karwar(Uttar Kannad),Maize,2.0,1500.0,1700.0,1600.0,2011,8
300,2011-09-01,235098.0,Karnataka,Karwar(Uttar Kannad),Maize,4.0,1800.0,2500.0,2000.0,2011,9
305,2011-10-01,266216.0,Karnataka,Karwar(Uttar Kannad),Maize,2.0,1800.0,2200.0,2000.0,2011,10
307,2011-11-01,251743.0,Karnataka,Karwar(Uttar Kannad),Maize,2.0,1700.0,2100.0,1850.0,2011,11
315,2011-12-01,243942.0,Karnataka,Karwar(Uttar Kannad),Maize,2.0,1800.0,2200.0,2000.0,2011,12
323,2012-01-01,288389.0,Karnataka,Karwar(Uttar Kannad),Maize,1.0,1800.0,2200.0,2000.0,2012,1
328,2012-02-01,285310.0,Karnataka,Karwar(Uttar Kannad),Maize,2.0,2300.0,2800.0,2500.0,2012,2
330,2012-03-01,301535.0,Karnataka,Karwar(Uttar Kannad),Maize,1.0,1800.0,2200.0,2000.0,2012,3
336,2012-04-01,314128.0,Karnataka,Karwar(Uttar Kannad),Maize,2.0,2300.0,2600.0,2500.0,2012,4
338,2012-05-01,285980.0,Karnataka,Karwar(Uttar Kannad),Maize,1.0,1800.0,2200.0,2000.0,2012,5
340,2012-06-01,326545.0,Karnataka,Karwar(Uttar Kannad),Maize,1.0,2000.0,3000.0,2500.0,2012,6
343,2012-07-01,299981.0,Karnataka,Karwar(Uttar Kannad),Maize,1.0,1800.0,2200.0,2000.0,2012,7
351,2012-08-01,338396.0,Karnataka,Karwar(Uttar Kannad),Maize,4.0,2000.0,2500.0,2300.0,2012,8
354,2012-09-01,330703.0,Karnataka,Karwar(Uttar Kannad),Maize,3.0,2200.0,2800.0,2550.0,2012,9
356,2012-10-01,356708.0,Karnataka,Karwar(Uttar Kannad),Maize,10.0,2100.0,2500.0,2300.0,2012,10
357,2012-11-01,363293.0,Karnataka,Karwar(Uttar Kannad),Maize,1.0,2200.0,3000.0,2500.0,2012,11
358,2012-12-01,372072.0,Karnataka,Karwar(Uttar Kannad),Maize,16.0,1100.0,1500.0,1200.0,2012,12
360,2013-01-01,,Karnataka,Karwar(Uttar Kannad),Maize,9.457943925233645,1955.2897196261683,2382.299065420561,2160.644727053358,2013,1
