,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,1933,Karnataka,Koppal,Maize,17.0,1560.0,1570.0,1570.0,2008,1
10,2008-02-01,7273,Karnataka,Koppal,Maize,20.0,1720.0,1720.0,1720.0,2008,2
16,2008-03-01,12424,Karnataka,Koppal,Maize,16.0,900.0,900.0,900.0,2008,3
25,2008-04-01,16991,Karnataka,Koppal,Maize,16.0,820.0,895.0,820.0,2008,4
36,2008-05-01,637,Karnataka,Koppal,Maize,12.0,1550.0,1560.0,1560.0,2008,5
49,2008-06-01,10526,Karnataka,Koppal,Maize,16.0,1640.0,1650.0,1640.0,2008,6
58,2008-07-01,32522,Karnataka,Koppal,Maize,20.0,900.0,900.0,900.0,2008,7
62,2008-08-01,6064,Karnataka,Koppal,Maize,20.0,1640.0,1650.0,1650.0,2008,8
76,2008-09-01,21083,Karnataka,Koppal,Maize,32.0,1260.0,1380.0,1380.0,2008,9
85,2008-10-01,1412,Karnataka,Koppal,Maize,10.0,1520.0,1540.0,1520.0,2008,10
94,2008-11-01,1572,Karnataka,Koppal,Maize,28.0,700.0,800.0,750.0,2008,11
105,2008-12-01,21528,Karnataka,Koppal,Maize,41.0,1700.0,1880.0,1700.0,2008,12
113,2009-01-01,60316,Karnataka,Koppal,Maize,16.0,1060.0,1060.0,1060.0,2009,1
120,2009-02-01,65815,Karnataka,Koppal,Maize,10.0,900.0,900.0,900.0,2009,2
129,2009-03-01,69107,Karnataka,Koppal,Maize,13.0,2100.0,2100.0,2100.0,2009,3
149,2009-04-01,72770,Karnataka,Koppal,Maize,20.0,900.0,1050.0,1050.0,2009,4
160,2009-05-01,68093,Karnataka,Koppal,Maize,19.0,1610.0,1610.0,1610.0,2009,5
174,2009-06-01,73042,Karnataka,Koppal,Maize,6.0,1100.0,1100.0,1100.0,2009,6
203,2009-07-01,68454,Karnataka,Koppal,Maize,12.0,1620.0,1620.0,1620.0,2009,7
235,2009-08-01,73356,Karnataka,Koppal,Maize,4.0,1050.0,1050.0,1050.0,2009,8
245,2009-09-01,73546,Karnataka,Koppal,Maize,12.0,1250.0,1250.0,1250.0,2009,9
272,2009-10-01,64267,Karnataka,Koppal,Maize,19.0,950.0,950.0,950.0,2009,10
315,2009-11-01,68873,Karnataka,Koppal,Maize,31.0,1200.0,1200.0,1200.0,2009,11
340,2009-12-01,82877,Karnataka,Koppal,Maize,19.0,973.0,973.0,973.0,2009,12
360,2010-01-01,117259,Karnataka,Koppal,Maize,16.0,700.0,700.0,2242.816890428117,2010,1
