,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Kerala,Alleppey,Maize,10.0,3502.8571428571427,4622.142857142857,4101.785714285715,2008,1
1,2008-02-01,5013.0,Kerala,Alleppey,Maize,10.0,1650.0,1800.0,1725.0,2008,2
4,2008-03-01,53988.0,Kerala,Alleppey,Maize,10.0,3400.0,6300.0,5050.0,2008,3
8,2008-04-01,19402.0,Kerala,Alleppey,Maize,10.0,5600.0,6000.0,5800.0,2008,4
13,2008-05-01,,Kerala,Alleppey,Maize,10.0,3502.8571428571427,4622.142857142857,4101.785714285715,2008,5
14,2008-06-01,,Kerala,Alleppey,Maize,10.0,3502.8571428571427,4622.142857142857,4101.785714285715,2008,6
15,2008-07-01,,Kerala,Alleppey,Maize,10.0,3502.8571428571427,4622.142857142857,4101.785714285715,2008,7
16,2008-08-01,,Kerala,Alleppey,Maize,10.0,3502.8571428571427,4622.142857142857,4101.785714285715,2008,8
17,2008-09-01,1239.0,Kerala,Alleppey,Maize,10.0,1790.0,1810.0,1800.0,2008,9
20,2008-10-01,,Kerala,Alleppey,Maize,10.0,3502.8571428571427,4622.142857142857,4101.785714285715,2008,10
21,2008-11-01,,Kerala,Alleppey,Maize,10.0,3502.8571428571427,4622.142857142857,4101.785714285715,2008,11
22,2008-12-01,,Kerala,Alleppey,Maize,10.0,3502.8571428571427,4622.142857142857,4101.785714285715,2008,12
23,2009-01-01,59987.0,Kerala,Alleppey,Maize,10.0,5500.0,6400.0,6300.0,2009,1
43,2009-02-01,72430.0,Kerala,Alleppey,Maize,10.0,3200.0,3800.0,3500.0,2009,2
47,2009-03-01,70764.0,Kerala,Alleppey,Maize,10.0,3200.0,3800.0,3500.0,2009,3
77,2009-04-01,72782.0,Kerala,Alleppey,Maize,10.0,3200.0,3800.0,3500.0,2009,4
89,2009-05-01,80043.0,Kerala,Alleppey,Maize,10.0,3800.0,6000.0,4900.0,2009,5
101,2009-06-01,58794.0,Kerala,Alleppey,Maize,10.0,3600.0,6600.0,5100.0,2009,6
109,2009-07-01,63853.0,Kerala,Alleppey,Maize,10.0,3400.0,3700.0,3550.0,2009,7
117,2009-08-01,73367.0,Kerala,Alleppey,Maize,10.0,3200.0,3800.0,3500.0,2009,8
121,2009-09-01,,Kerala,Alleppey,Maize,10.0,3502.8571428571427,4622.142857142857,4101.785714285715,2009,9
122,2009-10-01,,Kerala,Alleppey,Maize,10.0,3502.8571428571427,4622.142857142857,4101.785714285715,2009,10
123,2009-11-01,,Kerala,Alleppey,Maize,10.0,3502.8571428571427,4622.142857142857,4101.785714285715,2009,11
124,2009-12-01,64674.0,Kerala,Alleppey,Maize,10.0,3600.0,6800.0,5200.0,2009,12
128,2010-01-01,,Kerala,Alleppey,Maize,10.0,3502.8571428571427,4622.142857142857,4101.785714285715,2010,1
