,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,3213.0,Kerala,Kollam,Maize,325.0,1825.0,1880.0,1850.0,2008,1
22,2008-02-01,7288.0,Kerala,Kollam,Maize,280.0,1850.0,1950.0,1900.0,2008,2
31,2008-03-01,11968.0,Kerala,Kollam,Maize,250.0,2000.0,2050.0,2025.0,2008,3
38,2008-04-01,489.0,Kerala,Kollam,Maize,265.0,1900.0,1950.0,1920.0,2008,4
55,2008-05-01,5502.0,Kerala,Kollam,Maize,250.0,1800.0,1880.0,1850.0,2008,5
69,2008-06-01,20560.0,Kerala,Kollam,Maize,350.0,2700.0,2800.0,2750.0,2008,6
83,2008-07-01,5882.0,Kerala,Kollam,Maize,8.0,1650.0,1800.0,1790.0,2008,7
100,2008-08-01,1054.0,Kerala,Kollam,Maize,375.0,1800.0,1900.0,1850.0,2008,8
117,2008-09-01,21098.0,Kerala,Kollam,Maize,320.0,1900.0,2000.0,1950.0,2008,9
128,2008-10-01,26460.0,Kerala,Kollam,Maize,265.0,1800.0,1900.0,1850.0,2008,10
147,2008-11-01,11360.0,Kerala,Kollam,Maize,220.0,2000.0,2050.0,2020.0,2008,11
152,2008-12-01,6659.0,Kerala,Kollam,Maize,270.0,1850.0,1900.0,1875.0,2008,12
156,2009-01-01,60329.0,Kerala,Kollam,Maize,425.0,1850.0,1900.0,1875.0,2009,1
160,2009-02-01,65458.0,Kerala,Kollam,Maize,1.5,2200.0,2500.0,2300.0,2009,2
169,2009-03-01,69122.0,Kerala,Kollam,Maize,320.0,2300.0,2350.0,2325.0,2009,3
178,2009-04-01,91447.0,Kerala,Kollam,Maize,325.0,7800.0,8000.0,7900.0,2009,4
181,2009-05-01,63472.0,Kerala,Kollam,Maize,0.5,900.0,1200.0,1100.0,2009,5
189,2009-06-01,63667.0,Kerala,Kollam,Maize,7.0,1200.0,1500.0,1300.0,2009,6
205,2009-07-01,68459.0,Kerala,Kollam,Maize,225.0,7800.0,8000.0,7900.0,2009,7
229,2009-08-01,93053.0,Kerala,Kollam,Maize,410.0,2000.0,2100.0,2050.0,2009,8
248,2009-09-01,82330.0,Kerala,Kollam,Maize,255.0,7800.0,8000.0,7900.0,2009,9
271,2009-10-01,87584.0,Kerala,Kollam,Maize,320.0,7900.0,8000.0,7950.0,2009,10
299,2009-11-01,92535.0,Kerala,Kollam,Maize,350.0,7800.0,8000.0,7900.0,2009,11
331,2009-12-01,82898.0,Kerala,Kollam,Maize,210.0,7600.0,7800.0,7700.0,2009,12
349,2010-01-01,117284.0,Kerala,Kollam,Maize,110.0,7800.0,7900.0,2242.816890428117,2010,1
382,2010-02-01,123261.0,Kerala,Kollam,Maize,225.0,7800.0,7900.0,2242.816890428117,2010,2
410,2010-03-01,129478.0,Kerala,Kollam,Maize,110.0,2200.0,2300.0,2242.816890428117,2010,3
449,2010-04-01,137373.0,Kerala,Kollam,Maize,5.0,1800.0,2000.0,2242.816890428117,2010,4
462,2010-05-01,143448.0,Kerala,Kollam,Maize,105.0,7800.0,7900.0,2242.816890428117,2010,5
523,2010-06-01,149865.0,Kerala,Kollam,Maize,105.0,7800.0,7900.0,2242.816890428117,2010,6
600,2010-07-01,156642.0,Kerala,Kollam,Maize,110.0,7800.0,7900.0,2242.816890428117,2010,7
694,2010-08-01,163315.0,Kerala,Kollam,Maize,110.0,7800.0,7900.0,2242.816890428117,2010,8
757,2010-09-01,170112.0,Kerala,Kollam,Maize,110.0,7800.0,7900.0,2242.816890428117,2010,9
820,2010-10-01,176796.0,Kerala,Kollam,Maize,110.0,7800.0,7900.0,2242.816890428117,2010,10
880,2010-11-01,183504.0,Kerala,Kollam,Maize,110.0,7800.0,7900.0,2242.816890428117,2010,11
943,2010-12-01,189764.0,Kerala,Kollam,Maize,110.0,7800.0,7900.0,2242.816890428117,2010,12
1003,2011-01-01,196542.0,Kerala,Kollam,Maize,110.0,7800.0,8000.0,7900.0,2011,1
1072,2011-02-01,204024.0,Kerala,Kollam,Maize,105.0,7800.0,8000.0,7900.0,2011,2
1122,2011-03-01,196936.0,Kerala,Kollam,Maize,110.0,7800.0,8000.0,7900.0,2011,3
1186,2011-04-01,197198.0,Kerala,Kollam,Maize,110.0,7800.0,8000.0,7900.0,2011,4
1231,2011-05-01,197477.0,Kerala,Kollam,Maize,110.0,7800.0,8000.0,7900.0,2011,5
1288,2011-06-01,197739.0,Kerala,Kollam,Maize,105.0,7800.0,8000.0,7900.0,2011,6
1342,2011-07-01,198009.0,Kerala,Kollam,Maize,105.0,7800.0,8000.0,7900.0,2011,7
1392,2011-08-01,205583.0,Kerala,Kollam,Maize,110.0,7800.0,8000.0,7900.0,2011,8
1430,2011-09-01,205856.0,Kerala,Kollam,Maize,110.0,7800.0,8000.0,7900.0,2011,9
1464,2011-10-01,198634.0,Kerala,Kollam,Maize,110.0,7800.0,8000.0,7900.0,2011,10
1511,2011-11-01,198874.0,Kerala,Kollam,Maize,110.0,7800.0,8000.0,7900.0,2011,11
1557,2011-12-01,199136.0,Kerala,Kollam,Maize,110.0,7800.0,8000.0,7900.0,2011,12
1586,2012-01-01,288419.0,Kerala,Kollam,Maize,6.0,1700.0,1900.0,1800.0,2012,1
1621,2012-02-01,285341.0,Kerala,Kollam,Maize,8.0,1200.0,1400.0,1300.0,2012,2
1663,2012-03-01,301849.0,Kerala,Kollam,Maize,2.5,1800.0,2000.0,1900.0,2012,3
1709,2012-04-01,309640.0,Kerala,Kollam,Maize,2.5,1750.0,1900.0,1800.0,2012,4
1751,2012-05-01,299445.0,Kerala,Kollam,Maize,3.0,1500.0,1900.0,1800.0,2012,5
1788,2012-06-01,293188.0,Kerala,Kollam,Maize,3.5,1700.0,1900.0,1800.0,2012,6
1842,2012-07-01,314839.0,Kerala,Kollam,Maize,2.5,1650.0,1800.0,1700.0,2012,7
1882,2012-08-01,300243.0,Kerala,Kollam,Maize,2.0,1800.0,2000.0,1900.0,2012,8
1924,2012-09-01,286817.0,Kerala,Kollam,Maize,7.5,5500.0,7400.0,6500.0,2012,9
1976,2012-10-01,315698.0,Kerala,Kollam,Maize,2.5,1600.0,1800.0,1700.0,2012,10
2021,2012-11-01,323572.0,Kerala,Kollam,Maize,2.5,1850.0,2000.0,1900.0,2012,11
2058,2012-12-01,287624.0,Kerala,Kollam,Maize,7.0,1450.0,1800.0,1650.0,2012,12
2117,2013-01-01,377860.0,Kerala,Kollam,Maize,2.0,2500.0,2700.0,2600.0,2013,1
2147,2013-02-01,385438.0,Kerala,Kollam,Maize,2.0,2350.0,2700.0,2600.0,2013,2
2180,2013-03-01,375143.0,Kerala,Kollam,Maize,2.0,2350.0,2600.0,2500.0,2013,3
2204,2013-04-01,382856.0,Kerala,Kollam,Maize,2.0,2500.0,2700.0,2600.0,2013,4
2246,2013-05-01,405819.0,Kerala,Kollam,Maize,2.5,2500.0,2600.0,2600.0,2013,5
2264,2013-06-01,404204.0,Kerala,Kollam,Maize,2.0,2300.0,2500.0,2400.0,2013,6
2285,2013-07-01,376114.0,Kerala,Kollam,Maize,2.5,2350.0,2600.0,2500.0,2013,7
2324,2013-08-01,420037.0,Kerala,Kollam,Maize,2.0,2200.0,2500.0,2300.0,2013,8
2337,2013-09-01,404998.0,Kerala,Kollam,Maize,2.5,2200.0,2400.0,2300.0,2013,9
2360,2013-10-01,376979.0,Kerala,Kollam,Maize,2.5,2500.0,2700.0,2600.0,2013,10
2388,2013-11-01,384590.0,Kerala,Kollam,Maize,2.0,2500.0,2700.0,2600.0,2013,11
2419,2013-12-01,428740.0,Kerala,Kollam,Maize,2.5,2300.0,2700.0,2500.0,2013,12
2452,2014-01-01,461447.0,Kerala,Kollam,Maize,2.5,2500.0,2800.0,2700.0,2014,1
2484,2014-02-01,458756.0,Kerala,Kollam,Maize,2.0,2500.0,2800.0,2600.0,2014,2
2508,2014-03-01,466255.0,Kerala,Kollam,Maize,2.0,2500.0,2800.0,2600.0,2014,3
2518,2014-04-01,510685.0,Kerala,Kollam,Maize,3.0,2500.0,2800.0,2600.0,2014,4
