,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,2647.0,Kerala,Thiruvananthapuram,Maize,170.0,4500.0,4510.0,4500.0,2008,1
46,2008-02-01,9108.0,Kerala,Thiruvananthapuram,Maize,220.0,4500.0,4510.0,4500.0,2008,2
69,2008-03-01,11970.0,Kerala,Thiruvananthapuram,Maize,185.0,4800.0,4810.0,4800.0,2008,3
109,2008-04-01,491.0,Kerala,Thiruvananthapuram,Maize,160.0,4500.0,4510.0,4500.0,2008,4
139,2008-05-01,5508.0,Kerala,Thiruvananthapuram,Maize,200.0,4500.0,4510.0,4500.0,2008,5
195,2008-06-01,28184.0,Kerala,Thiruvananthapuram,Maize,220.0,5200.0,5210.0,5200.0,2008,6
211,2008-07-01,10722.0,Kerala,Thiruvananthapuram,Maize,185.0,4800.0,4810.0,4800.0,2008,7
251,2008-08-01,6082.0,Kerala,Thiruvananthapuram,Maize,220.0,4500.0,4510.0,4500.0,2008,8
283,2008-09-01,40958.0,Kerala,Thiruvananthapuram,Maize,340.0,6000.0,6010.0,6000.0,2008,9
330,2008-10-01,45655.0,Kerala,Thiruvananthapuram,Maize,210.0,6500.0,6510.0,6500.0,2008,10
364,2008-11-01,1589.0,Kerala,Thiruvananthapuram,Maize,175.0,4500.0,4510.0,4500.0,2008,11
386,2008-12-01,6665.0,Kerala,Thiruvananthapuram,Maize,200.0,4500.0,4510.0,4500.0,2008,12
401,2009-01-01,59851.0,Kerala,Thiruvananthapuram,Maize,250.0,6000.0,6010.0,6000.0,2009,1
443,2009-02-01,58243.0,Kerala,Thiruvananthapuram,Maize,210.0,6000.0,6010.0,6000.0,2009,2
479,2009-03-01,63097.0,Kerala,Thiruvananthapuram,Maize,275.0,6000.0,6010.0,6000.0,2009,3
542,2009-04-01,75265.0,Kerala,Thiruvananthapuram,Maize,250.0,5700.0,5710.0,5700.0,2009,4
565,2009-05-01,63476.0,Kerala,Thiruvananthapuram,Maize,220.0,6000.0,6010.0,6000.0,2009,5
604,2009-06-01,68282.0,Kerala,Thiruvananthapuram,Maize,130.0,5700.0,5710.0,5700.0,2009,6
667,2009-07-01,73205.0,Kerala,Thiruvananthapuram,Maize,210.0,5700.0,5710.0,5700.0,2009,7
730,2009-08-01,77697.0,Kerala,Thiruvananthapuram,Maize,240.0,5700.0,5710.0,5700.0,2009,8
785,2009-09-01,82332.0,Kerala,Thiruvananthapuram,Maize,180.0,5700.0,5710.0,5700.0,2009,9
835,2009-10-01,64284.0,Kerala,Thiruvananthapuram,Maize,225.0,6000.0,6010.0,6000.0,2009,10
885,2009-11-01,92538.0,Kerala,Thiruvananthapuram,Maize,150.0,5700.0,5710.0,5700.0,2009,11
921,2009-12-01,82902.0,Kerala,Thiruvananthapuram,Maize,200.0,5700.0,5710.0,5700.0,2009,12
