,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,47.0,Maharashtra,Ahmednagar,Maize,15.0,1000.0,1700.0,1250.0,2008,1
23,2008-02-01,185.0,Maharashtra,Ahmednagar,Maize,20.0,1000.0,1700.0,1250.0,2008,2
44,2008-03-01,9990.0,Maharashtra,Ahmednagar,Maize,20.0,1000.0,2000.0,1250.0,2008,3
64,2008-04-01,5297.0,Maharashtra,Ahmednagar,Maize,12.0,1000.0,1800.0,1200.0,2008,4
80,2008-05-01,658.0,Maharashtra,Ahmednagar,Maize,24.0,1000.0,1700.0,1250.0,2008,5
101,2008-06-01,5718.0,Maharashtra,Ahmednagar,Maize,20.0,1000.0,1800.0,1250.0,2008,6
122,2008-07-01,880.0,Maharashtra,Ahmednagar,Maize,20.0,1000.0,1700.0,1250.0,2008,7
148,2008-08-01,1064.0,Maharashtra,Ahmednagar,Maize,12.0,1000.0,1700.0,1250.0,2008,8
166,2008-09-01,1250.0,Maharashtra,Ahmednagar,Maize,24.0,1000.0,1600.0,1200.0,2008,9
185,2008-10-01,1427.0,Maharashtra,Ahmednagar,Maize,16.0,1000.0,1700.0,1250.0,2008,10
195,2008-11-01,1598.0,Maharashtra,Ahmednagar,Maize,5.0,1000.0,1600.0,1200.0,2008,11
209,2008-12-01,1742.0,Maharashtra,Ahmednagar,Maize,28.0,1000.0,1700.0,1250.0,2008,12
222,2009-01-01,59995.0,Maharashtra,Ahmednagar,Maize,22.5,1200.0,3000.0,2000.0,2009,1
240,2009-02-01,62924.0,Maharashtra,Ahmednagar,Maize,12.5,1400.0,3000.0,2100.0,2009,2
259,2009-03-01,63104.0,Maharashtra,Ahmednagar,Maize,20.0,1400.0,3200.0,2200.0,2009,3
279,2009-04-01,63280.0,Maharashtra,Ahmednagar,Maize,15.0,1400.0,3200.0,2200.0,2009,4
301,2009-05-01,63483.0,Maharashtra,Ahmednagar,Maize,27.0,1400.0,3200.0,2200.0,2009,5
320,2009-06-01,73053.0,Maharashtra,Ahmednagar,Maize,28.0,1600.0,3600.0,2200.0,2009,6
339,2009-07-01,58962.0,Maharashtra,Ahmednagar,Maize,10.0,1200.0,3000.0,2000.0,2009,7
358,2009-08-01,73374.0,Maharashtra,Ahmednagar,Maize,16.0,1600.0,3600.0,2200.0,2009,8
369,2009-09-01,64100.0,Maharashtra,Ahmednagar,Maize,31.5,1400.0,3200.0,2200.0,2009,9
387,2009-10-01,64291.0,Maharashtra,Ahmednagar,Maize,24.0,1400.0,3200.0,2200.0,2009,10
395,2009-11-01,64478.0,Maharashtra,Ahmednagar,Maize,10.0,1400.0,3200.0,2200.0,2009,11
412,2009-12-01,64681.0,Maharashtra,Ahmednagar,Maize,18.0,1400.0,3200.0,2200.0,2009,12
418,2010-01-01,119709.0,Maharashtra,Ahmednagar,Maize,25.0,1800.0,3300.0,2242.816890428117,2010,1
430,2010-02-01,123265.0,Maharashtra,Ahmednagar,Maize,15.0,1500.0,3000.0,2242.816890428117,2010,2
450,2010-03-01,129627.0,Maharashtra,Ahmednagar,Maize,10.0,1500.0,2800.0,2242.816890428117,2010,3
470,2010-04-01,136613.0,Maharashtra,Ahmednagar,Maize,16.0,1500.0,2800.0,2242.816890428117,2010,4
489,2010-05-01,148163.0,Maharashtra,Ahmednagar,Maize,16.0,1600.0,2800.0,2242.816890428117,2010,5
495,2010-06-01,150895.0,Maharashtra,Ahmednagar,Maize,20.0,1600.0,2800.0,2242.816890428117,2010,6
513,2010-07-01,156655.0,Maharashtra,Ahmednagar,Maize,10.0,1600.0,2800.0,2242.816890428117,2010,7
534,2010-08-01,163318.0,Maharashtra,Ahmednagar,Maize,18.0,1600.0,2800.0,2242.816890428117,2010,8
552,2010-09-01,169907.0,Maharashtra,Ahmednagar,Maize,15.0,1600.0,2800.0,2242.816890428117,2010,9
565,2010-10-01,177366.0,Maharashtra,Ahmednagar,Maize,32.0,1600.0,3000.0,2242.816890428117,2010,10
575,2010-11-01,,Maharashtra,Ahmednagar,Maize,12.32972972972973,1706.3063063063064,3479.2792792792793,2429.918790943327,2010,11
576,2010-12-01,191992.0,Maharashtra,Ahmednagar,Maize,0.3,1200.0,1500.0,2242.816890428117,2010,12
577,2011-01-01,277857.0,Maharashtra,Ahmednagar,Maize,9.0,1600.0,4000.0,2200.0,2011,1
578,2011-02-01,,Maharashtra,Ahmednagar,Maize,12.32972972972973,1706.3063063063064,3479.2792792792793,2429.918790943327,2011,2
579,2011-03-01,,Maharashtra,Ahmednagar,Maize,12.32972972972973,1706.3063063063064,3479.2792792792793,2429.918790943327,2011,3
580,2011-04-01,,Maharashtra,Ahmednagar,Maize,12.32972972972973,1706.3063063063064,3479.2792792792793,2429.918790943327,2011,4
581,2011-05-01,,Maharashtra,Ahmednagar,Maize,12.32972972972973,1706.3063063063064,3479.2792792792793,2429.918790943327,2011,5
582,2011-06-01,,Maharashtra,Ahmednagar,Maize,12.32972972972973,1706.3063063063064,3479.2792792792793,2429.918790943327,2011,6
583,2011-07-01,,Maharashtra,Ahmednagar,Maize,12.32972972972973,1706.3063063063064,3479.2792792792793,2429.918790943327,2011,7
584,2011-08-01,,Maharashtra,Ahmednagar,Maize,12.32972972972973,1706.3063063063064,3479.2792792792793,2429.918790943327,2011,8
585,2011-09-01,,Maharashtra,Ahmednagar,Maize,12.32972972972973,1706.3063063063064,3479.2792792792793,2429.918790943327,2011,9
586,2011-10-01,280053.0,Maharashtra,Ahmednagar,Maize,18.0,1600.0,3600.0,2000.0,2011,10
587,2011-11-01,275330.0,Maharashtra,Ahmednagar,Maize,0.4,1000.0,1000.0,1000.0,2011,11
590,2011-12-01,280424.0,Maharashtra,Ahmednagar,Maize,12.0,1600.0,4000.0,2000.0,2011,12
595,2012-01-01,288096.0,Maharashtra,Ahmednagar,Maize,11.0,1600.0,3600.0,2200.0,2012,1
611,2012-02-01,285353.0,Maharashtra,Ahmednagar,Maize,16.0,1600.0,4000.0,2400.0,2012,2
626,2012-03-01,285593.0,Maharashtra,Ahmednagar,Maize,6.0,1600.0,4000.0,2400.0,2012,3
642,2012-04-01,285805.0,Maharashtra,Ahmednagar,Maize,9.0,1600.0,3600.0,2200.0,2012,4
660,2012-05-01,286019.0,Maharashtra,Ahmednagar,Maize,10.0,1600.0,3600.0,2200.0,2012,5
674,2012-06-01,293194.0,Maharashtra,Ahmednagar,Maize,10.0,1600.0,3600.0,2200.0,2012,6
681,2012-07-01,286466.0,Maharashtra,Ahmednagar,Maize,16.0,1600.0,3200.0,2200.0,2012,7
693,2012-08-01,293638.0,Maharashtra,Ahmednagar,Maize,16.0,1600.0,4000.0,2200.0,2012,8
708,2012-09-01,286826.0,Maharashtra,Ahmednagar,Maize,10.0,1600.0,3200.0,2200.0,2012,9
719,2012-10-01,287095.0,Maharashtra,Ahmednagar,Maize,3.0,1600.0,3200.0,2200.0,2012,10
724,2012-11-01,287366.0,Maharashtra,Ahmednagar,Maize,5.0,1600.0,3200.0,2200.0,2012,11
729,2012-12-01,287635.0,Maharashtra,Ahmednagar,Maize,6.0,1600.0,3600.0,2200.0,2012,12
734,2013-01-01,410079.0,Maharashtra,Ahmednagar,Maize,14.0,2000.0,2400.0,2200.0,2013,1
737,2013-02-01,403319.0,Maharashtra,Ahmednagar,Maize,10.0,1800.0,2400.0,2200.0,2013,2
739,2013-03-01,394338.0,Maharashtra,Ahmednagar,Maize,9.0,1600.0,2400.0,2200.0,2013,3
744,2013-04-01,399429.0,Maharashtra,Ahmednagar,Maize,9.0,2000.0,2800.0,2200.0,2013,4
753,2013-05-01,409528.0,Maharashtra,Ahmednagar,Maize,10.0,2000.0,2400.0,2200.0,2013,5
757,2013-06-01,411343.0,Maharashtra,Ahmednagar,Maize,9.0,2000.0,2800.0,2400.0,2013,6
771,2013-07-01,421483.0,Maharashtra,Ahmednagar,Maize,9.0,1800.0,3000.0,2200.0,2013,7
783,2013-08-01,411888.0,Maharashtra,Ahmednagar,Maize,12.0,2000.0,3000.0,2400.0,2013,8
785,2013-09-01,420353.0,Maharashtra,Ahmednagar,Maize,9.0,2000.0,3200.0,2400.0,2013,9
786,2013-10-01,412275.0,Maharashtra,Ahmednagar,Maize,5.0,2000.0,3000.0,2400.0,2013,10
788,2013-11-01,412567.0,Maharashtra,Ahmednagar,Maize,12.5,2000.0,2800.0,2200.0,2013,11
790,2013-12-01,412860.0,Maharashtra,Ahmednagar,Maize,9.0,2000.0,2800.0,2200.0,2013,12
791,2014-01-01,517116.0,Maharashtra,Ahmednagar,Maize,14.0,2000.0,4600.0,3000.0,2014,1
793,2014-02-01,510273.0,Maharashtra,Ahmednagar,Maize,4.0,2000.0,4400.0,3200.0,2014,2
795,2014-03-01,517622.0,Maharashtra,Ahmednagar,Maize,9.0,2000.0,4800.0,3000.0,2014,3
796,2014-04-01,510694.0,Maharashtra,Ahmednagar,Maize,3.0,2000.0,4800.0,3200.0,2014,4
799,2014-05-01,510957.0,Maharashtra,Ahmednagar,Maize,5.0,2000.0,4400.0,3000.0,2014,5
800,2014-06-01,511235.0,Maharashtra,Ahmednagar,Maize,2.1,2000.0,4400.0,3200.0,2014,6
803,2014-07-01,506315.0,Maharashtra,Ahmednagar,Maize,12.5,2000.0,3600.0,3000.0,2014,7
809,2014-08-01,512953.0,Maharashtra,Ahmednagar,Maize,2.0,2000.0,4400.0,3000.0,2014,8
820,2014-09-01,512045.0,Maharashtra,Ahmednagar,Maize,10.4,2000.0,4400.0,3200.0,2014,9
833,2014-10-01,519273.0,Maharashtra,Ahmednagar,Maize,2.5,2000.0,4400.0,3000.0,2014,10
848,2014-11-01,512418.0,Maharashtra,Ahmednagar,Maize,19.2,2000.0,4400.0,3000.0,2014,11
