,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,9709.0,Maharashtra,Gondiya,Maize,70.0,900.0,1100.0,1050.0,2008,1
2,2008-02-01,8296.0,Maharashtra,Gondiya,Maize,70.0,1000.0,1150.0,1050.0,2008,2
5,2008-03-01,11780.0,Maharashtra,Gondiya,Maize,70.0,1000.0,1200.0,1100.0,2008,3
19,2008-04-01,10197.0,Maharashtra,Gondiya,Maize,70.0,1100.0,1300.0,1200.0,2008,4
27,2008-05-01,10373.0,Maharashtra,Gondiya,Maize,70.0,1000.0,1200.0,1100.0,2008,5
29,2008-06-01,20566.0,Maharashtra,Gondiya,Maize,100.0,890.0,1100.0,1050.0,2008,6
30,2008-07-01,10731.0,Maharashtra,Gondiya,Maize,70.0,1100.0,1300.0,1200.0,2008,7
32,2008-08-01,10906.0,Maharashtra,Gondiya,Maize,70.0,1000.0,1200.0,1100.0,2008,8
34,2008-09-01,42246.0,Maharashtra,Gondiya,Maize,70.0,1200.0,1400.0,1300.0,2008,9
41,2008-10-01,11169.0,Maharashtra,Gondiya,Maize,70.0,1000.0,1200.0,1100.0,2008,10
42,2008-11-01,11366.0,Maharashtra,Gondiya,Maize,70.0,1000.0,1200.0,1100.0,2008,11
43,2008-12-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2008,12
44,2009-01-01,62154.0,Maharashtra,Gondiya,Maize,80.0,1300.0,1400.0,1350.0,2009,1
46,2009-02-01,64854.0,Maharashtra,Gondiya,Maize,70.0,1220.0,1260.0,1240.0,2009,2
50,2009-03-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2009,3
51,2009-04-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2009,4
52,2009-05-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2009,5
53,2009-06-01,63669.0,Maharashtra,Gondiya,Maize,70.0,1100.0,1200.0,1150.0,2009,6
54,2009-07-01,63864.0,Maharashtra,Gondiya,Maize,80.0,1200.0,1300.0,1250.0,2009,7
56,2009-08-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2009,8
57,2009-09-01,64103.0,Maharashtra,Gondiya,Maize,80.0,1200.0,1300.0,1250.0,2009,9
59,2009-10-01,64292.0,Maharashtra,Gondiya,Maize,80.0,1200.0,1300.0,1250.0,2009,10
60,2009-11-01,64480.0,Maharashtra,Gondiya,Maize,80.0,1200.0,1300.0,1250.0,2009,11
61,2009-12-01,64684.0,Maharashtra,Gondiya,Maize,70.0,1210.0,1250.0,1230.0,2009,12
62,2010-01-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2010,1
63,2010-02-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2010,2
64,2010-03-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2010,3
65,2010-04-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2010,4
66,2010-05-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2010,5
67,2010-06-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2010,6
68,2010-07-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2010,7
69,2010-08-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2010,8
70,2010-09-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2010,9
71,2010-10-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2010,10
72,2010-11-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2010,11
73,2010-12-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2010,12
74,2011-01-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2011,1
75,2011-02-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2011,2
76,2011-03-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2011,3
77,2011-04-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2011,4
78,2011-05-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2011,5
79,2011-06-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2011,6
80,2011-07-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2011,7
81,2011-08-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2011,8
82,2011-09-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2011,9
83,2011-10-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2011,10
84,2011-11-01,275332.0,Maharashtra,Gondiya,Maize,31.6,915.0,990.0,957.0,2011,11
86,2011-12-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2011,12
87,2012-01-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2012,1
88,2012-02-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2012,2
89,2012-03-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2012,3
90,2012-04-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2012,4
91,2012-05-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2012,5
92,2012-06-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2012,6
93,2012-07-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2012,7
94,2012-08-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2012,8
95,2012-09-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2012,9
96,2012-10-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2012,10
97,2012-11-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2012,11
98,2012-12-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2012,12
99,2013-01-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2013,1
100,2013-02-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2013,2
101,2013-03-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2013,3
102,2013-04-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2013,4
103,2013-05-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2013,5
104,2013-06-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2013,6
105,2013-07-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2013,7
106,2013-08-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2013,8
107,2013-09-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2013,9
108,2013-10-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2013,10
109,2013-11-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2013,11
110,2013-12-01,,Maharashtra,Gondiya,Maize,72.08,1086.75,1232.5,1163.85,2013,12
