,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,35269.0,Maharashtra,Mumbai,Maize,0.1,1225.0,3200.0,2212.0,2008,1
3,2008-02-01,35450.0,Maharashtra,Mumbai,Maize,0.1,6000.0,8500.0,7250.0,2008,2
4,2008-03-01,44781.0,Maharashtra,Mumbai,Maize,0.1,1451.0,8100.0,4775.0,2008,3
5,2008-04-01,,Maharashtra,Mumbai,Maize,1089.6831683168311,3087.009900990099,6147.752475247525,4323.849531536014,2008,4
6,2008-05-01,40316.0,Maharashtra,Mumbai,Maize,0.1,5500.0,8000.0,6750.0,2008,5
7,2008-06-01,,Maharashtra,Mumbai,Maize,1089.6831683168311,3087.009900990099,6147.752475247525,4323.849531536014,2008,6
8,2008-07-01,45320.0,Maharashtra,Mumbai,Maize,0.1,1400.0,8000.0,4900.0,2008,7
9,2008-08-01,36395.0,Maharashtra,Mumbai,Maize,0.1,1275.0,7500.0,4375.0,2008,8
22,2008-09-01,40968.0,Maharashtra,Mumbai,Maize,0.1,1425.0,3200.0,2312.0,2008,9
31,2008-10-01,45668.0,Maharashtra,Mumbai,Maize,0.1,1400.0,3300.0,2350.0,2008,10
40,2008-11-01,36692.0,Maharashtra,Mumbai,Maize,0.1,1275.0,3200.0,2237.0,2008,11
44,2008-12-01,36821.0,Maharashtra,Mumbai,Maize,0.1,1275.0,3200.0,2237.0,2008,12
51,2009-01-01,60163.0,Maharashtra,Mumbai,Maize,0.1,1451.0,8500.0,4900.0,2009,1
69,2009-02-01,64856.0,Maharashtra,Mumbai,Maize,0.1,1500.0,8000.0,4700.0,2009,2
83,2009-03-01,67755.0,Maharashtra,Mumbai,Maize,0.1,1500.0,8100.0,4800.0,2009,3
102,2009-04-01,63283.0,Maharashtra,Mumbai,Maize,0.1,1465.0,8000.0,4976.0,2009,4
125,2009-05-01,63488.0,Maharashtra,Mumbai,Maize,0.1,1465.0,8000.0,4765.0,2009,5
149,2009-06-01,63671.0,Maharashtra,Mumbai,Maize,0.1,1465.0,8000.0,4733.0,2009,6
173,2009-07-01,77551.0,Maharashtra,Mumbai,Maize,345.7,1400.0,8500.0,4950.0,2009,7
194,2009-08-01,73377.0,Maharashtra,Mumbai,Maize,3180.2,1400.0,8000.0,4700.0,2009,8
214,2009-09-01,64105.0,Maharashtra,Mumbai,Maize,0.1,1465.0,8000.0,4733.0,2009,9
236,2009-10-01,64294.0,Maharashtra,Mumbai,Maize,0.1,1475.0,8000.0,4733.0,2009,10
257,2009-11-01,64482.0,Maharashtra,Mumbai,Maize,0.1,1475.0,8000.0,4733.0,2009,11
278,2009-12-01,64686.0,Maharashtra,Mumbai,Maize,0.1,1500.0,8000.0,4933.0,2009,12
300,2010-01-01,117296.0,Maharashtra,Mumbai,Maize,2224.7,1551.0,5300.0,2242.816890428117,2010,1
325,2010-02-01,123269.0,Maharashtra,Mumbai,Maize,1712.2,1575.0,4700.0,2242.816890428117,2010,2
344,2010-03-01,129630.0,Maharashtra,Mumbai,Maize,1828.9,1625.0,4800.0,2242.816890428117,2010,3
367,2010-04-01,136617.0,Maharashtra,Mumbai,Maize,177.5,5800.0,7038.0,2242.816890428117,2010,4
395,2010-05-01,143965.0,Maharashtra,Mumbai,Maize,316.6,4500.0,6630.0,2242.816890428117,2010,5
416,2010-06-01,149882.0,Maharashtra,Mumbai,Maize,0.1,5000.0,6630.0,2242.816890428117,2010,6
439,2010-07-01,156658.0,Maharashtra,Mumbai,Maize,1036.1,1750.0,1800.0,2242.816890428117,2010,7
476,2010-08-01,163321.0,Maharashtra,Mumbai,Maize,201.9,5500.0,6885.0,2242.816890428117,2010,8
500,2010-09-01,169909.0,Maharashtra,Mumbai,Maize,164.7,5500.0,6885.0,2242.816890428117,2010,9
522,2010-10-01,176808.0,Maharashtra,Mumbai,Maize,219.7,5000.0,6885.0,2242.816890428117,2010,10
546,2010-11-01,183511.0,Maharashtra,Mumbai,Maize,2639.4,1500.0,2500.0,2242.816890428117,2010,11
571,2010-12-01,189771.0,Maharashtra,Mumbai,Maize,483.7,4500.0,5520.0,2242.816890428117,2010,12
597,2011-01-01,199404.0,Maharashtra,Mumbai,Maize,383.7,4600.0,7200.0,5785.0,2011,1
623,2011-02-01,204030.0,Maharashtra,Mumbai,Maize,368.7,4700.0,7500.0,5978.0,2011,2
651,2011-03-01,196944.0,Maharashtra,Mumbai,Maize,813.5,4600.0,7200.0,5782.0,2011,3
682,2011-04-01,197210.0,Maharashtra,Mumbai,Maize,494.2,4600.0,7200.0,5785.0,2011,4
713,2011-05-01,197484.0,Maharashtra,Mumbai,Maize,384.6,4600.0,7200.0,5785.0,2011,5
753,2011-06-01,197747.0,Maharashtra,Mumbai,Maize,457.2,4600.0,7200.0,5785.0,2011,6
