,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2008,1
1,2008-02-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2008,2
2,2008-03-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2008,3
3,2008-04-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2008,4
4,2008-05-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2008,5
5,2008-06-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2008,6
6,2008-07-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2008,7
7,2008-08-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2008,8
8,2008-09-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2008,9
9,2008-10-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2008,10
10,2008-11-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2008,11
11,2008-12-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2008,12
12,2009-01-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2009,1
13,2009-02-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2009,2
14,2009-03-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2009,3
15,2009-04-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2009,4
16,2009-05-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2009,5
17,2009-06-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2009,6
18,2009-07-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2009,7
19,2009-08-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2009,8
20,2009-09-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2009,9
21,2009-10-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2009,10
22,2009-11-01,108874.0,Maharashtra,Vashim,Maize,0.1,1090.0,1090.0,1090.0,2009,11
23,2009-12-01,115671.0,Maharashtra,Vashim,Maize,0.1,1951.0,1951.0,1951.0,2009,12
24,2010-01-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2010,1
25,2010-02-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2010,2
26,2010-03-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2010,3
27,2010-04-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2010,4
28,2010-05-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2010,5
29,2010-06-01,153329.0,Maharashtra,Vashim,Maize,0.1,1221.0,1221.0,2242.816890428117,2010,6
31,2010-07-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2010,7
32,2010-08-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2010,8
33,2010-09-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2010,9
34,2010-10-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2010,10
35,2010-11-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2010,11
36,2010-12-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2010,12
37,2011-01-01,232968.0,Maharashtra,Vashim,Maize,0.3,881.0,881.0,881.0,2011,1
39,2011-02-01,208827.0,Maharashtra,Vashim,Maize,0.3,2351.0,2415.0,2415.0,2011,2
44,2011-03-01,211386.0,Maharashtra,Vashim,Maize,0.5,916.0,956.0,956.0,2011,3
47,2011-04-01,211653.0,Maharashtra,Vashim,Maize,0.6,951.0,955.0,955.0,2011,4
51,2011-05-01,219135.0,Maharashtra,Vashim,Maize,0.1,951.0,951.0,951.0,2011,5
52,2011-06-01,234271.0,Maharashtra,Vashim,Maize,0.3,950.0,1060.0,1060.0,2011,6
55,2011-07-01,244274.0,Maharashtra,Vashim,Maize,0.1,900.0,900.0,900.0,2011,7
58,2011-08-01,254745.0,Maharashtra,Vashim,Maize,0.3,875.0,875.0,875.0,2011,8
60,2011-09-01,227308.0,Maharashtra,Vashim,Maize,0.3,920.0,920.0,920.0,2011,9
61,2011-10-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2011,10
62,2011-11-01,213445.0,Maharashtra,Vashim,Maize,0.6,912.0,936.0,936.0,2011,11
65,2011-12-01,280981.0,Maharashtra,Vashim,Maize,0.5,900.0,970.0,970.0,2011,12
67,2012-01-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2012,1
68,2012-02-01,,Maharashtra,Vashim,Maize,0.4388888888888889,1097.8333333333333,1116.2222222222222,1171.9342716904512,2012,2
