,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,1957.0,Manipur,Imphal West,Maize,2.3,1200.0,1200.0,1200.0,2008,1
6,2008-02-01,7495.0,Manipur,Imphal West,Maize,2.7,1300.0,1300.0,1300.0,2008,2
11,2008-03-01,343.0,Manipur,Imphal West,Maize,2.0,1200.0,1200.0,1200.0,2008,3
18,2008-04-01,501.0,Manipur,Imphal West,Maize,2.3,1200.0,1200.0,1200.0,2008,4
26,2008-05-01,5521.0,Manipur,Imphal West,Maize,2.6,1250.0,1250.0,1250.0,2008,5
32,2008-06-01,20573.0,Manipur,Imphal West,Maize,3.0,1400.0,1400.0,1400.0,2008,6
43,2008-07-01,5898.0,Manipur,Imphal West,Maize,2.7,1250.0,1250.0,1250.0,2008,7
51,2008-08-01,6098.0,Manipur,Imphal West,Maize,2.7,1250.0,1250.0,1250.0,2008,8
60,2008-09-01,40974.0,Manipur,Imphal West,Maize,1.1,1800.0,1800.0,1800.0,2008,9
69,2008-10-01,1438.0,Manipur,Imphal West,Maize,2.3,1200.0,1200.0,1200.0,2008,10
78,2008-11-01,1605.0,Manipur,Imphal West,Maize,2.3,1200.0,1200.0,1200.0,2008,11
88,2008-12-01,26858.0,Manipur,Imphal West,Maize,1.5,1550.0,1550.0,1550.0,2008,12
93,2009-01-01,59864.0,Manipur,Imphal West,Maize,2.0,2150.0,2150.0,2150.0,2009,1
99,2009-02-01,65283.0,Manipur,Imphal West,Maize,2.1,2150.0,2150.0,2150.0,2009,2
105,2009-03-01,67764.0,Manipur,Imphal West,Maize,2.1,2150.0,2150.0,2150.0,2009,3
114,2009-04-01,72807.0,Manipur,Imphal West,Maize,3.1,2200.0,2200.0,2200.0,2009,4
121,2009-05-01,58673.0,Manipur,Imphal West,Maize,2.0,2150.0,2150.0,2150.0,2009,5
133,2009-06-01,68299.0,Manipur,Imphal West,Maize,2.2,2150.0,2150.0,2150.0,2009,6
