,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,3776.0,Meghalaya,Nongpoh (R-Bhoi),Maize,2.4,1300.0,1600.0,1550.0,2008,1
3,2008-02-01,8140.0,Meghalaya,Nongpoh (R-Bhoi),Maize,2.2,1600.0,2000.0,1750.0,2008,2
6,2008-03-01,13257.0,Meghalaya,Nongpoh (R-Bhoi),Maize,2.1,1600.0,2000.0,1800.0,2008,3
8,2008-04-01,5310.0,Meghalaya,Nongpoh (R-Bhoi),Maize,3.2,1400.0,1800.0,1600.0,2008,4
11,2008-05-01,22561.0,Meghalaya,Nongpoh (R-Bhoi),Maize,1.7,1600.0,2000.0,1800.0,2008,5
13,2008-06-01,40519.0,Meghalaya,Nongpoh (R-Bhoi),Maize,1.6,1600.0,2000.0,1800.0,2008,6
14,2008-07-01,10739.0,Meghalaya,Nongpoh (R-Bhoi),Maize,2.1,1600.0,2000.0,1800.0,2008,7
17,2008-08-01,37117.0,Meghalaya,Nongpoh (R-Bhoi),Maize,2.3,1600.0,2000.0,1800.0,2008,8
20,2008-09-01,41924.0,Meghalaya,Nongpoh (R-Bhoi),Maize,1.9,1600.0,2200.0,1800.0,2008,9
22,2008-10-01,21284.0,Meghalaya,Nongpoh (R-Bhoi),Maize,1.9,1600.0,2000.0,1800.0,2008,10
26,2008-11-01,1606.0,Meghalaya,Nongpoh (R-Bhoi),Maize,3.2,1300.0,1600.0,1400.0,2008,11
28,2008-12-01,6687.0,Meghalaya,Nongpoh (R-Bhoi),Maize,3.3,1600.0,2000.0,1800.0,2008,12
30,2009-01-01,59865.0,Meghalaya,Nongpoh (R-Bhoi),Maize,3.2,1600.0,2000.0,1800.0,2009,1
33,2009-02-01,65042.0,Meghalaya,Nongpoh (R-Bhoi),Maize,2.6,1600.0,2000.0,1800.0,2009,2
37,2009-03-01,69935.0,Meghalaya,Nongpoh (R-Bhoi),Maize,2.5,1600.0,2000.0,1800.0,2009,3
40,2009-04-01,74865.0,Meghalaya,Nongpoh (R-Bhoi),Maize,2.6,1600.0,2000.0,1800.0,2009,4
42,2009-05-01,58674.0,Meghalaya,Nongpoh (R-Bhoi),Maize,2.5,1600.0,2000.0,1800.0,2009,5
48,2009-06-01,63680.0,Meghalaya,Nongpoh (R-Bhoi),Maize,3.2,1600.0,2000.0,1800.0,2009,6
51,2009-07-01,88539.0,Meghalaya,Nongpoh (R-Bhoi),Maize,1.7,1700.0,2200.0,1950.0,2009,7
53,2009-08-01,87194.0,Meghalaya,Nongpoh (R-Bhoi),Maize,2.0,1700.0,2200.0,2000.0,2009,8
57,2009-09-01,98555.0,Meghalaya,Nongpoh (R-Bhoi),Maize,1.8,1700.0,2200.0,1950.0,2009,9
58,2009-10-01,97261.0,Meghalaya,Nongpoh (R-Bhoi),Maize,2.1,1700.0,2200.0,1950.0,2009,10
61,2009-11-01,108394.0,Meghalaya,Nongpoh (R-Bhoi),Maize,1.8,1600.0,2500.0,1800.0,2009,11
64,2009-12-01,,Meghalaya,Nongpoh (R-Bhoi),Maize,1.2756756756756755,2782.4324324324325,3241.554054054054,2968.4335736775756,2009,12
65,2010-01-01,,Meghalaya,Nongpoh (R-Bhoi),Maize,1.2756756756756755,2782.4324324324325,3241.554054054054,2968.4335736775756,2010,1
