,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,57.0,Orissa,Balasore,Maize,30.0,1100.0,1200.0,1150.0,2008,1
10,2008-02-01,191.0,Orissa,Balasore,Maize,30.0,1000.0,1200.0,1000.0,2008,2
15,2008-03-01,10001.0,Orissa,Balasore,Maize,30.0,1000.0,1200.0,1100.0,2008,3
29,2008-04-01,10205.0,Orissa,Balasore,Maize,35.0,1100.0,1300.0,1230.0,2008,4
49,2008-05-01,10381.0,Orissa,Balasore,Maize,30.0,1100.0,1300.0,1250.0,2008,5
74,2008-06-01,763.0,Orissa,Balasore,Maize,30.0,1000.0,1200.0,1100.0,2008,6
91,2008-07-01,890.0,Orissa,Balasore,Maize,25.0,1000.0,1200.0,1100.0,2008,7
113,2008-08-01,10913.0,Orissa,Balasore,Maize,15.0,1100.0,1300.0,1250.0,2008,8
127,2008-09-01,11028.0,Orissa,Balasore,Maize,20.0,1200.0,1300.0,1255.0,2008,9
135,2008-10-01,11181.0,Orissa,Balasore,Maize,5.5,1100.0,1200.0,1100.0,2008,10
142,2008-11-01,16496.0,Orissa,Balasore,Maize,10.0,1200.0,1300.0,1300.0,2008,11
148,2008-12-01,11579.0,Orissa,Balasore,Maize,14.0,1200.0,1300.0,1228.0,2008,12
154,2009-01-01,59869.0,Orissa,Balasore,Maize,10.0,1100.0,1500.0,1200.0,2009,1
164,2009-02-01,65151.0,Orissa,Balasore,Maize,2.0,1200.0,1500.0,1300.0,2009,2
173,2009-03-01,67768.0,Orissa,Balasore,Maize,10.0,1200.0,1500.0,1250.0,2009,3
191,2009-04-01,74537.0,Orissa,Balasore,Maize,10.0,1200.0,1600.0,1300.0,2009,4
199,2009-05-01,78800.0,Orissa,Balasore,Maize,10.0,1200.0,1500.0,1200.0,2009,5
206,2009-06-01,58807.0,Orissa,Balasore,Maize,36.0,1100.0,1500.0,1205.0,2009,6
209,2009-07-01,87021.0,Orissa,Balasore,Maize,10.0,1200.0,1400.0,1200.0,2009,7
214,2009-08-01,68579.0,Orissa,Balasore,Maize,10.0,1200.0,1500.0,1250.0,2009,8
236,2009-09-01,92244.0,Orissa,Balasore,Maize,10.0,1200.0,1500.0,1250.0,2009,9
258,2009-10-01,68799.0,Orissa,Balasore,Maize,10.0,1200.0,1500.0,1250.0,2009,10
281,2009-11-01,64494.0,Orissa,Balasore,Maize,10.0,1200.0,1500.0,1250.0,2009,11
287,2009-12-01,64700.0,Orissa,Balasore,Maize,10.0,1200.0,1500.0,1250.0,2009,12
302,2010-01-01,117304.0,Orissa,Balasore,Maize,12.0,1100.0,1600.0,2242.816890428117,2010,1
324,2010-02-01,123280.0,Orissa,Balasore,Maize,5.0,1100.0,1500.0,2242.816890428117,2010,2
332,2010-03-01,129496.0,Orissa,Balasore,Maize,20.0,1200.0,1300.0,2242.816890428117,2010,3
356,2010-04-01,136627.0,Orissa,Balasore,Maize,12.0,1400.0,1450.0,2242.816890428117,2010,4
377,2010-05-01,143113.0,Orissa,Balasore,Maize,25.0,1450.0,1500.0,2242.816890428117,2010,5
389,2010-06-01,149893.0,Orissa,Balasore,Maize,15.0,1200.0,1350.0,2242.816890428117,2010,6
419,2010-07-01,156671.0,Orissa,Balasore,Maize,2.0,1300.0,1400.0,2242.816890428117,2010,7
