,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,19738.0,Orissa,Bhadrak,Maize,92.0,1050.0,1200.0,1150.0,2008,1
8,2008-02-01,19901.0,Orissa,Bhadrak,Maize,35.0,1050.0,1250.0,1150.0,2008,2
16,2008-03-01,20110.0,Orissa,Bhadrak,Maize,35.0,1050.0,1250.0,1150.0,2008,3
24,2008-04-01,20233.0,Orissa,Bhadrak,Maize,65.0,1050.0,1200.0,1150.0,2008,4
32,2008-05-01,20382.0,Orissa,Bhadrak,Maize,45.0,1050.0,1200.0,1150.0,2008,5
60,2008-06-01,20578.0,Orissa,Bhadrak,Maize,36.0,1050.0,1200.0,1150.0,2008,6
79,2008-07-01,20758.0,Orissa,Bhadrak,Maize,47.0,1050.0,1200.0,1150.0,2008,7
106,2008-08-01,20936.0,Orissa,Bhadrak,Maize,45.0,1050.0,1200.0,1150.0,2008,8
126,2008-09-01,21111.0,Orissa,Bhadrak,Maize,22.0,1050.0,1250.0,1150.0,2008,9
157,2008-10-01,21287.0,Orissa,Bhadrak,Maize,22.0,1050.0,1200.0,1150.0,2008,10
187,2008-11-01,21405.0,Orissa,Bhadrak,Maize,22.0,1050.0,1150.0,1150.0,2008,11
222,2008-12-01,21567.0,Orissa,Bhadrak,Maize,12.0,1050.0,1200.0,1150.0,2008,12
254,2009-01-01,58084.0,Orissa,Bhadrak,Maize,32.0,1050.0,1250.0,1150.0,2009,1
282,2009-02-01,58260.0,Orissa,Bhadrak,Maize,35.0,1050.0,1250.0,1150.0,2009,2
316,2009-03-01,58443.0,Orissa,Bhadrak,Maize,45.0,870.0,1700.0,1550.0,2009,3
359,2009-04-01,58562.0,Orissa,Bhadrak,Maize,45.0,900.0,1600.0,1450.0,2009,4
401,2009-05-01,58678.0,Orissa,Bhadrak,Maize,35.0,1050.0,1250.0,1150.0,2009,5
443,2009-06-01,58808.0,Orissa,Bhadrak,Maize,25.0,1050.0,1250.0,1150.0,2009,6
480,2009-07-01,58972.0,Orissa,Bhadrak,Maize,35.0,1050.0,1250.0,1150.0,2009,7
521,2009-08-01,59109.0,Orissa,Bhadrak,Maize,45.0,1050.0,1250.0,1150.0,2009,8
566,2009-09-01,59273.0,Orissa,Bhadrak,Maize,45.0,870.0,1600.0,1550.0,2009,9
605,2009-10-01,59426.0,Orissa,Bhadrak,Maize,35.0,1050.0,1250.0,1150.0,2009,10
641,2009-11-01,59538.0,Orissa,Bhadrak,Maize,50.0,900.0,1650.0,1550.0,2009,11
682,2009-12-01,59696.0,Orissa,Bhadrak,Maize,45.0,900.0,1600.0,1550.0,2009,12
718,2010-01-01,117305.0,Orissa,Bhadrak,Maize,68.5,950.0,1150.0,2242.816890428117,2010,1
756,2010-02-01,123281.0,Orissa,Bhadrak,Maize,50.0,1200.0,1700.0,2242.816890428117,2010,2
800,2010-03-01,129497.0,Orissa,Bhadrak,Maize,78.5,1050.0,1100.0,2242.816890428117,2010,3
844,2010-04-01,136628.0,Orissa,Bhadrak,Maize,78.5,1050.0,1150.0,2242.816890428117,2010,4
891,2010-05-01,143114.0,Orissa,Bhadrak,Maize,60.0,1200.0,1600.0,2242.816890428117,2010,5
938,2010-06-01,149894.0,Orissa,Bhadrak,Maize,50.0,1200.0,1720.0,2242.816890428117,2010,6
954,2010-07-01,156672.0,Orissa,Bhadrak,Maize,50.0,1200.0,1800.0,2242.816890428117,2010,7
1002,2010-08-01,163334.0,Orissa,Bhadrak,Maize,50.0,1400.0,2000.0,2242.816890428117,2010,8
1044,2010-09-01,169920.0,Orissa,Bhadrak,Maize,60.0,1400.0,2000.0,2242.816890428117,2010,9
1085,2010-10-01,176818.0,Orissa,Bhadrak,Maize,50.0,1400.0,2100.0,2242.816890428117,2010,10
1101,2010-11-01,183521.0,Orissa,Bhadrak,Maize,89.5,1050.0,1150.0,2242.816890428117,2010,11
1135,2010-12-01,189786.0,Orissa,Bhadrak,Maize,58.6,1200.0,1200.0,2242.816890428117,2010,12
1178,2011-01-01,196558.0,Orissa,Bhadrak,Maize,67.5,1200.0,1350.0,1200.0,2011,1
1207,2011-02-01,196756.0,Orissa,Bhadrak,Maize,50.0,1300.0,2000.0,1900.0,2011,2
1218,2011-03-01,196960.0,Orissa,Bhadrak,Maize,68.5,1200.0,1350.0,1200.0,2011,3
1233,2011-04-01,197223.0,Orissa,Bhadrak,Maize,50.0,1200.0,2100.0,1900.0,2011,4
1242,2011-05-01,197497.0,Orissa,Bhadrak,Maize,68.5,1050.0,1350.0,1200.0,2011,5
1261,2011-06-01,197763.0,Orissa,Bhadrak,Maize,60.0,1200.0,2100.0,1900.0,2011,6
1277,2011-07-01,198033.0,Orissa,Bhadrak,Maize,68.5,1200.0,1350.0,1200.0,2011,7
1284,2011-08-01,198281.0,Orissa,Bhadrak,Maize,67.5,1200.0,1350.0,1200.0,2011,8
1305,2011-09-01,198456.0,Orissa,Bhadrak,Maize,68.5,1050.0,1250.0,1200.0,2011,9
1329,2011-10-01,198655.0,Orissa,Bhadrak,Maize,50.0,1200.0,1900.0,1800.0,2011,10
1349,2011-11-01,198902.0,Orissa,Bhadrak,Maize,68.5,1200.0,1350.0,1200.0,2011,11
1367,2011-12-01,199156.0,Orissa,Bhadrak,Maize,50.0,1200.0,2000.0,1800.0,2011,12
1378,2012-01-01,285179.0,Orissa,Bhadrak,Maize,68.5,1200.0,1600.0,1200.0,2012,1
1396,2012-02-01,285368.0,Orissa,Bhadrak,Maize,50.0,1400.0,2100.0,2000.0,2012,2
1408,2012-03-01,285609.0,Orissa,Bhadrak,Maize,68.5,1200.0,1400.0,1200.0,2012,3
1418,2012-04-01,285820.0,Orissa,Bhadrak,Maize,68.5,1200.0,1600.0,1200.0,2012,4
1432,2012-05-01,286033.0,Orissa,Bhadrak,Maize,68.5,1200.0,1400.0,1200.0,2012,5
1444,2012-06-01,286252.0,Orissa,Bhadrak,Maize,68.5,1200.0,1600.0,1200.0,2012,6
1456,2012-07-01,286479.0,Orissa,Bhadrak,Maize,38.5,1200.0,1400.0,1200.0,2012,7
1467,2012-08-01,286646.0,Orissa,Bhadrak,Maize,68.5,1200.0,1400.0,1200.0,2012,8
1480,2012-09-01,315424.0,Orissa,Bhadrak,Maize,50.0,1600.0,2100.0,1900.0,2012,9
1506,2012-10-01,287116.0,Orissa,Bhadrak,Maize,79.5,1200.0,1600.0,1200.0,2012,10
1532,2012-11-01,287382.0,Orissa,Bhadrak,Maize,40.0,1400.0,2100.0,2000.0,2012,11
1551,2012-12-01,287655.0,Orissa,Bhadrak,Maize,68.5,1200.0,1400.0,1200.0,2012,12
1577,2013-01-01,374589.0,Orissa,Bhadrak,Maize,795.0,1200.0,1400.0,1200.0,2013,1
1603,2013-02-01,374891.0,Orissa,Bhadrak,Maize,795.0,1600.0,1800.0,1600.0,2013,2
1634,2013-03-01,375177.0,Orissa,Bhadrak,Maize,795.0,1600.0,1800.0,1600.0,2013,3
1664,2013-04-01,375458.0,Orissa,Bhadrak,Maize,795.0,1600.0,1800.0,1600.0,2013,4
1690,2013-05-01,375740.0,Orissa,Bhadrak,Maize,795.0,1600.0,1800.0,1600.0,2013,5
1718,2013-06-01,375915.0,Orissa,Bhadrak,Maize,795.0,2000.0,2400.0,2000.0,2013,6
1740,2013-07-01,376146.0,Orissa,Bhadrak,Maize,795.0,1600.0,1800.0,1600.0,2013,7
1773,2013-08-01,376430.0,Orissa,Bhadrak,Maize,795.0,1600.0,1800.0,1600.0,2013,8
1805,2013-09-01,376711.0,Orissa,Bhadrak,Maize,40.0,1400.0,2200.0,2000.0,2013,9
1822,2013-10-01,377017.0,Orissa,Bhadrak,Maize,895.0,1600.0,1800.0,1600.0,2013,10
