,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,60.0,Orissa,Cuttack,Maize,1.0,1368.0,1368.0,1368.0,2008,1
16,2008-02-01,6897.0,Orissa,Cuttack,Maize,10.0,1000.0,1000.0,1000.0,2008,2
37,2008-03-01,5160.0,Orissa,Cuttack,Maize,1.5,800.0,870.0,850.0,2008,3
61,2008-04-01,507.0,Orissa,Cuttack,Maize,2.0,800.0,870.0,850.0,2008,4
74,2008-05-01,10383.0,Orissa,Cuttack,Maize,20.0,900.0,1000.0,950.0,2008,5
89,2008-06-01,5728.0,Orissa,Cuttack,Maize,17.0,900.0,1000.0,950.0,2008,6
97,2008-07-01,5904.0,Orissa,Cuttack,Maize,2.0,900.0,1000.0,950.0,2008,7
106,2008-08-01,10915.0,Orissa,Cuttack,Maize,26.1,1000.0,1012.0,1006.0,2008,8
111,2008-09-01,1261.0,Orissa,Cuttack,Maize,136.0,1015.0,1015.0,1015.0,2008,9
125,2008-10-01,11183.0,Orissa,Cuttack,Maize,26.0,1356.0,1356.0,1356.0,2008,10
128,2008-11-01,1611.0,Orissa,Cuttack,Maize,205.0,1082.0,1082.0,1082.0,2008,11
132,2008-12-01,6693.0,Orissa,Cuttack,Maize,101.0,1325.0,1325.0,1325.0,2008,12
140,2009-01-01,58100.0,Orissa,Cuttack,Maize,48.0,1200.0,1300.0,1250.0,2009,1
159,2009-02-01,58277.0,Orissa,Cuttack,Maize,39.0,1250.0,1350.0,1312.0,2009,2
186,2009-03-01,58458.0,Orissa,Cuttack,Maize,48.0,1400.0,1500.0,1439.0,2009,3
196,2009-04-01,58578.0,Orissa,Cuttack,Maize,17.0,1250.0,1300.0,1298.0,2009,4
210,2009-05-01,58692.0,Orissa,Cuttack,Maize,21.0,1400.0,1500.0,1442.0,2009,5
227,2009-06-01,58824.0,Orissa,Cuttack,Maize,48.0,1150.0,1250.0,1208.0,2009,6
237,2009-07-01,58987.0,Orissa,Cuttack,Maize,80.0,1300.0,1500.0,1393.0,2009,7
248,2009-08-01,59122.0,Orissa,Cuttack,Maize,52.2,1400.0,1500.0,1463.0,2009,8
268,2009-09-01,59287.0,Orissa,Cuttack,Maize,16.0,1400.0,1550.0,1490.0,2009,9
293,2009-10-01,59440.0,Orissa,Cuttack,Maize,85.7,1200.0,1450.0,1341.0,2009,10
320,2009-11-01,59541.0,Orissa,Cuttack,Maize,0.8,1000.0,1200.0,1100.0,2009,11
353,2009-12-01,59699.0,Orissa,Cuttack,Maize,720.0,1250.0,1350.0,1303.0,2009,12
381,2010-01-01,117306.0,Orissa,Cuttack,Maize,16.0,1200.0,1440.0,2242.816890428117,2010,1
411,2010-02-01,123283.0,Orissa,Cuttack,Maize,48.5,1200.0,1332.0,2242.816890428117,2010,2
428,2010-03-01,129872.0,Orissa,Cuttack,Maize,3.5,1200.0,1300.0,2242.816890428117,2010,3
430,2010-04-01,136809.0,Orissa,Cuttack,Maize,4.0,1200.0,1300.0,2242.816890428117,2010,4
431,2010-05-01,148678.0,Orissa,Cuttack,Maize,16.0,1200.0,1300.0,2242.816890428117,2010,5
434,2010-06-01,149895.0,Orissa,Cuttack,Maize,10.0,1500.0,1731.0,2242.816890428117,2010,6
462,2010-07-01,161858.0,Orissa,Cuttack,Maize,31.8,1400.0,1595.0,2242.816890428117,2010,7
467,2010-08-01,163146.0,Orissa,Cuttack,Maize,7.5,1600.0,1827.0,2242.816890428117,2010,8
492,2010-09-01,169922.0,Orissa,Cuttack,Maize,64.0,1200.0,1683.0,2242.816890428117,2010,9
501,2010-10-01,,Orissa,Cuttack,Maize,24.214311926605507,1598.5550458715597,1768.1880733944954,1740.6591927876427,2010,10
502,2010-11-01,,Orissa,Cuttack,Maize,24.214311926605507,1598.5550458715597,1768.1880733944954,1740.6591927876427,2010,11
503,2010-12-01,,Orissa,Cuttack,Maize,24.214311926605507,1598.5550458715597,1768.1880733944954,1740.6591927876427,2010,12
504,2011-01-01,218219.0,Orissa,Cuttack,Maize,27.8,2000.0,3000.0,2738.5,2011,1
508,2011-02-01,204046.0,Orissa,Cuttack,Maize,16.0,1500.0,2000.0,1635.0,2011,2
525,2011-03-01,204329.0,Orissa,Cuttack,Maize,11.4,1200.0,1500.0,1279.5,2011,3
542,2011-04-01,221332.0,Orissa,Cuttack,Maize,16.0,1500.0,2000.0,1586.0,2011,4
556,2011-05-01,211960.0,Orissa,Cuttack,Maize,2.5,1500.0,1800.0,1683.0,2011,5
564,2011-06-01,219398.0,Orissa,Cuttack,Maize,0.5,1000.0,1200.0,1000.0,2011,6
570,2011-07-01,212368.0,Orissa,Cuttack,Maize,16.0,1500.0,1800.0,1683.0,2011,7
580,2011-08-01,234857.0,Orissa,Cuttack,Maize,4.0,1100.0,1500.0,1125.0,2011,8
593,2011-09-01,205879.0,Orissa,Cuttack,Maize,18.0,1400.0,1600.0,1400.0,2011,9
611,2011-10-01,206164.0,Orissa,Cuttack,Maize,16.0,1600.0,2500.0,2100.0,2011,10
624,2011-11-01,206467.0,Orissa,Cuttack,Maize,8.38,1500.0,2000.0,1715.0,2011,11
638,2011-12-01,206721.0,Orissa,Cuttack,Maize,16.0,1600.0,2000.0,1691.0,2011,12
645,2012-01-01,285180.0,Orissa,Cuttack,Maize,2.5,2000.0,2500.0,2000.0,2012,1
653,2012-02-01,328927.0,Orissa,Cuttack,Maize,1.0,1500.0,1600.0,1550.0,2012,2
657,2012-03-01,285610.0,Orissa,Cuttack,Maize,13.0,1500.0,2000.0,1777.0,2012,3
660,2012-04-01,345247.0,Orissa,Cuttack,Maize,2.0,970.0,1200.0,970.0,2012,4
662,2012-05-01,286034.0,Orissa,Cuttack,Maize,20.4,1200.0,1800.0,1562.0,2012,5
665,2012-06-01,322384.0,Orissa,Cuttack,Maize,3.0,1400.0,1600.0,1500.0,2012,6
669,2012-07-01,346152.0,Orissa,Cuttack,Maize,1.5,1800.0,2000.0,1833.0,2012,7
671,2012-08-01,307697.0,Orissa,Cuttack,Maize,3.0,1500.0,1600.0,1550.0,2012,8
678,2012-09-01,346600.0,Orissa,Cuttack,Maize,1.0,1500.0,1600.0,1550.0,2012,9
695,2012-10-01,346847.0,Orissa,Cuttack,Maize,1.0,1850.0,2000.0,1850.0,2012,10
703,2012-11-01,,Orissa,Cuttack,Maize,24.214311926605507,1598.5550458715597,1768.1880733944954,1740.6591927876427,2012,11
704,2012-12-01,347449.0,Orissa,Cuttack,Maize,25.1,1700.0,2000.0,1780.0,2012,12
706,2013-01-01,379024.0,Orissa,Cuttack,Maize,1.5,1500.0,1700.0,1600.0,2013,1
711,2013-02-01,374893.0,Orissa,Cuttack,Maize,3.0,1500.0,1600.0,1550.0,2013,2
718,2013-03-01,389616.0,Orissa,Cuttack,Maize,0.5,3200.0,3500.0,3300.0,2013,3
740,2013-04-01,375461.0,Orissa,Cuttack,Maize,1.5,1500.0,1600.0,1550.0,2013,4
763,2013-05-01,390112.0,Orissa,Cuttack,Maize,18.25,1600.0,2000.0,1848.0,2013,5
782,2013-06-01,390381.0,Orissa,Cuttack,Maize,1.5,1500.0,1700.0,1600.0,2013,6
794,2013-07-01,390641.0,Orissa,Cuttack,Maize,16.0,1500.0,2000.0,1857.0,2013,7
804,2013-08-01,397881.0,Orissa,Cuttack,Maize,1.0,1500.0,1700.0,1600.0,2013,8
814,2013-09-01,376714.0,Orissa,Cuttack,Maize,1.5,1500.0,1700.0,1600.0,2013,9
819,2013-10-01,391320.0,Orissa,Cuttack,Maize,16.0,1500.0,1800.0,1616.0,2013,10
825,2013-11-01,391524.0,Orissa,Cuttack,Maize,3.0,1500.0,1700.0,1600.0,2013,11
832,2013-12-01,377548.0,Orissa,Cuttack,Maize,1.5,1500.0,1700.0,1600.0,2013,12
839,2014-01-01,486919.0,Orissa,Cuttack,Maize,5.0,2000.0,2200.0,2100.0,2014,1
844,2014-02-01,466081.0,Orissa,Cuttack,Maize,3.0,1500.0,1700.0,1600.0,2014,2
854,2014-03-01,466281.0,Orissa,Cuttack,Maize,3.0,1700.0,1800.0,1750.0,2014,3
864,2014-04-01,480924.0,Orissa,Cuttack,Maize,5.0,2000.0,2200.0,2100.0,2014,4
880,2014-05-01,487868.0,Orissa,Cuttack,Maize,5.0,2000.0,2200.0,2100.0,2014,5
896,2014-06-01,497774.0,Orissa,Cuttack,Maize,1.5,2200.0,2500.0,2300.0,2014,6
905,2014-07-01,467350.0,Orissa,Cuttack,Maize,5.0,1800.0,2000.0,1900.0,2014,7
914,2014-08-01,488665.0,Orissa,Cuttack,Maize,3.0,2000.0,2200.0,2100.0,2014,8
923,2014-09-01,488943.0,Orissa,Cuttack,Maize,5.0,2000.0,2200.0,2100.0,2014,9
937,2014-10-01,467942.0,Orissa,Cuttack,Maize,5.0,1800.0,2000.0,1900.0,2014,10
944,2014-11-01,489374.0,Orissa,Cuttack,Maize,3.0,2000.0,2200.0,2100.0,2014,11
953,2014-12-01,468496.0,Orissa,Cuttack,Maize,1.0,1800.0,2000.0,1900.0,2014,12
966,2015-01-01,548789.0,Orissa,Cuttack,Maize,10.0,2100.0,2100.0,2100.0,2015,1
984,2015-02-01,545891.0,Orissa,Cuttack,Maize,37.0,2482.0,2482.0,2482.0,2015,2
1006,2015-03-01,546144.0,Orissa,Cuttack,Maize,10.0,2000.0,2000.0,2000.0,2015,3
1027,2015-04-01,546353.0,Orissa,Cuttack,Maize,16.0,2095.0,2095.0,2095.0,2015,4
1041,2015-05-01,546584.0,Orissa,Cuttack,Maize,10.0,2239.0,2239.0,2239.0,2015,5
1057,2015-06-01,546883.0,Orissa,Cuttack,Maize,36.0,1723.5,1723.5,1723.5,2015,6
1078,2015-07-01,555462.0,Orissa,Cuttack,Maize,19.0,1600.0,1600.0,1600.0,2015,7
1097,2015-08-01,547493.0,Orissa,Cuttack,Maize,12.5,1833.5,1833.5,1833.5,2015,8
1128,2015-09-01,547793.0,Orissa,Cuttack,Maize,17.53,1500.0,1500.0,1500.0,2015,9
1149,2015-10-01,556213.0,Orissa,Cuttack,Maize,33.6,2074.5,2074.5,2074.5,2015,10
1175,2015-11-01,556522.0,Orissa,Cuttack,Maize,36.0,2067.0,2067.0,2067.0,2015,11
1206,2015-12-01,548489.0,Orissa,Cuttack,Maize,14.75,2012.0,2012.0,2012.0,2015,12
1228,2016-01-01,638748.0,Orissa,Cuttack,Maize,3.0,2000.0,2000.0,2000.0,2016,1
1252,2016-02-01,642988.0,Orissa,Cuttack,Maize,20.5,1900.0,1900.0,1900.0,2016,2
1276,2016-03-01,643246.0,Orissa,Cuttack,Maize,4.0,2000.0,2000.0,2000.0,2016,3
1299,2016-04-01,636625.0,Orissa,Cuttack,Maize,4.6,1850.0,1850.0,1850.0,2016,4
1324,2016-05-01,636859.0,Orissa,Cuttack,Maize,2.0,2000.0,2000.0,2000.0,2016,5
1352,2016-06-01,637131.0,Orissa,Cuttack,Maize,1.5,2000.0,2000.0,2000.0,2016,6
1373,2016-07-01,637354.0,Orissa,Cuttack,Maize,1.0,2000.0,2000.0,2000.0,2016,7
1409,2016-08-01,637597.0,Orissa,Cuttack,Maize,4.0,2000.0,2000.0,2000.0,2016,8
1430,2016-09-01,637826.0,Orissa,Cuttack,Maize,7.5,2000.0,2000.0,2000.0,2016,9
1456,2016-10-01,638005.0,Orissa,Cuttack,Maize,8.25,1600.0,1600.0,1600.0,2016,10
1473,2016-11-01,645157.0,Orissa,Cuttack,Maize,35.5,1700.0,1700.0,1700.0,2016,11
1492,2016-12-01,638491.0,Orissa,Cuttack,Maize,25.0,1800.0,1800.0,1800.0,2016,12
1503,2017-01-01,719730.0,Orissa,Cuttack,Maize,2.0,2300.0,2500.0,2300.0,2017,1
1513,2017-02-01,716946.0,Orissa,Cuttack,Maize,2.1,2200.0,2200.0,2200.0,2017,2
1517,2017-03-01,724107.0,Orissa,Cuttack,Maize,2.0,2100.0,2500.0,2100.0,2017,3
1519,2017-04-01,730704.0,Orissa,Cuttack,Maize,1.6,2200.0,2500.0,2200.0,2017,4
1520,2017-05-01,,Orissa,Cuttack,Maize,24.214311926605507,1598.5550458715597,1768.1880733944954,1740.6591927876427,2017,5
1521,2017-06-01,,Orissa,Cuttack,Maize,24.214311926605507,1598.5550458715597,1768.1880733944954,1740.6591927876427,2017,6
1522,2017-07-01,,Orissa,Cuttack,Maize,24.214311926605507,1598.5550458715597,1768.1880733944954,1740.6591927876427,2017,7
1523,2017-08-01,,Orissa,Cuttack,Maize,24.214311926605507,1598.5550458715597,1768.1880733944954,1740.6591927876427,2017,8
1524,2017-09-01,,Orissa,Cuttack,Maize,24.214311926605507,1598.5550458715597,1768.1880733944954,1740.6591927876427,2017,9
1525,2017-10-01,,Orissa,Cuttack,Maize,24.214311926605507,1598.5550458715597,1768.1880733944954,1740.6591927876427,2017,10
1526,2017-11-01,719046.0,Orissa,Cuttack,Maize,2.0,2600.0,2600.0,2600.0,2017,11
1527,2017-12-01,,Orissa,Cuttack,Maize,24.214311926605507,1598.5550458715597,1768.1880733944954,1740.6591927876427,2017,12
