,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Orissa,Nowarangpur,Maize,19.020731707317072,1566.6463414634147,1570.3048780487804,1641.4677074860128,2008,1
1,2008-02-01,30246.0,Orissa,Nowarangpur,Maize,193.0,1300.0,1350.0,1300.0,2008,2
2,2008-03-01,39959.0,Orissa,Nowarangpur,Maize,16.0,1375.0,1375.0,1375.0,2008,3
3,2008-04-01,19620.0,Orissa,Nowarangpur,Maize,10.0,950.0,950.0,950.0,2008,4
4,2008-05-01,21954.0,Orissa,Nowarangpur,Maize,70.0,400.0,400.0,400.0,2008,5
6,2008-06-01,27831.0,Orissa,Nowarangpur,Maize,2.5,900.0,900.0,900.0,2008,6
10,2008-07-01,20774.0,Orissa,Nowarangpur,Maize,30.0,250.0,400.0,300.0,2008,7
18,2008-08-01,37973.0,Orissa,Nowarangpur,Maize,16.0,1200.0,1200.0,1200.0,2008,8
19,2008-09-01,31380.0,Orissa,Nowarangpur,Maize,17.0,1350.0,1350.0,1350.0,2008,9
20,2008-10-01,31555.0,Orissa,Nowarangpur,Maize,81.5,1300.0,1300.0,1300.0,2008,10
23,2008-11-01,,Orissa,Nowarangpur,Maize,19.020731707317072,1566.6463414634147,1570.3048780487804,1641.4677074860128,2008,11
24,2008-12-01,11591.0,Orissa,Nowarangpur,Maize,2.0,1000.0,1000.0,1000.0,2008,12
27,2009-01-01,62025.0,Orissa,Nowarangpur,Maize,11.7,500.0,500.0,500.0,2009,1
29,2009-02-01,65676.0,Orissa,Nowarangpur,Maize,1.5,1200.0,1200.0,1200.0,2009,2
32,2009-03-01,58460.0,Orissa,Nowarangpur,Maize,17.0,1080.0,1080.0,1080.0,2009,3
34,2009-04-01,,Orissa,Nowarangpur,Maize,19.020731707317072,1566.6463414634147,1570.3048780487804,1641.4677074860128,2009,4
35,2009-05-01,80240.0,Orissa,Nowarangpur,Maize,4.0,1400.0,1500.0,1400.0,2009,5
36,2009-06-01,58826.0,Orissa,Nowarangpur,Maize,40.0,1540.0,1540.0,1540.0,2009,6
37,2009-07-01,,Orissa,Nowarangpur,Maize,19.020731707317072,1566.6463414634147,1570.3048780487804,1641.4677074860128,2009,7
38,2009-08-01,,Orissa,Nowarangpur,Maize,19.020731707317072,1566.6463414634147,1570.3048780487804,1641.4677074860128,2009,8
39,2009-09-01,98078.0,Orissa,Nowarangpur,Maize,3.0,1250.0,1250.0,1250.0,2009,9
40,2009-10-01,107742.0,Orissa,Nowarangpur,Maize,10.0,1600.0,1600.0,1600.0,2009,10
