,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,63,Orissa,Puri,Maize,11.0,900.0,1200.0,1000.0,2008,1
54,2008-02-01,199,Orissa,Puri,Maize,16.0,900.0,1200.0,1000.0,2008,2
109,2008-03-01,354,Orissa,Puri,Maize,12.0,1050.0,1200.0,1100.0,2008,3
165,2008-04-01,513,Orissa,Puri,Maize,14.0,900.0,1200.0,1000.0,2008,4
224,2008-05-01,677,Orissa,Puri,Maize,12.0,900.0,1200.0,1000.0,2008,5
279,2008-06-01,770,Orissa,Puri,Maize,15.6,900.0,1200.0,1000.0,2008,6
335,2008-07-01,896,Orissa,Puri,Maize,13.0,900.0,1200.0,1000.0,2008,7
396,2008-08-01,1081,Orissa,Puri,Maize,20.0,1000.0,1400.0,1200.0,2008,8
460,2008-09-01,1267,Orissa,Puri,Maize,15.0,900.0,1200.0,1000.0,2008,9
516,2008-10-01,1446,Orissa,Puri,Maize,5.0,1050.0,1200.0,1100.0,2008,10
574,2008-11-01,1616,Orissa,Puri,Maize,10.0,900.0,1200.0,1000.0,2008,11
632,2008-12-01,1756,Orissa,Puri,Maize,16.0,900.0,1200.0,1000.0,2008,12
700,2009-01-01,58096,Orissa,Puri,Maize,16.9,1200.0,1300.0,1250.0,2009,1
758,2009-02-01,58273,Orissa,Puri,Maize,12.8,1000.0,1400.0,1200.0,2009,2
808,2009-03-01,58454,Orissa,Puri,Maize,12.5,1400.0,2000.0,1600.0,2009,3
869,2009-04-01,58574,Orissa,Puri,Maize,17.5,1000.0,1400.0,1200.0,2009,4
924,2009-05-01,58688,Orissa,Puri,Maize,13.5,1000.0,1400.0,1200.0,2009,5
977,2009-06-01,58819,Orissa,Puri,Maize,14.0,1000.0,1400.0,1200.0,2009,6
1025,2009-07-01,58984,Orissa,Puri,Maize,15.0,1150.0,1400.0,1350.0,2009,7
1085,2009-08-01,59119,Orissa,Puri,Maize,10.0,1200.0,1350.0,1250.0,2009,8
1139,2009-09-01,59283,Orissa,Puri,Maize,13.5,1000.0,1400.0,1200.0,2009,9
1198,2009-10-01,59435,Orissa,Puri,Maize,18.0,1400.0,2000.0,1800.0,2009,10
1252,2009-11-01,59549,Orissa,Puri,Maize,15.7,1250.0,1400.0,1350.0,2009,11
1294,2009-12-01,59708,Orissa,Puri,Maize,14.5,1000.0,1400.0,1200.0,2009,12
1353,2010-01-01,117317,Orissa,Puri,Maize,8.0,1200.0,1400.0,2242.816890428117,2010,1
1416,2010-02-01,123294,Orissa,Puri,Maize,6.0,1200.0,1300.0,2242.816890428117,2010,2
1472,2010-03-01,129503,Orissa,Puri,Maize,4.0,1200.0,1300.0,2242.816890428117,2010,3
1534,2010-04-01,136820,Orissa,Puri,Maize,6.5,1300.0,1400.0,2242.816890428117,2010,4
1581,2010-05-01,143127,Orissa,Puri,Maize,6.0,1500.0,1600.0,2242.816890428117,2010,5
1641,2010-06-01,149904,Orissa,Puri,Maize,8.5,1150.0,1200.0,2242.816890428117,2010,6
1692,2010-07-01,156903,Orissa,Puri,Maize,8.0,1150.0,1200.0,2242.816890428117,2010,7
1742,2010-08-01,163157,Orissa,Puri,Maize,10.0,1150.0,1200.0,2242.816890428117,2010,8
1801,2010-09-01,169935,Orissa,Puri,Maize,13.9,1250.0,1400.0,2242.816890428117,2010,9
1837,2010-10-01,176828,Orissa,Puri,Maize,7.0,1300.0,1400.0,2242.816890428117,2010,10
1888,2010-11-01,183532,Orissa,Puri,Maize,14.5,1500.0,1600.0,2242.816890428117,2010,11
1928,2010-12-01,189800,Orissa,Puri,Maize,4.0,1400.0,1500.0,2242.816890428117,2010,12
1960,2011-01-01,196573,Orissa,Puri,Maize,5.0,1400.0,1600.0,1500.0,2011,1
1997,2011-02-01,196768,Orissa,Puri,Maize,8.0,1400.0,1500.0,1500.0,2011,2
2027,2011-03-01,196975,Orissa,Puri,Maize,5.0,1400.0,1600.0,1500.0,2011,3
2067,2011-04-01,197236,Orissa,Puri,Maize,6.0,1600.0,2000.0,1800.0,2011,4
2114,2011-05-01,197512,Orissa,Puri,Maize,5.0,1500.0,1600.0,1600.0,2011,5
2164,2011-06-01,205139,Orissa,Puri,Maize,16.4,1600.0,1800.0,1700.0,2011,6
2204,2011-07-01,198049,Orissa,Puri,Maize,5.6,1500.0,1600.0,1600.0,2011,7
