,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,1864.0,Orissa,Sambalpur,Maize,35.0,1200.0,1250.0,1240.0,2008,1
16,2008-02-01,5044.0,Orissa,Sambalpur,Maize,37.0,1220.0,1300.0,1260.0,2008,2
31,2008-03-01,5168.0,Orissa,Sambalpur,Maize,35.0,1220.0,1300.0,1260.0,2008,3
35,2008-04-01,5323.0,Orissa,Sambalpur,Maize,37.0,1220.0,1300.0,1260.0,2008,4
38,2008-05-01,5538.0,Orissa,Sambalpur,Maize,38.0,1220.0,1300.0,1260.0,2008,5
42,2008-06-01,772.0,Orissa,Sambalpur,Maize,37.0,1200.0,1250.0,1220.0,2008,6
61,2008-07-01,899.0,Orissa,Sambalpur,Maize,38.0,1200.0,1250.0,1220.0,2008,7
83,2008-08-01,6112.0,Orissa,Sambalpur,Maize,38.0,1240.0,1300.0,1260.0,2008,8
107,2008-09-01,6257.0,Orissa,Sambalpur,Maize,37.0,1240.0,1300.0,1260.0,2008,9
129,2008-10-01,6355.0,Orissa,Sambalpur,Maize,38.0,1230.0,1300.0,1260.0,2008,10
139,2008-11-01,31734.0,Orissa,Sambalpur,Maize,510.0,1340.0,1500.0,1400.0,2008,11
159,2008-12-01,1758.0,Orissa,Sambalpur,Maize,36.0,1200.0,1250.0,1240.0,2008,12
185,2009-01-01,58097.0,Orissa,Sambalpur,Maize,56.0,1430.0,1600.0,1500.0,2009,1
212,2009-02-01,58275.0,Orissa,Sambalpur,Maize,58.0,1430.0,1600.0,1500.0,2009,2
227,2009-03-01,58457.0,Orissa,Sambalpur,Maize,55.0,1430.0,1600.0,1500.0,2009,3
257,2009-04-01,58576.0,Orissa,Sambalpur,Maize,54.0,1430.0,1600.0,1500.0,2009,4
286,2009-05-01,58690.0,Orissa,Sambalpur,Maize,58.0,1430.0,1600.0,1500.0,2009,5
303,2009-06-01,58822.0,Orissa,Sambalpur,Maize,57.0,1430.0,1600.0,1500.0,2009,6
331,2009-07-01,58985.0,Orissa,Sambalpur,Maize,56.0,1430.0,1600.0,1500.0,2009,7
360,2009-08-01,59120.0,Orissa,Sambalpur,Maize,58.0,1430.0,1600.0,1500.0,2009,8
389,2009-09-01,59285.0,Orissa,Sambalpur,Maize,56.0,1430.0,1600.0,1500.0,2009,9
410,2009-10-01,59438.0,Orissa,Sambalpur,Maize,58.0,1430.0,1600.0,1500.0,2009,10
434,2009-11-01,59550.0,Orissa,Sambalpur,Maize,55.0,1430.0,1600.0,1500.0,2009,11
457,2009-12-01,59710.0,Orissa,Sambalpur,Maize,56.0,1430.0,1600.0,1500.0,2009,12
475,2010-01-01,117319.0,Orissa,Sambalpur,Maize,57.0,1460.0,1550.0,2242.816890428117,2010,1
492,2010-02-01,123296.0,Orissa,Sambalpur,Maize,55.0,1560.0,1600.0,2242.816890428117,2010,2
520,2010-03-01,129504.0,Orissa,Sambalpur,Maize,58.0,1560.0,1600.0,2242.816890428117,2010,3
551,2010-04-01,136640.0,Orissa,Sambalpur,Maize,57.0,1550.0,1620.0,2242.816890428117,2010,4
581,2010-05-01,143130.0,Orissa,Sambalpur,Maize,58.0,1550.0,1620.0,2242.816890428117,2010,5
612,2010-06-01,149907.0,Orissa,Sambalpur,Maize,60.0,1550.0,1630.0,2242.816890428117,2010,6
642,2010-07-01,156684.0,Orissa,Sambalpur,Maize,62.0,1580.0,1630.0,2242.816890428117,2010,7
671,2010-08-01,163159.0,Orissa,Sambalpur,Maize,60.0,1600.0,1650.0,2242.816890428117,2010,8
702,2010-09-01,169936.0,Orissa,Sambalpur,Maize,60.0,1700.0,1800.0,2242.816890428117,2010,9
732,2010-10-01,176830.0,Orissa,Sambalpur,Maize,65.0,1750.0,1800.0,2242.816890428117,2010,10
763,2010-11-01,183533.0,Orissa,Sambalpur,Maize,65.0,1780.0,1850.0,2242.816890428117,2010,11
793,2010-12-01,189802.0,Orissa,Sambalpur,Maize,65.0,1800.0,1900.0,2242.816890428117,2010,12
816,2011-01-01,,Orissa,Sambalpur,Maize,64.30555555555556,1425.8333333333333,1529.1666666666667,1668.161185698262,2011,1
817,2011-02-01,,Orissa,Sambalpur,Maize,64.30555555555556,1425.8333333333333,1529.1666666666667,1668.161185698262,2011,2
