,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2008,1
1,2008-02-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2008,2
2,2008-03-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2008,3
3,2008-04-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2008,4
4,2008-05-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2008,5
5,2008-06-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2008,6
6,2008-07-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2008,7
7,2008-08-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2008,8
8,2008-09-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2008,9
9,2008-10-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2008,10
10,2008-11-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2008,11
11,2008-12-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2008,12
12,2009-01-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2009,1
13,2009-02-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2009,2
14,2009-03-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2009,3
15,2009-04-01,75733.0,Punjab,Fazilka,Maize,40.0,1450.0,1485.0,1470.0,2009,4
16,2009-05-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2009,5
17,2009-06-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2009,6
18,2009-07-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2009,7
19,2009-08-01,95233.0,Punjab,Fazilka,Maize,220.0,1570.0,1610.0,1595.0,2009,8
20,2009-09-01,99643.0,Punjab,Fazilka,Maize,340.0,1600.0,1650.0,1635.0,2009,9
21,2009-10-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2009,10
22,2009-11-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2009,11
23,2009-12-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2009,12
24,2010-01-01,123128.0,Punjab,Fazilka,Maize,6.5,0.0,1560.0,2242.816890428117,2010,1
25,2010-02-01,123299.0,Punjab,Fazilka,Maize,7.6,0.0,1565.0,2242.816890428117,2010,2
31,2010-03-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2010,3
32,2010-04-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2010,4
33,2010-05-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2010,5
34,2010-06-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2010,6
35,2010-07-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2010,7
36,2010-08-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2010,8
37,2010-09-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2010,9
38,2010-10-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2010,10
39,2010-11-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2010,11
40,2010-12-01,,Punjab,Fazilka,Maize,100.56666666666666,1230.0,1663.3333333333333,1795.6259756506927,2010,12
