,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2008,1
1,2008-02-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2008,2
2,2008-03-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2008,3
3,2008-04-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2008,4
4,2008-05-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2008,5
5,2008-06-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2008,6
6,2008-07-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2008,7
7,2008-08-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2008,8
8,2008-09-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2008,9
9,2008-10-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2008,10
10,2008-11-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2008,11
11,2008-12-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2008,12
12,2009-01-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2009,1
13,2009-02-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2009,2
14,2009-03-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2009,3
15,2009-04-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2009,4
16,2009-05-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2009,5
17,2009-06-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2009,6
18,2009-07-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2009,7
19,2009-08-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2009,8
20,2009-09-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2009,9
21,2009-10-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2009,10
22,2009-11-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2009,11
23,2009-12-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2009,12
24,2010-01-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2010,1
25,2010-02-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2010,2
26,2010-03-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2010,3
27,2010-04-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2010,4
28,2010-05-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2010,5
29,2010-06-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2010,6
30,2010-07-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2010,7
31,2010-08-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2010,8
32,2010-09-01,175809.0,Telangana,Adilabad,Maize,100.0,0.0,1530.0,2242.816890428117,2010,9
35,2010-10-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2010,10
36,2010-11-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2010,11
37,2010-12-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2010,12
38,2011-01-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2011,1
39,2011-02-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2011,2
40,2011-03-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2011,3
41,2011-04-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2011,4
42,2011-05-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2011,5
43,2011-06-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2011,6
44,2011-07-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2011,7
45,2011-08-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2011,8
46,2011-09-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2011,9
47,2011-10-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2011,10
48,2011-11-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2011,11
49,2011-12-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2011,12
50,2012-01-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2012,1
51,2012-02-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2012,2
52,2012-03-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2012,3
53,2012-04-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2012,4
54,2012-05-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2012,5
55,2012-06-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2012,6
56,2012-07-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2012,7
57,2012-08-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2012,8
58,2012-09-01,348109.0,Telangana,Adilabad,Maize,6.0,2300.0,2500.0,2400.0,2012,9
59,2012-10-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2012,10
60,2012-11-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2012,11
61,2012-12-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2012,12
62,2013-01-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2013,1
63,2013-02-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2013,2
64,2013-03-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2013,3
65,2013-04-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2013,4
66,2013-05-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2013,5
67,2013-06-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2013,6
68,2013-07-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2013,7
69,2013-08-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2013,8
70,2013-09-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2013,9
71,2013-10-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2013,10
72,2013-11-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2013,11
73,2013-12-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2013,12
74,2014-01-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2014,1
75,2014-02-01,,Telangana,Adilabad,Maize,6.437058823529412,2782.3529411764707,2884.1176470588234,2920.165699436948,2014,2
