,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,70.0,Tripura,South District,Maize,5.4,1675.0,1710.0,1685.0,2008,1
33,2008-02-01,204.0,Tripura,South District,Maize,5.6,1680.0,1720.0,1690.0,2008,2
36,2008-03-01,15147.0,Tripura,South District,Maize,0.5,1600.0,1800.0,1700.0,2008,3
37,2008-04-01,518.0,Tripura,South District,Maize,6.0,1700.0,1760.0,1720.0,2008,4
40,2008-05-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2008,5
41,2008-06-01,776.0,Tripura,South District,Maize,6.0,1730.0,1770.0,1750.0,2008,6
44,2008-07-01,33795.0,Tripura,South District,Maize,0.2,1650.0,1800.0,1700.0,2008,7
45,2008-08-01,1086.0,Tripura,South District,Maize,5.0,1740.0,1780.0,1760.0,2008,8
48,2008-09-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2008,9
49,2008-10-01,1450.0,Tripura,South District,Maize,4.5,1750.0,1780.0,1760.0,2008,10
52,2008-11-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2008,11
53,2008-12-01,1762.0,Tripura,South District,Maize,4.7,1775.0,1800.0,1785.0,2008,12
56,2009-01-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2009,1
57,2009-02-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2009,2
58,2009-03-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2009,3
59,2009-04-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2009,4
60,2009-05-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2009,5
61,2009-06-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2009,6
62,2009-07-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2009,7
63,2009-08-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2009,8
64,2009-09-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2009,9
65,2009-10-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2009,10
66,2009-11-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2009,11
67,2009-12-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2009,12
68,2010-01-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2010,1
69,2010-02-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2010,2
70,2010-03-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2010,3
71,2010-04-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2010,4
72,2010-05-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2010,5
73,2010-06-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2010,6
74,2010-07-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2010,7
75,2010-08-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2010,8
76,2010-09-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2010,9
77,2010-10-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2010,10
78,2010-11-01,,Tripura,South District,Maize,1.6919148936170212,2242.340425531915,2410.691489361702,2335.615073302427,2010,11
