,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,73.0,Tripura,West District,Maize,0.7,1800.0,2000.0,1900.0,2008,1
47,2008-02-01,207.0,Tripura,West District,Maize,3.0,1500.0,1600.0,1550.0,2008,2
95,2008-03-01,358.0,Tripura,West District,Maize,0.8,1750.0,1900.0,1850.0,2008,3
178,2008-04-01,521.0,Tripura,West District,Maize,0.5,1800.0,2000.0,1900.0,2008,4
224,2008-05-01,685.0,Tripura,West District,Maize,0.8,1750.0,1900.0,1850.0,2008,5
286,2008-06-01,779.0,Tripura,West District,Maize,0.6,1750.0,1900.0,1850.0,2008,6
313,2008-07-01,904.0,Tripura,West District,Maize,0.6,1700.0,1900.0,1800.0,2008,7
374,2008-08-01,1089.0,Tripura,West District,Maize,0.8,1700.0,1900.0,1800.0,2008,8
424,2008-09-01,11044.0,Tripura,West District,Maize,0.6,1700.0,1900.0,1800.0,2008,9
474,2008-10-01,1453.0,Tripura,West District,Maize,0.6,1700.0,1900.0,1800.0,2008,10
546,2008-11-01,1621.0,Tripura,West District,Maize,0.6,1700.0,1900.0,1800.0,2008,11
610,2008-12-01,6708.0,Tripura,West District,Maize,0.8,1700.0,1900.0,1800.0,2008,12
642,2009-01-01,59888.0,Tripura,West District,Maize,1.5,1800.0,2000.0,1900.0,2009,1
702,2009-02-01,58282.0,Tripura,West District,Maize,12.0,1500.0,1600.0,1550.0,2009,2
768,2009-03-01,63135.0,Tripura,West District,Maize,1.5,1800.0,2000.0,1900.0,2009,3
825,2009-04-01,72833.0,Tripura,West District,Maize,1.9,1800.0,2000.0,1900.0,2009,4
852,2009-05-01,58695.0,Tripura,West District,Maize,12.0,1500.0,1600.0,1550.0,2009,5
892,2009-06-01,63697.0,Tripura,West District,Maize,1.8,1800.0,2000.0,1900.0,2009,6
947,2009-07-01,63897.0,Tripura,West District,Maize,1.0,1820.0,2000.0,1900.0,2009,7
985,2009-08-01,64010.0,Tripura,West District,Maize,1.2,1850.0,2050.0,1950.0,2009,8
1030,2009-09-01,59291.0,Tripura,West District,Maize,12.0,1500.0,1600.0,1550.0,2009,9
1059,2009-10-01,64325.0,Tripura,West District,Maize,1.5,1850.0,2050.0,1950.0,2009,10
1089,2009-11-01,78070.0,Tripura,West District,Maize,1.5,1800.0,2000.0,1900.0,2009,11
1129,2009-12-01,59717.0,Tripura,West District,Maize,1.8,1800.0,2000.0,1900.0,2009,12
1150,2010-01-01,119286.0,Tripura,West District,Maize,1.6,2000.0,2100.0,2242.816890428117,2010,1
1154,2010-02-01,123305.0,Tripura,West District,Maize,22.0,1600.0,1800.0,2242.816890428117,2010,2
1166,2010-03-01,129507.0,Tripura,West District,Maize,10.0,1600.0,1800.0,2242.816890428117,2010,3
1175,2010-04-01,136643.0,Tripura,West District,Maize,2.0,1600.0,1700.0,2242.816890428117,2010,4
1181,2010-05-01,,Tripura,West District,Maize,3.059298245614035,2224.2982456140353,2451.315789473684,2363.657029320778,2010,5
1182,2010-06-01,,Tripura,West District,Maize,3.059298245614035,2224.2982456140353,2451.315789473684,2363.657029320778,2010,6
