,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,1869,Uttar Pradesh,Agra,Maize,2.0,1150.0,1225.0,1200.0,2008,1
41,2008-02-01,5052,Uttar Pradesh,Agra,Maize,70.0,1225.0,1260.0,1250.0,2008,2
77,2008-03-01,5171,Uttar Pradesh,Agra,Maize,1.5,1160.0,1220.0,1200.0,2008,3
100,2008-04-01,5330,Uttar Pradesh,Agra,Maize,80.0,1225.0,1260.0,1250.0,2008,4
146,2008-05-01,5547,Uttar Pradesh,Agra,Maize,75.0,1225.0,1260.0,1250.0,2008,5
191,2008-06-01,5744,Uttar Pradesh,Agra,Maize,70.0,1225.0,1260.0,1250.0,2008,6
234,2008-07-01,909,Uttar Pradesh,Agra,Maize,50.0,1200.0,1225.0,1200.0,2008,7
270,2008-08-01,1091,Uttar Pradesh,Agra,Maize,45.0,1200.0,1225.0,1200.0,2008,8
294,2008-09-01,1274,Uttar Pradesh,Agra,Maize,65.0,1200.0,1225.0,1200.0,2008,9
315,2008-10-01,1455,Uttar Pradesh,Agra,Maize,60.0,1160.0,1210.0,1200.0,2008,10
337,2008-11-01,1623,Uttar Pradesh,Agra,Maize,50.0,1160.0,1210.0,1200.0,2008,11
360,2008-12-01,1765,Uttar Pradesh,Agra,Maize,40.0,1165.0,1225.0,1200.0,2008,12
383,2009-01-01,58102,Uttar Pradesh,Agra,Maize,90.0,1450.0,1550.0,1500.0,2009,1
401,2009-02-01,58285,Uttar Pradesh,Agra,Maize,120.0,1450.0,1525.0,1500.0,2009,2
422,2009-03-01,58463,Uttar Pradesh,Agra,Maize,80.0,1450.0,1550.0,1550.0,2009,3
445,2009-04-01,74130,Uttar Pradesh,Agra,Maize,70.0,1535.0,1565.0,1550.0,2009,4
467,2009-05-01,77231,Uttar Pradesh,Agra,Maize,70.0,1450.0,1525.0,1500.0,2009,5
489,2009-06-01,73087,Uttar Pradesh,Agra,Maize,75.0,1500.0,1560.0,1550.0,2009,6
506,2009-07-01,58993,Uttar Pradesh,Agra,Maize,40.0,1475.0,1550.0,1500.0,2009,7
530,2009-08-01,73411,Uttar Pradesh,Agra,Maize,65.0,1500.0,1565.0,1550.0,2009,8
549,2009-09-01,59294,Uttar Pradesh,Agra,Maize,25.0,1450.0,1550.0,1500.0,2009,9
573,2009-10-01,59443,Uttar Pradesh,Agra,Maize,30.0,1475.0,1550.0,1500.0,2009,10
581,2009-11-01,64517,Uttar Pradesh,Agra,Maize,60.0,1450.0,1525.0,1500.0,2009,11
600,2009-12-01,59722,Uttar Pradesh,Agra,Maize,65.0,1500.0,1600.0,1500.0,2009,12
611,2010-01-01,117324,Uttar Pradesh,Agra,Maize,88.0,1575.0,1590.0,2242.816890428117,2010,1
632,2010-02-01,123306,Uttar Pradesh,Agra,Maize,2.0,1600.0,1625.0,2242.816890428117,2010,2
798,2010-03-01,129667,Uttar Pradesh,Agra,Maize,84.0,1550.0,1590.0,2242.816890428117,2010,3
997,2010-04-01,136644,Uttar Pradesh,Agra,Maize,1.5,1500.0,1520.0,2242.816890428117,2010,4
