,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,75.0,Uttar Pradesh,Azamgarh,Maize,11.5,980.0,980.0,980.0,2008,1
21,2008-02-01,6916.0,Uttar Pradesh,Azamgarh,Maize,11.0,980.0,980.0,980.0,2008,2
37,2008-03-01,365.0,Uttar Pradesh,Azamgarh,Maize,11.5,980.0,980.0,980.0,2008,3
50,2008-04-01,530.0,Uttar Pradesh,Azamgarh,Maize,11.5,980.0,980.0,980.0,2008,4
71,2008-05-01,5552.0,Uttar Pradesh,Azamgarh,Maize,11.0,980.0,980.0,980.0,2008,5
90,2008-06-01,5750.0,Uttar Pradesh,Azamgarh,Maize,10.0,980.0,980.0,980.0,2008,6
107,2008-07-01,914.0,Uttar Pradesh,Azamgarh,Maize,11.5,985.0,985.0,985.0,2008,7
119,2008-08-01,1094.0,Uttar Pradesh,Azamgarh,Maize,11.0,985.0,985.0,985.0,2008,8
137,2008-09-01,1279.0,Uttar Pradesh,Azamgarh,Maize,8.0,1000.0,1000.0,1000.0,2008,9
157,2008-10-01,1461.0,Uttar Pradesh,Azamgarh,Maize,10.0,980.0,980.0,980.0,2008,10
171,2008-11-01,1629.0,Uttar Pradesh,Azamgarh,Maize,10.0,980.0,980.0,980.0,2008,11
185,2008-12-01,6715.0,Uttar Pradesh,Azamgarh,Maize,10.0,980.0,980.0,980.0,2008,12
199,2009-01-01,58106.0,Uttar Pradesh,Azamgarh,Maize,10.0,1150.0,1170.0,1160.0,2009,1
219,2009-02-01,58290.0,Uttar Pradesh,Azamgarh,Maize,10.0,1150.0,1170.0,1160.0,2009,2
234,2009-03-01,69599.0,Uttar Pradesh,Azamgarh,Maize,15.0,1265.0,1285.0,1275.0,2009,3
251,2009-04-01,63319.0,Uttar Pradesh,Azamgarh,Maize,12.5,1220.0,1240.0,1230.0,2009,4
268,2009-05-01,77236.0,Uttar Pradesh,Azamgarh,Maize,20.0,1240.0,1260.0,1250.0,2009,5
280,2009-06-01,58832.0,Uttar Pradesh,Azamgarh,Maize,10.0,1190.0,1210.0,1200.0,2009,6
297,2009-07-01,88206.0,Uttar Pradesh,Azamgarh,Maize,11.0,1230.0,1250.0,1240.0,2009,7
312,2009-08-01,82196.0,Uttar Pradesh,Azamgarh,Maize,20.0,1200.0,1220.0,1210.0,2009,8
326,2009-09-01,87423.0,Uttar Pradesh,Azamgarh,Maize,11.0,1220.0,1240.0,1230.0,2009,9
338,2009-10-01,82553.0,Uttar Pradesh,Azamgarh,Maize,30.0,1190.0,1210.0,1200.0,2009,10
357,2009-11-01,64522.0,Uttar Pradesh,Azamgarh,Maize,11.0,1230.0,1250.0,1240.0,2009,11
372,2009-12-01,59727.0,Uttar Pradesh,Azamgarh,Maize,11.0,1185.0,1210.0,1195.0,2009,12
388,2010-01-01,117329.0,Uttar Pradesh,Azamgarh,Maize,12.0,1325.0,1335.0,2242.816890428117,2010,1
405,2010-02-01,123319.0,Uttar Pradesh,Azamgarh,Maize,11.0,1325.0,1335.0,2242.816890428117,2010,2
415,2010-03-01,129674.0,Uttar Pradesh,Azamgarh,Maize,11.0,1340.0,1350.0,2242.816890428117,2010,3
434,2010-04-01,136659.0,Uttar Pradesh,Azamgarh,Maize,12.5,1315.0,1325.0,2242.816890428117,2010,4
451,2010-05-01,143496.0,Uttar Pradesh,Azamgarh,Maize,10.0,1330.0,1340.0,2242.816890428117,2010,5
471,2010-06-01,149926.0,Uttar Pradesh,Azamgarh,Maize,16.0,1360.0,1370.0,2242.816890428117,2010,6
485,2010-07-01,156697.0,Uttar Pradesh,Azamgarh,Maize,12.0,1325.0,1335.0,2242.816890428117,2010,7
499,2010-08-01,163604.0,Uttar Pradesh,Azamgarh,Maize,12.0,1365.0,1375.0,2242.816890428117,2010,8
518,2010-09-01,169949.0,Uttar Pradesh,Azamgarh,Maize,12.0,1355.0,1365.0,2242.816890428117,2010,9
534,2010-10-01,,Uttar Pradesh,Azamgarh,Maize,85.10084033613445,1607.3529411764705,1629.7899159663866,1688.7057629807505,2010,10
535,2010-11-01,183557.0,Uttar Pradesh,Azamgarh,Maize,12.5,1400.0,1410.0,2242.816890428117,2010,11
548,2010-12-01,189817.0,Uttar Pradesh,Azamgarh,Maize,10.0,1410.0,1415.0,2242.816890428117,2010,12
566,2011-01-01,196599.0,Uttar Pradesh,Azamgarh,Maize,12.0,1390.0,1410.0,1400.0,2011,1
581,2011-02-01,204080.0,Uttar Pradesh,Azamgarh,Maize,12.0,1415.0,1435.0,0.0,2011,2
597,2011-03-01,197004.0,Uttar Pradesh,Azamgarh,Maize,11.0,1390.0,1410.0,1400.0,2011,3
614,2011-04-01,204659.0,Uttar Pradesh,Azamgarh,Maize,11.0,1420.0,1440.0,1430.0,2011,4
633,2011-05-01,204960.0,Uttar Pradesh,Azamgarh,Maize,11.0,1420.0,1440.0,1430.0,2011,5
650,2011-06-01,219436.0,Uttar Pradesh,Azamgarh,Maize,21.0,1440.0,1450.0,1450.0,2011,6
664,2011-07-01,205373.0,Uttar Pradesh,Azamgarh,Maize,10.5,1415.0,1435.0,1425.0,2011,7
671,2011-08-01,205644.0,Uttar Pradesh,Azamgarh,Maize,11.0,1415.0,1435.0,1425.0,2011,8
677,2011-09-01,220249.0,Uttar Pradesh,Azamgarh,Maize,15.0,1440.0,1460.0,1450.0,2011,9
681,2011-10-01,198700.0,Uttar Pradesh,Azamgarh,Maize,12.5,1385.0,1395.0,1395.0,2011,10
684,2011-11-01,198935.0,Uttar Pradesh,Azamgarh,Maize,13.0,1385.0,1405.0,1395.0,2011,11
693,2011-12-01,199195.0,Uttar Pradesh,Azamgarh,Maize,11.0,1390.0,1410.0,1400.0,2011,12
710,2012-01-01,287922.0,Uttar Pradesh,Azamgarh,Maize,18.0,1435.0,1455.0,1445.0,2012,1
732,2012-02-01,285398.0,Uttar Pradesh,Azamgarh,Maize,19.0,1425.0,1445.0,1435.0,2012,2
754,2012-03-01,285638.0,Uttar Pradesh,Azamgarh,Maize,20.0,1420.0,1440.0,1430.0,2012,3
775,2012-04-01,285850.0,Uttar Pradesh,Azamgarh,Maize,25.0,1420.0,1440.0,1430.0,2012,4
795,2012-05-01,286061.0,Uttar Pradesh,Azamgarh,Maize,25.0,1420.0,1440.0,1430.0,2012,5
814,2012-06-01,286275.0,Uttar Pradesh,Azamgarh,Maize,18.0,1425.0,1445.0,1435.0,2012,6
838,2012-07-01,286507.0,Uttar Pradesh,Azamgarh,Maize,18.0,1440.0,1460.0,1450.0,2012,7
859,2012-08-01,293684.0,Uttar Pradesh,Azamgarh,Maize,17.0,1175.0,1195.0,1185.0,2012,8
882,2012-09-01,286870.0,Uttar Pradesh,Azamgarh,Maize,20.0,1440.0,1460.0,1450.0,2012,9
902,2012-10-01,287148.0,Uttar Pradesh,Azamgarh,Maize,15.0,1440.0,1460.0,1450.0,2012,10
924,2012-11-01,308540.0,Uttar Pradesh,Azamgarh,Maize,18.0,1430.0,1450.0,1440.0,2012,11
942,2012-12-01,287681.0,Uttar Pradesh,Azamgarh,Maize,15.0,1435.0,1455.0,1445.0,2012,12
963,2013-01-01,374620.0,Uttar Pradesh,Azamgarh,Maize,19.0,1620.0,1640.0,1630.0,2013,1
985,2013-02-01,374922.0,Uttar Pradesh,Azamgarh,Maize,18.0,1615.0,1635.0,1625.0,2013,2
1005,2013-03-01,375200.0,Uttar Pradesh,Azamgarh,Maize,20.0,1615.0,1635.0,1625.0,2013,3
1026,2013-04-01,375486.0,Uttar Pradesh,Azamgarh,Maize,19.0,1620.0,1640.0,1640.0,2013,4
1049,2013-05-01,383182.0,Uttar Pradesh,Azamgarh,Maize,40.0,1640.0,1660.0,1650.0,2013,5
1069,2013-06-01,383456.0,Uttar Pradesh,Azamgarh,Maize,30.0,1645.0,1665.0,1655.0,2013,6
1089,2013-07-01,376178.0,Uttar Pradesh,Azamgarh,Maize,15.0,1635.0,1655.0,1645.0,2013,7
1110,2013-08-01,376456.0,Uttar Pradesh,Azamgarh,Maize,17.5,1610.0,1630.0,1620.0,2013,8
1133,2013-09-01,376738.0,Uttar Pradesh,Azamgarh,Maize,15.0,1590.0,1610.0,1600.0,2013,9
1154,2013-10-01,377042.0,Uttar Pradesh,Azamgarh,Maize,15.0,1590.0,1610.0,1600.0,2013,10
1173,2013-11-01,377316.0,Uttar Pradesh,Azamgarh,Maize,19.0,1610.0,1630.0,1620.0,2013,11
1193,2013-12-01,384925.0,Uttar Pradesh,Azamgarh,Maize,200.0,1650.0,1670.0,1660.0,2013,12
1214,2014-01-01,458580.0,Uttar Pradesh,Azamgarh,Maize,150.0,1865.0,1885.0,1875.0,2014,1
1238,2014-02-01,458811.0,Uttar Pradesh,Azamgarh,Maize,160.0,1860.0,1880.0,1870.0,2014,2
1259,2014-03-01,459090.0,Uttar Pradesh,Azamgarh,Maize,150.0,1865.0,1885.0,1875.0,2014,3
1280,2014-04-01,459385.0,Uttar Pradesh,Azamgarh,Maize,150.0,1870.0,1890.0,1880.0,2014,4
1299,2014-05-01,466811.0,Uttar Pradesh,Azamgarh,Maize,160.0,1890.0,1910.0,1900.0,2014,5
1320,2014-06-01,467081.0,Uttar Pradesh,Azamgarh,Maize,150.0,1625.0,1645.0,1635.0,2014,6
1339,2014-07-01,467374.0,Uttar Pradesh,Azamgarh,Maize,120.0,1930.0,1950.0,1940.0,2014,7
1358,2014-08-01,460358.0,Uttar Pradesh,Azamgarh,Maize,140.0,1845.0,1855.0,1855.0,2014,8
1379,2014-09-01,460642.0,Uttar Pradesh,Azamgarh,Maize,140.0,1845.0,1865.0,1855.0,2014,9
1394,2014-10-01,467969.0,Uttar Pradesh,Azamgarh,Maize,120.0,1930.0,1950.0,1940.0,2014,10
