,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,1989,Uttar Pradesh,Bareilly,Maize,90.0,0.0,0.0,1200.0,2008,1
25,2008-02-01,5059,Uttar Pradesh,Bareilly,Maize,78.5,0.0,0.0,1225.0,2008,2
47,2008-03-01,10031,Uttar Pradesh,Bareilly,Maize,45.0,0.0,0.0,1300.0,2008,3
71,2008-04-01,5339,Uttar Pradesh,Bareilly,Maize,65.0,0.0,0.0,1230.0,2008,4
96,2008-05-01,10406,Uttar Pradesh,Bareilly,Maize,40.0,0.0,0.0,1315.0,2008,5
120,2008-06-01,5755,Uttar Pradesh,Bareilly,Maize,50.0,0.0,0.0,1230.0,2008,6
144,2008-07-01,918,Uttar Pradesh,Bareilly,Maize,108.0,0.0,0.0,1220.0,2008,7
170,2008-08-01,1099,Uttar Pradesh,Bareilly,Maize,125.0,0.0,0.0,1230.0,2008,8
193,2008-09-01,1283,Uttar Pradesh,Bareilly,Maize,130.0,0.0,0.0,1210.0,2008,9
217,2008-10-01,1464,Uttar Pradesh,Bareilly,Maize,110.0,0.0,0.0,1200.0,2008,10
243,2008-11-01,1633,Uttar Pradesh,Bareilly,Maize,120.0,0.0,0.0,1190.0,2008,11
269,2008-12-01,1770,Uttar Pradesh,Bareilly,Maize,135.0,0.0,0.0,1190.0,2008,12
296,2009-01-01,58112,Uttar Pradesh,Bareilly,Maize,48.0,0.0,0.0,1425.0,2009,1
321,2009-02-01,58296,Uttar Pradesh,Bareilly,Maize,18.0,0.0,0.0,425.0,2009,2
344,2009-03-01,58471,Uttar Pradesh,Bareilly,Maize,31.0,0.0,0.0,1420.0,2009,3
370,2009-04-01,63326,Uttar Pradesh,Bareilly,Maize,11.0,0.0,0.0,1465.0,2009,4
396,2009-05-01,58706,Uttar Pradesh,Bareilly,Maize,41.5,0.0,0.0,1420.0,2009,5
420,2009-06-01,58836,Uttar Pradesh,Bareilly,Maize,35.0,0.0,0.0,1425.0,2009,6
445,2009-07-01,59000,Uttar Pradesh,Bareilly,Maize,28.0,0.0,0.0,1425.0,2009,7
473,2009-08-01,59133,Uttar Pradesh,Bareilly,Maize,25.0,0.0,0.0,1430.0,2009,8
498,2009-09-01,59302,Uttar Pradesh,Bareilly,Maize,15.0,0.0,0.0,1435.0,2009,9
523,2009-10-01,59450,Uttar Pradesh,Bareilly,Maize,47.5,0.0,0.0,1430.0,2009,10
551,2009-11-01,64529,Uttar Pradesh,Bareilly,Maize,28.0,0.0,0.0,1440.0,2009,11
577,2009-12-01,59733,Uttar Pradesh,Bareilly,Maize,34.0,0.0,0.0,1425.0,2009,12
601,2010-01-01,117336,Uttar Pradesh,Bareilly,Maize,21.0,0.0,1575.0,2242.816890428117,2010,1
634,2010-02-01,123326,Uttar Pradesh,Bareilly,Maize,27.7,0.0,1535.0,2242.816890428117,2010,2
670,2010-03-01,130188,Uttar Pradesh,Bareilly,Maize,23.0,0.0,1575.0,2242.816890428117,2010,3
693,2010-04-01,136669,Uttar Pradesh,Bareilly,Maize,16.0,0.0,1560.0,2242.816890428117,2010,4
721,2010-05-01,143158,Uttar Pradesh,Bareilly,Maize,40.0,0.0,1600.0,2242.816890428117,2010,5
751,2010-06-01,149934,Uttar Pradesh,Bareilly,Maize,30.0,0.0,1620.0,2242.816890428117,2010,6
781,2010-07-01,156706,Uttar Pradesh,Bareilly,Maize,28.0,0.0,1610.0,2242.816890428117,2010,7
808,2010-08-01,163369,Uttar Pradesh,Bareilly,Maize,21.0,0.0,1630.0,2242.816890428117,2010,8
838,2010-09-01,169957,Uttar Pradesh,Bareilly,Maize,21.0,0.0,1630.0,2242.816890428117,2010,9
870,2010-10-01,176845,Uttar Pradesh,Bareilly,Maize,41.0,0.0,1640.0,2242.816890428117,2010,10
900,2010-11-01,183564,Uttar Pradesh,Bareilly,Maize,20.0,0.0,1650.0,2242.816890428117,2010,11
926,2010-12-01,189825,Uttar Pradesh,Bareilly,Maize,25.0,0.0,1660.0,2242.816890428117,2010,12
951,2011-01-01,196609,Uttar Pradesh,Bareilly,Maize,18.0,0.0,0.0,1660.0,2011,1
979,2011-02-01,204088,Uttar Pradesh,Bareilly,Maize,10.8,0.0,0.0,1550.0,2011,2
1001,2011-03-01,197012,Uttar Pradesh,Bareilly,Maize,37.5,0.0,0.0,1640.0,2011,3
1027,2011-04-01,197267,Uttar Pradesh,Bareilly,Maize,30.0,0.0,0.0,1650.0,2011,4
1054,2011-05-01,197539,Uttar Pradesh,Bareilly,Maize,32.5,0.0,0.0,1660.0,2011,5
1082,2011-06-01,197809,Uttar Pradesh,Bareilly,Maize,35.0,0.0,0.0,1675.0,2011,6
1107,2011-07-01,198083,Uttar Pradesh,Bareilly,Maize,15.0,0.0,0.0,1665.0,2011,7
1134,2011-08-01,198320,Uttar Pradesh,Bareilly,Maize,18.0,0.0,0.0,1650.0,2011,8
1158,2011-09-01,205919,Uttar Pradesh,Bareilly,Maize,138.5,0.0,0.0,1550.0,2011,9
1185,2011-10-01,198708,Uttar Pradesh,Bareilly,Maize,20.0,0.0,0.0,1625.0,2011,10
1208,2011-11-01,198941,Uttar Pradesh,Bareilly,Maize,37.5,0.0,0.0,1625.0,2011,11
1234,2011-12-01,206766,Uttar Pradesh,Bareilly,Maize,95.0,0.0,0.0,1550.0,2011,12
1262,2012-01-01,285196,Uttar Pradesh,Bareilly,Maize,25.6,0.0,0.0,1640.0,2012,1
1293,2012-02-01,285403,Uttar Pradesh,Bareilly,Maize,31.0,0.0,0.0,1640.0,2012,2
1317,2012-03-01,285643,Uttar Pradesh,Bareilly,Maize,27.0,0.0,0.0,1650.0,2012,3
1345,2012-04-01,285854,Uttar Pradesh,Bareilly,Maize,10.0,0.0,0.0,1625.0,2012,4
1372,2012-05-01,286065,Uttar Pradesh,Bareilly,Maize,10.0,0.0,0.0,1600.0,2012,5
1399,2012-06-01,286278,Uttar Pradesh,Bareilly,Maize,15.0,0.0,0.0,1630.0,2012,6
1426,2012-07-01,286514,Uttar Pradesh,Bareilly,Maize,20.0,0.0,0.0,1625.0,2012,7
1449,2012-08-01,286667,Uttar Pradesh,Bareilly,Maize,20.0,0.0,0.0,1625.0,2012,8
1476,2012-09-01,286876,Uttar Pradesh,Bareilly,Maize,21.0,0.0,0.0,1640.0,2012,9
1502,2012-10-01,287154,Uttar Pradesh,Bareilly,Maize,37.0,0.0,0.0,1630.0,2012,10
1529,2012-11-01,287420,Uttar Pradesh,Bareilly,Maize,32.0,0.0,0.0,1650.0,2012,11
1556,2012-12-01,287686,Uttar Pradesh,Bareilly,Maize,34.0,0.0,0.0,1630.0,2012,12
1584,2013-01-01,374632,Uttar Pradesh,Bareilly,Maize,16.0,0.0,0.0,1750.0,2013,1
1609,2013-02-01,374932,Uttar Pradesh,Bareilly,Maize,35.0,0.0,0.0,1740.0,2013,2
1634,2013-03-01,375212,Uttar Pradesh,Bareilly,Maize,15.0,0.0,0.0,1750.0,2013,3
1660,2013-04-01,375497,Uttar Pradesh,Bareilly,Maize,41.0,0.0,0.0,1750.0,2013,4
1685,2013-05-01,375776,Uttar Pradesh,Bareilly,Maize,19.0,0.0,0.0,1750.0,2013,5
1710,2013-06-01,383465,Uttar Pradesh,Bareilly,Maize,32.0,0.0,0.0,1820.0,2013,6
1736,2013-07-01,376190,Uttar Pradesh,Bareilly,Maize,94.0,0.0,0.0,1750.0,2013,7
1761,2013-08-01,376467,Uttar Pradesh,Bareilly,Maize,42.0,0.0,0.0,1760.0,2013,8
1786,2013-09-01,376748,Uttar Pradesh,Bareilly,Maize,159.0,0.0,0.0,1740.0,2013,9
1812,2013-10-01,377054,Uttar Pradesh,Bareilly,Maize,23.5,0.0,0.0,1740.0,2013,10
1837,2013-11-01,377327,Uttar Pradesh,Bareilly,Maize,45.5,0.0,0.0,1750.0,2013,11
1862,2013-12-01,377579,Uttar Pradesh,Bareilly,Maize,38.5,0.0,0.0,1750.0,2013,12
1888,2014-01-01,458587,Uttar Pradesh,Bareilly,Maize,488.0,0.0,0.0,2050.0,2014,1
1916,2014-02-01,458819,Uttar Pradesh,Bareilly,Maize,645.0,0.0,0.0,2050.0,2014,2
