,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,35307.0,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,10.5,0.0,0.0,1290.0,2008,1
5,2008-02-01,35487.0,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,9.0,0.0,0.0,1290.0,2008,2
8,2008-03-01,35588.0,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,8.5,0.0,0.0,1295.0,2008,3
13,2008-04-01,35745.0,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,7.5,0.0,0.0,1295.0,2008,4
17,2008-05-01,40353.0,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,9.0,0.0,0.0,1290.0,2008,5
21,2008-06-01,36106.0,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,8.0,0.0,0.0,1295.0,2008,6
26,2008-07-01,32587.0,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,12.0,0.0,0.0,1275.0,2008,7
43,2008-08-01,36425.0,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,4.0,0.0,0.0,1300.0,2008,8
65,2008-09-01,36526.0,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,7.5,0.0,0.0,1300.0,2008,9
82,2008-10-01,36598.0,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,6.5,0.0,0.0,1300.0,2008,10
102,2008-11-01,36720.0,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,9.0,0.0,0.0,1300.0,2008,11
122,2008-12-01,41541.0,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,9.0,0.0,0.0,1275.0,2008,12
142,2009-01-01,58114.0,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,15.0,0.0,0.0,1165.0,2009,1
163,2009-02-01,58298.0,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,13.5,0.0,0.0,1165.0,2009,2
182,2009-03-01,58473.0,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,13.0,0.0,0.0,1165.0,2009,3
201,2009-04-01,58584.0,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,9.0,0.0,0.0,1165.0,2009,4
220,2009-05-01,58707.0,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,12.5,0.0,0.0,1160.0,2009,5
235,2009-06-01,63715.0,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,13.0,0.0,0.0,1165.0,2009,6
239,2009-07-01,59002.0,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,14.0,0.0,0.0,1160.0,2009,7
243,2009-08-01,59135.0,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,13.5,0.0,0.0,1160.0,2009,8
248,2009-09-01,59304.0,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,12.0,0.0,0.0,1160.0,2009,9
253,2009-10-01,59452.0,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,12.0,0.0,0.0,1160.0,2009,10
256,2009-11-01,59557.0,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,13.0,0.0,0.0,1160.0,2009,11
260,2009-12-01,59734.0,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,15.0,0.0,0.0,1160.0,2009,12
264,2010-01-01,,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,31.03125,180.78125,194.84375,1392.1875,2010,1
265,2010-02-01,,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,31.03125,180.78125,194.84375,1392.1875,2010,2
266,2010-03-01,,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,31.03125,180.78125,194.84375,1392.1875,2010,3
267,2010-04-01,,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,31.03125,180.78125,194.84375,1392.1875,2010,4
268,2010-05-01,,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,31.03125,180.78125,194.84375,1392.1875,2010,5
269,2010-06-01,,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,31.03125,180.78125,194.84375,1392.1875,2010,6
270,2010-07-01,,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,31.03125,180.78125,194.84375,1392.1875,2010,7
271,2010-08-01,,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,31.03125,180.78125,194.84375,1392.1875,2010,8
272,2010-09-01,,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,31.03125,180.78125,194.84375,1392.1875,2010,9
273,2010-10-01,,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,31.03125,180.78125,194.84375,1392.1875,2010,10
274,2010-11-01,,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,31.03125,180.78125,194.84375,1392.1875,2010,11
275,2010-12-01,,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,31.03125,180.78125,194.84375,1392.1875,2010,12
276,2011-01-01,,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,31.03125,180.78125,194.84375,1392.1875,2011,1
277,2011-02-01,,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,31.03125,180.78125,194.84375,1392.1875,2011,2
278,2011-03-01,,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Maize,31.03125,180.78125,194.84375,1392.1875,2011,3
