,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,2295,Uttar Pradesh,Chandauli,Maize,4.0,1000.0,1045.0,1025.0,2008,1
15,2008-02-01,216,Uttar Pradesh,Chandauli,Maize,5.0,1015.0,1050.0,1035.0,2008,2
29,2008-03-01,10035,Uttar Pradesh,Chandauli,Maize,3.5,1010.0,1045.0,1020.0,2008,3
50,2008-04-01,535,Uttar Pradesh,Chandauli,Maize,7.0,1015.0,1045.0,1025.0,2008,4
72,2008-05-01,692,Uttar Pradesh,Chandauli,Maize,5.0,1010.0,1060.0,1030.0,2008,5
95,2008-06-01,5758,Uttar Pradesh,Chandauli,Maize,6.0,1000.0,1025.0,1010.0,2008,6
113,2008-07-01,922,Uttar Pradesh,Chandauli,Maize,5.0,1015.0,1050.0,1030.0,2008,7
129,2008-08-01,6129,Uttar Pradesh,Chandauli,Maize,5.0,995.0,1035.0,1020.0,2008,8
143,2008-09-01,1285,Uttar Pradesh,Chandauli,Maize,4.0,1020.0,1060.0,1035.0,2008,9
158,2008-10-01,1465,Uttar Pradesh,Chandauli,Maize,5.0,1020.0,1050.0,1040.0,2008,10
174,2008-11-01,1635,Uttar Pradesh,Chandauli,Maize,6.0,1010.0,1050.0,1035.0,2008,11
192,2008-12-01,1773,Uttar Pradesh,Chandauli,Maize,5.0,1000.0,1040.0,1030.0,2008,12
210,2009-01-01,60203,Uttar Pradesh,Chandauli,Maize,7.0,1115.0,1140.0,1125.0,2009,1
226,2009-02-01,58301,Uttar Pradesh,Chandauli,Maize,4.0,1130.0,1170.0,1160.0,2009,2
239,2009-03-01,58476,Uttar Pradesh,Chandauli,Maize,3.5,1120.0,1150.0,1140.0,2009,3
255,2009-04-01,63330,Uttar Pradesh,Chandauli,Maize,6.0,1110.0,1145.0,1130.0,2009,4
272,2009-05-01,63534,Uttar Pradesh,Chandauli,Maize,5.0,1110.0,1150.0,1125.0,2009,5
277,2009-06-01,63719,Uttar Pradesh,Chandauli,Maize,4.0,1115.0,1140.0,1130.0,2009,6
292,2009-07-01,59004,Uttar Pradesh,Chandauli,Maize,3.5,1120.0,1145.0,1130.0,2009,7
310,2009-08-01,73426,Uttar Pradesh,Chandauli,Maize,5.0,1100.0,1130.0,1115.0,2009,8
327,2009-09-01,59307,Uttar Pradesh,Chandauli,Maize,5.0,1100.0,1140.0,1120.0,2009,9
341,2009-10-01,73754,Uttar Pradesh,Chandauli,Maize,3.5,1110.0,1135.0,1125.0,2009,10
359,2009-11-01,64533,Uttar Pradesh,Chandauli,Maize,6.0,1100.0,1135.0,1120.0,2009,11
