,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,2703.0,Uttar Pradesh,Fatehpur,Maize,0.7,900.0,1000.0,950.0,2008,1
5,2008-02-01,,Uttar Pradesh,Fatehpur,Maize,162.126,716.76,865.45,1814.4880268513741,2008,2
6,2008-03-01,,Uttar Pradesh,Fatehpur,Maize,162.126,716.76,865.45,1814.4880268513741,2008,3
7,2008-04-01,,Uttar Pradesh,Fatehpur,Maize,162.126,716.76,865.45,1814.4880268513741,2008,4
8,2008-05-01,21781.0,Uttar Pradesh,Fatehpur,Maize,1.0,1000.0,0.0,0.0,2008,5
10,2008-06-01,,Uttar Pradesh,Fatehpur,Maize,162.126,716.76,865.45,1814.4880268513741,2008,6
11,2008-07-01,,Uttar Pradesh,Fatehpur,Maize,162.126,716.76,865.45,1814.4880268513741,2008,7
12,2008-08-01,1105.0,Uttar Pradesh,Fatehpur,Maize,2.3,950.0,1000.0,975.0,2008,8
15,2008-09-01,,Uttar Pradesh,Fatehpur,Maize,162.126,716.76,865.45,1814.4880268513741,2008,9
16,2008-10-01,,Uttar Pradesh,Fatehpur,Maize,162.126,716.76,865.45,1814.4880268513741,2008,10
17,2008-11-01,41370.0,Uttar Pradesh,Fatehpur,Maize,13.0,0.0,1100.0,0.0,2008,11
18,2008-12-01,,Uttar Pradesh,Fatehpur,Maize,162.126,716.76,865.45,1814.4880268513741,2008,12
19,2009-01-01,,Uttar Pradesh,Fatehpur,Maize,162.126,716.76,865.45,1814.4880268513741,2009,1
20,2009-02-01,,Uttar Pradesh,Fatehpur,Maize,162.126,716.76,865.45,1814.4880268513741,2009,2
21,2009-03-01,,Uttar Pradesh,Fatehpur,Maize,162.126,716.76,865.45,1814.4880268513741,2009,3
22,2009-04-01,,Uttar Pradesh,Fatehpur,Maize,162.126,716.76,865.45,1814.4880268513741,2009,4
23,2009-05-01,,Uttar Pradesh,Fatehpur,Maize,162.126,716.76,865.45,1814.4880268513741,2009,5
24,2009-06-01,,Uttar Pradesh,Fatehpur,Maize,162.126,716.76,865.45,1814.4880268513741,2009,6
25,2009-07-01,,Uttar Pradesh,Fatehpur,Maize,162.126,716.76,865.45,1814.4880268513741,2009,7
26,2009-08-01,,Uttar Pradesh,Fatehpur,Maize,162.126,716.76,865.45,1814.4880268513741,2009,8
27,2009-09-01,,Uttar Pradesh,Fatehpur,Maize,162.126,716.76,865.45,1814.4880268513741,2009,9
28,2009-10-01,,Uttar Pradesh,Fatehpur,Maize,162.126,716.76,865.45,1814.4880268513741,2009,10
29,2009-11-01,,Uttar Pradesh,Fatehpur,Maize,162.126,716.76,865.45,1814.4880268513741,2009,11
30,2009-12-01,,Uttar Pradesh,Fatehpur,Maize,162.126,716.76,865.45,1814.4880268513741,2009,12
31,2010-01-01,121854.0,Uttar Pradesh,Fatehpur,Maize,3.5,0.0,1650.0,2242.816890428117,2010,1
38,2010-02-01,123590.0,Uttar Pradesh,Fatehpur,Maize,0.8,0.0,1600.0,2242.816890428117,2010,2
76,2010-03-01,129688.0,Uttar Pradesh,Fatehpur,Maize,5.0,0.0,1580.0,2242.816890428117,2010,3
121,2010-04-01,136681.0,Uttar Pradesh,Fatehpur,Maize,1.2,0.0,1350.0,2242.816890428117,2010,4
164,2010-05-01,143169.0,Uttar Pradesh,Fatehpur,Maize,1.2,0.0,1390.0,2242.816890428117,2010,5
211,2010-06-01,149943.0,Uttar Pradesh,Fatehpur,Maize,1.0,0.0,1420.0,2242.816890428117,2010,6
260,2010-07-01,156713.0,Uttar Pradesh,Fatehpur,Maize,1.0,0.0,1400.0,2242.816890428117,2010,7
308,2010-08-01,163173.0,Uttar Pradesh,Fatehpur,Maize,1.0,1370.0,1380.0,2242.816890428117,2010,8
355,2010-09-01,169967.0,Uttar Pradesh,Fatehpur,Maize,4.0,0.0,1460.0,2242.816890428117,2010,9
418,2010-10-01,176855.0,Uttar Pradesh,Fatehpur,Maize,5.7,1420.0,1440.0,2242.816890428117,2010,10
486,2010-11-01,183573.0,Uttar Pradesh,Fatehpur,Maize,5.6,1435.0,1480.0,2242.816890428117,2010,11
535,2010-12-01,189835.0,Uttar Pradesh,Fatehpur,Maize,1.9,1460.0,1475.0,2242.816890428117,2010,12
589,2011-01-01,196619.0,Uttar Pradesh,Fatehpur,Maize,12.9,1430.0,1540.0,1485.0,2011,1
664,2011-02-01,196790.0,Uttar Pradesh,Fatehpur,Maize,12.5,1435.0,1545.0,1485.0,2011,2
729,2011-03-01,197022.0,Uttar Pradesh,Fatehpur,Maize,11.0,1425.0,1530.0,1480.0,2011,3
801,2011-04-01,197277.0,Uttar Pradesh,Fatehpur,Maize,9.8,1456.0,1530.0,1475.0,2011,4
865,2011-05-01,197547.0,Uttar Pradesh,Fatehpur,Maize,14.9,1440.0,1500.0,1470.0,2011,5
935,2011-06-01,197818.0,Uttar Pradesh,Fatehpur,Maize,13.9,1420.0,1520.0,1465.0,2011,6
998,2011-07-01,198094.0,Uttar Pradesh,Fatehpur,Maize,11.9,1445.0,1510.0,1470.0,2011,7
1075,2011-08-01,198328.0,Uttar Pradesh,Fatehpur,Maize,11.2,1450.0,1520.0,1475.0,2011,8
1141,2011-09-01,198485.0,Uttar Pradesh,Fatehpur,Maize,13.9,1445.0,1530.0,1480.0,2011,9
1210,2011-10-01,198717.0,Uttar Pradesh,Fatehpur,Maize,14.9,1445.0,1500.0,1485.0,2011,10
1272,2011-11-01,198950.0,Uttar Pradesh,Fatehpur,Maize,11.5,1440.0,1520.0,1485.0,2011,11
1347,2011-12-01,199210.0,Uttar Pradesh,Fatehpur,Maize,13.9,1450.0,1520.0,1480.0,2011,12
1425,2012-01-01,306122.0,Uttar Pradesh,Fatehpur,Maize,80.0,0.0,0.0,1475.0,2012,1
1440,2012-02-01,306345.0,Uttar Pradesh,Fatehpur,Maize,60.0,0.0,0.0,1475.0,2012,2
1455,2012-03-01,306607.0,Uttar Pradesh,Fatehpur,Maize,150.0,0.0,0.0,1475.0,2012,3
1470,2012-04-01,306860.0,Uttar Pradesh,Fatehpur,Maize,50.0,0.0,0.0,1475.0,2012,4
1504,2012-05-01,314519.0,Uttar Pradesh,Fatehpur,Maize,0.2,0.0,0.0,1270.0,2012,5
1535,2012-06-01,307299.0,Uttar Pradesh,Fatehpur,Maize,50.0,0.0,0.0,1475.0,2012,6
1570,2012-07-01,307560.0,Uttar Pradesh,Fatehpur,Maize,130.0,0.0,0.0,1480.0,2012,7
1619,2012-08-01,307726.0,Uttar Pradesh,Fatehpur,Maize,43.0,0.0,0.0,1460.0,2012,8
1667,2012-09-01,307984.0,Uttar Pradesh,Fatehpur,Maize,45.0,0.0,0.0,1480.0,2012,9
1731,2012-10-01,308273.0,Uttar Pradesh,Fatehpur,Maize,46.0,0.0,0.0,1470.0,2012,10
1794,2012-11-01,308557.0,Uttar Pradesh,Fatehpur,Maize,40.0,0.0,0.0,1425.0,2012,11
1852,2012-12-01,316271.0,Uttar Pradesh,Fatehpur,Maize,24.0,0.0,0.0,1470.0,2012,12
1916,2013-01-01,374645.0,Uttar Pradesh,Fatehpur,Maize,100.0,0.0,0.0,1540.0,2013,1
1994,2013-02-01,374948.0,Uttar Pradesh,Fatehpur,Maize,200.0,0.0,0.0,1545.0,2013,2
2065,2013-03-01,375228.0,Uttar Pradesh,Fatehpur,Maize,300.0,0.0,0.0,1540.0,2013,3
2142,2013-04-01,375514.0,Uttar Pradesh,Fatehpur,Maize,250.0,0.0,0.0,1335.0,2013,4
2217,2013-05-01,375791.0,Uttar Pradesh,Fatehpur,Maize,2.0,0.0,0.0,1580.0,2013,5
