,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,2003.0,Uttar Pradesh,Hardoi,Maize,220.0,0.0,0.0,950.0,2008,1
21,2008-02-01,226.0,Uttar Pradesh,Hardoi,Maize,110.0,0.0,0.0,965.0,2008,2
37,2008-03-01,379.0,Uttar Pradesh,Hardoi,Maize,140.0,0.0,0.0,965.0,2008,3
44,2008-04-01,546.0,Uttar Pradesh,Hardoi,Maize,130.0,0.0,0.0,960.0,2008,4
54,2008-05-01,702.0,Uttar Pradesh,Hardoi,Maize,110.0,0.0,0.0,965.0,2008,5
67,2008-06-01,5770.0,Uttar Pradesh,Hardoi,Maize,180.0,0.0,0.0,995.0,2008,6
85,2008-07-01,936.0,Uttar Pradesh,Hardoi,Maize,120.0,0.0,0.0,970.0,2008,7
97,2008-08-01,1111.0,Uttar Pradesh,Hardoi,Maize,210.0,0.0,0.0,960.0,2008,8
101,2008-09-01,6283.0,Uttar Pradesh,Hardoi,Maize,110.0,0.0,0.0,995.0,2008,9
108,2008-10-01,16345.0,Uttar Pradesh,Hardoi,Maize,150.0,0.0,0.0,1190.0,2008,10
112,2008-11-01,6533.0,Uttar Pradesh,Hardoi,Maize,112.0,0.0,0.0,995.0,2008,11
117,2008-12-01,1785.0,Uttar Pradesh,Hardoi,Maize,210.0,0.0,0.0,960.0,2008,12
123,2009-01-01,91077.0,Uttar Pradesh,Hardoi,Maize,2700.0,0.0,0.0,1480.0,2009,1
127,2009-02-01,95982.0,Uttar Pradesh,Hardoi,Maize,22.0,0.0,0.0,1485.0,2009,2
131,2009-03-01,91330.0,Uttar Pradesh,Hardoi,Maize,25.0,0.0,0.0,1480.0,2009,3
136,2009-04-01,91515.0,Uttar Pradesh,Hardoi,Maize,30.0,0.0,0.0,1480.0,2009,4
140,2009-05-01,91679.0,Uttar Pradesh,Hardoi,Maize,20.0,0.0,0.0,1480.0,2009,5
145,2009-06-01,91854.0,Uttar Pradesh,Hardoi,Maize,22.0,0.0,0.0,1480.0,2009,6
148,2009-07-01,96769.0,Uttar Pradesh,Hardoi,Maize,27.0,0.0,0.0,1485.0,2009,7
152,2009-08-01,92189.0,Uttar Pradesh,Hardoi,Maize,40.0,0.0,0.0,1475.0,2009,8
170,2009-09-01,97131.0,Uttar Pradesh,Hardoi,Maize,31.0,0.0,0.0,1485.0,2009,9
185,2009-10-01,92411.0,Uttar Pradesh,Hardoi,Maize,45.0,0.0,0.0,1480.0,2009,10
197,2009-11-01,92600.0,Uttar Pradesh,Hardoi,Maize,36.0,0.0,0.0,1480.0,2009,11
213,2009-12-01,92778.0,Uttar Pradesh,Hardoi,Maize,35.0,0.0,0.0,1480.0,2009,12
230,2010-01-01,117348.0,Uttar Pradesh,Hardoi,Maize,53.0,0.0,1450.0,2242.816890428117,2010,1
