,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,80.0,Uttar Pradesh,Jalaun (Orai),Maize,2.0,0.0,0.0,1180.0,2008,1
34,2008-02-01,7150.0,Uttar Pradesh,Jalaun (Orai),Maize,3.5,0.0,0.0,1190.0,2008,2
59,2008-03-01,381.0,Uttar Pradesh,Jalaun (Orai),Maize,3.0,0.0,0.0,1180.0,2008,3
92,2008-04-01,549.0,Uttar Pradesh,Jalaun (Orai),Maize,2.5,0.0,0.0,1200.0,2008,4
126,2008-05-01,704.0,Uttar Pradesh,Jalaun (Orai),Maize,3.0,0.0,0.0,1180.0,2008,5
148,2008-06-01,786.0,Uttar Pradesh,Jalaun (Orai),Maize,2.0,0.0,0.0,1190.0,2008,6
176,2008-07-01,937.0,Uttar Pradesh,Jalaun (Orai),Maize,3.0,0.0,0.0,1180.0,2008,7
195,2008-08-01,1113.0,Uttar Pradesh,Jalaun (Orai),Maize,2.5,0.0,0.0,1200.0,2008,8
215,2008-09-01,6285.0,Uttar Pradesh,Jalaun (Orai),Maize,3.5,0.0,0.0,1180.0,2008,9
236,2008-10-01,1474.0,Uttar Pradesh,Jalaun (Orai),Maize,3.0,0.0,0.0,1200.0,2008,10
253,2008-11-01,1649.0,Uttar Pradesh,Jalaun (Orai),Maize,2.0,0.0,0.0,1190.0,2008,11
273,2008-12-01,1786.0,Uttar Pradesh,Jalaun (Orai),Maize,2.5,0.0,0.0,1180.0,2008,12
292,2009-01-01,58123.0,Uttar Pradesh,Jalaun (Orai),Maize,18.0,0.0,0.0,1170.0,2009,1
298,2009-02-01,64919.0,Uttar Pradesh,Jalaun (Orai),Maize,14.0,0.0,0.0,1190.0,2009,2
309,2009-03-01,58487.0,Uttar Pradesh,Jalaun (Orai),Maize,16.0,0.0,0.0,1170.0,2009,3
318,2009-04-01,63341.0,Uttar Pradesh,Jalaun (Orai),Maize,18.0,0.0,0.0,1180.0,2009,4
321,2009-05-01,106843.0,Uttar Pradesh,Jalaun (Orai),Maize,120.0,0.0,0.0,1400.0,2009,5
322,2009-06-01,68355.0,Uttar Pradesh,Jalaun (Orai),Maize,18.0,0.0,0.0,1225.0,2009,6
331,2009-07-01,59014.0,Uttar Pradesh,Jalaun (Orai),Maize,18.0,0.0,0.0,1175.0,2009,7
341,2009-08-01,92961.0,Uttar Pradesh,Jalaun (Orai),Maize,180.0,0.0,0.0,1280.0,2009,8
347,2009-09-01,92270.0,Uttar Pradesh,Jalaun (Orai),Maize,140.0,0.0,0.0,1285.0,2009,9
356,2009-10-01,59464.0,Uttar Pradesh,Jalaun (Orai),Maize,18.0,0.0,0.0,1170.0,2009,10
368,2009-11-01,64546.0,Uttar Pradesh,Jalaun (Orai),Maize,17.5,0.0,0.0,1185.0,2009,11
376,2009-12-01,97662.0,Uttar Pradesh,Jalaun (Orai),Maize,175.0,0.0,0.0,1300.0,2009,12
385,2010-01-01,117350.0,Uttar Pradesh,Jalaun (Orai),Maize,180.0,0.0,1500.0,2242.816890428117,2010,1
392,2010-02-01,123857.0,Uttar Pradesh,Jalaun (Orai),Maize,125.0,0.0,1500.0,2242.816890428117,2010,2
399,2010-03-01,130211.0,Uttar Pradesh,Jalaun (Orai),Maize,180.0,0.0,1500.0,2242.816890428117,2010,3
421,2010-04-01,136689.0,Uttar Pradesh,Jalaun (Orai),Maize,180.0,0.0,1500.0,2242.816890428117,2010,4
433,2010-05-01,143311.0,Uttar Pradesh,Jalaun (Orai),Maize,165.0,0.0,1500.0,2242.816890428117,2010,5
444,2010-06-01,150452.0,Uttar Pradesh,Jalaun (Orai),Maize,200.0,0.0,1500.0,2242.816890428117,2010,6
453,2010-07-01,156942.0,Uttar Pradesh,Jalaun (Orai),Maize,250.0,0.0,1500.0,2242.816890428117,2010,7
464,2010-08-01,163176.0,Uttar Pradesh,Jalaun (Orai),Maize,200.0,0.0,1500.0,2242.816890428117,2010,8
474,2010-09-01,170171.0,Uttar Pradesh,Jalaun (Orai),Maize,2.0,0.0,1450.0,2242.816890428117,2010,9
485,2010-10-01,177071.0,Uttar Pradesh,Jalaun (Orai),Maize,150.0,0.0,1500.0,2242.816890428117,2010,10
493,2010-11-01,184101.0,Uttar Pradesh,Jalaun (Orai),Maize,200.0,0.0,1500.0,2242.816890428117,2010,11
499,2010-12-01,189847.0,Uttar Pradesh,Jalaun (Orai),Maize,250.0,0.0,1525.0,2242.816890428117,2010,12
506,2011-01-01,200327.0,Uttar Pradesh,Jalaun (Orai),Maize,200.0,0.0,0.0,1525.0,2011,1
514,2011-02-01,196794.0,Uttar Pradesh,Jalaun (Orai),Maize,350.0,0.0,0.0,1550.0,2011,2
519,2011-03-01,204392.0,Uttar Pradesh,Jalaun (Orai),Maize,200.0,0.0,0.0,1600.0,2011,3
530,2011-04-01,221380.0,Uttar Pradesh,Jalaun (Orai),Maize,200.0,0.0,0.0,1600.0,2011,4
538,2011-05-01,226437.0,Uttar Pradesh,Jalaun (Orai),Maize,25.0,0.0,0.0,1600.0,2011,5
542,2011-06-01,212186.0,Uttar Pradesh,Jalaun (Orai),Maize,250.0,0.0,0.0,1600.0,2011,6
551,2011-07-01,242764.0,Uttar Pradesh,Jalaun (Orai),Maize,35.0,0.0,0.0,1600.0,2011,7
558,2011-08-01,198336.0,Uttar Pradesh,Jalaun (Orai),Maize,200.0,0.0,0.0,1540.0,2011,8
571,2011-09-01,205941.0,Uttar Pradesh,Jalaun (Orai),Maize,250.0,0.0,0.0,1625.0,2011,9
578,2011-10-01,213231.0,Uttar Pradesh,Jalaun (Orai),Maize,250.0,0.0,0.0,1600.0,2011,10
588,2011-11-01,220690.0,Uttar Pradesh,Jalaun (Orai),Maize,200.0,0.0,0.0,1600.0,2011,11
594,2011-12-01,206785.0,Uttar Pradesh,Jalaun (Orai),Maize,200.0,0.0,0.0,1620.0,2011,12
602,2012-01-01,292141.0,Uttar Pradesh,Jalaun (Orai),Maize,25.0,0.0,0.0,1550.0,2012,1
610,2012-02-01,295825.0,Uttar Pradesh,Jalaun (Orai),Maize,25.0,0.0,0.0,1550.0,2012,2
617,2012-03-01,301648.0,Uttar Pradesh,Jalaun (Orai),Maize,25.0,0.0,0.0,1550.0,2012,3
629,2012-04-01,292905.0,Uttar Pradesh,Jalaun (Orai),Maize,25.0,0.0,0.0,1550.0,2012,4
638,2012-05-01,319057.0,Uttar Pradesh,Jalaun (Orai),Maize,20.0,0.0,0.0,1625.0,2012,5
643,2012-06-01,286290.0,Uttar Pradesh,Jalaun (Orai),Maize,30.0,0.0,0.0,1550.0,2012,6
655,2012-07-01,322754.0,Uttar Pradesh,Jalaun (Orai),Maize,30.0,0.0,0.0,1625.0,2012,7
682,2012-08-01,307731.0,Uttar Pradesh,Jalaun (Orai),Maize,25.0,0.0,0.0,1550.0,2012,8
702,2012-09-01,286889.0,Uttar Pradesh,Jalaun (Orai),Maize,35.0,0.0,0.0,1550.0,2012,9
727,2012-10-01,339057.0,Uttar Pradesh,Jalaun (Orai),Maize,30.0,0.0,0.0,1650.0,2012,10
749,2012-11-01,294393.0,Uttar Pradesh,Jalaun (Orai),Maize,25.0,0.0,0.0,1550.0,2012,11
774,2012-12-01,287698.0,Uttar Pradesh,Jalaun (Orai),Maize,20.0,0.0,0.0,1550.0,2012,12
801,2013-01-01,374656.0,Uttar Pradesh,Jalaun (Orai),Maize,25.0,0.0,0.0,1775.0,2013,1
823,2013-02-01,374960.0,Uttar Pradesh,Jalaun (Orai),Maize,6.0,0.0,0.0,1840.0,2013,2
845,2013-03-01,375239.0,Uttar Pradesh,Jalaun (Orai),Maize,8.0,0.0,0.0,1840.0,2013,3
867,2013-04-01,375527.0,Uttar Pradesh,Jalaun (Orai),Maize,20.0,0.0,0.0,1775.0,2013,4
896,2013-05-01,375802.0,Uttar Pradesh,Jalaun (Orai),Maize,30.0,0.0,0.0,1750.0,2013,5
925,2013-06-01,375955.0,Uttar Pradesh,Jalaun (Orai),Maize,5.0,0.0,0.0,1800.0,2013,6
952,2013-07-01,390706.0,Uttar Pradesh,Jalaun (Orai),Maize,8.0,0.0,0.0,1700.0,2013,7
967,2013-08-01,376492.0,Uttar Pradesh,Jalaun (Orai),Maize,20.0,0.0,0.0,1775.0,2013,8
978,2013-09-01,384312.0,Uttar Pradesh,Jalaun (Orai),Maize,7.5,0.0,0.0,1800.0,2013,9
988,2013-10-01,377079.0,Uttar Pradesh,Jalaun (Orai),Maize,10.0,0.0,0.0,1775.0,2013,10
994,2013-11-01,377359.0,Uttar Pradesh,Jalaun (Orai),Maize,25.0,0.0,0.0,1775.0,2013,11
1001,2013-12-01,377606.0,Uttar Pradesh,Jalaun (Orai),Maize,30.0,0.0,0.0,1750.0,2013,12
1008,2014-01-01,,Uttar Pradesh,Jalaun (Orai),Maize,58.622330097087385,58.25242718446602,239.5631067961165,1737.9495406324022,2014,1
1009,2014-02-01,,Uttar Pradesh,Jalaun (Orai),Maize,58.622330097087385,58.25242718446602,239.5631067961165,1737.9495406324022,2014,2
1010,2014-03-01,,Uttar Pradesh,Jalaun (Orai),Maize,58.622330097087385,58.25242718446602,239.5631067961165,1737.9495406324022,2014,3
1011,2014-04-01,,Uttar Pradesh,Jalaun (Orai),Maize,58.622330097087385,58.25242718446602,239.5631067961165,1737.9495406324022,2014,4
1012,2014-05-01,,Uttar Pradesh,Jalaun (Orai),Maize,58.622330097087385,58.25242718446602,239.5631067961165,1737.9495406324022,2014,5
1013,2014-06-01,,Uttar Pradesh,Jalaun (Orai),Maize,58.622330097087385,58.25242718446602,239.5631067961165,1737.9495406324022,2014,6
1014,2014-07-01,,Uttar Pradesh,Jalaun (Orai),Maize,58.622330097087385,58.25242718446602,239.5631067961165,1737.9495406324022,2014,7
1015,2014-08-01,,Uttar Pradesh,Jalaun (Orai),Maize,58.622330097087385,58.25242718446602,239.5631067961165,1737.9495406324022,2014,8
1016,2014-09-01,,Uttar Pradesh,Jalaun (Orai),Maize,58.622330097087385,58.25242718446602,239.5631067961165,1737.9495406324022,2014,9
1017,2014-10-01,,Uttar Pradesh,Jalaun (Orai),Maize,58.622330097087385,58.25242718446602,239.5631067961165,1737.9495406324022,2014,10
1018,2014-11-01,,Uttar Pradesh,Jalaun (Orai),Maize,58.622330097087385,58.25242718446602,239.5631067961165,1737.9495406324022,2014,11
