,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Uttar Pradesh,Kannuj,Maize,8.492233009708736,435.29126213592235,531.9417475728155,1804.7271975006668,2008,1
1,2008-02-01,,Uttar Pradesh,Kannuj,Maize,8.492233009708736,435.29126213592235,531.9417475728155,1804.7271975006668,2008,2
2,2008-03-01,,Uttar Pradesh,Kannuj,Maize,8.492233009708736,435.29126213592235,531.9417475728155,1804.7271975006668,2008,3
3,2008-04-01,,Uttar Pradesh,Kannuj,Maize,8.492233009708736,435.29126213592235,531.9417475728155,1804.7271975006668,2008,4
4,2008-05-01,,Uttar Pradesh,Kannuj,Maize,8.492233009708736,435.29126213592235,531.9417475728155,1804.7271975006668,2008,5
5,2008-06-01,,Uttar Pradesh,Kannuj,Maize,8.492233009708736,435.29126213592235,531.9417475728155,1804.7271975006668,2008,6
6,2008-07-01,,Uttar Pradesh,Kannuj,Maize,8.492233009708736,435.29126213592235,531.9417475728155,1804.7271975006668,2008,7
7,2008-08-01,,Uttar Pradesh,Kannuj,Maize,8.492233009708736,435.29126213592235,531.9417475728155,1804.7271975006668,2008,8
8,2008-09-01,,Uttar Pradesh,Kannuj,Maize,8.492233009708736,435.29126213592235,531.9417475728155,1804.7271975006668,2008,9
9,2008-10-01,,Uttar Pradesh,Kannuj,Maize,8.492233009708736,435.29126213592235,531.9417475728155,1804.7271975006668,2008,10
10,2008-11-01,,Uttar Pradesh,Kannuj,Maize,8.492233009708736,435.29126213592235,531.9417475728155,1804.7271975006668,2008,11
11,2008-12-01,57547.0,Uttar Pradesh,Kannuj,Maize,4.5,1200.0,1260.0,1240.0,2008,12
14,2009-01-01,58127.0,Uttar Pradesh,Kannuj,Maize,4.0,1240.0,1280.0,1255.0,2009,1
30,2009-02-01,58317.0,Uttar Pradesh,Kannuj,Maize,3.0,1240.0,1280.0,1260.0,2009,2
49,2009-03-01,58491.0,Uttar Pradesh,Kannuj,Maize,4.0,1230.0,1280.0,1260.0,2009,3
56,2009-04-01,58593.0,Uttar Pradesh,Kannuj,Maize,3.0,1240.0,1270.0,1260.0,2009,4
74,2009-05-01,58718.0,Uttar Pradesh,Kannuj,Maize,4.0,1235.0,1270.0,1250.0,2009,5
