,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,2146,Uttar Pradesh,Kanpur,Maize,220.0,1055.0,1100.0,1070.0,2008,1
15,2008-02-01,230,Uttar Pradesh,Kanpur,Maize,250.0,1055.0,1100.0,1070.0,2008,2
27,2008-03-01,385,Uttar Pradesh,Kanpur,Maize,240.0,1065.0,1115.0,1085.0,2008,3
30,2008-04-01,5360,Uttar Pradesh,Kanpur,Maize,160.0,1115.0,1145.0,1130.0,2008,4
39,2008-05-01,5571,Uttar Pradesh,Kanpur,Maize,210.0,1110.0,1145.0,1125.0,2008,5
43,2008-06-01,45239,Uttar Pradesh,Kanpur,Maize,140.0,1300.0,1350.0,1325.0,2008,6
45,2008-07-01,31057,Uttar Pradesh,Kanpur,Maize,160.0,1115.0,1145.0,1130.0,2008,7
52,2008-08-01,10959,Uttar Pradesh,Kanpur,Maize,175.0,1135.0,1185.0,1160.0,2008,8
64,2008-09-01,6288,Uttar Pradesh,Kanpur,Maize,180.0,1130.0,1170.0,1145.0,2008,9
68,2008-10-01,11234,Uttar Pradesh,Kanpur,Maize,150.0,1130.0,1175.0,1165.0,2008,10
80,2008-11-01,6540,Uttar Pradesh,Kanpur,Maize,175.0,1130.0,1165.0,1145.0,2008,11
81,2008-12-01,41567,Uttar Pradesh,Kanpur,Maize,170.0,1230.0,1285.0,1260.0,2008,12
88,2009-01-01,58128,Uttar Pradesh,Kanpur,Maize,270.0,1315.0,1400.0,1350.0,2009,1
108,2009-02-01,58318,Uttar Pradesh,Kanpur,Maize,280.0,1315.0,1400.0,1345.0,2009,2
126,2009-03-01,58492,Uttar Pradesh,Kanpur,Maize,290.0,1315.0,1360.0,1340.0,2009,3
146,2009-04-01,67990,Uttar Pradesh,Kanpur,Maize,240.0,1370.0,1390.0,1380.0,2009,4
165,2009-05-01,68171,Uttar Pradesh,Kanpur,Maize,220.0,1340.0,1380.0,1365.0,2009,5
180,2009-06-01,63739,Uttar Pradesh,Kanpur,Maize,280.0,1280.0,1330.0,1310.0,2009,6
210,2009-07-01,59018,Uttar Pradesh,Kanpur,Maize,280.0,1320.0,1365.0,1345.0,2009,7
236,2009-08-01,73441,Uttar Pradesh,Kanpur,Maize,310.0,1285.0,1340.0,1300.0,2009,8
270,2009-09-01,82389,Uttar Pradesh,Kanpur,Maize,190.0,1440.0,1485.0,1465.0,2009,9
279,2009-10-01,64350,Uttar Pradesh,Kanpur,Maize,280.0,1285.0,1320.0,1300.0,2009,10
286,2009-11-01,64549,Uttar Pradesh,Kanpur,Maize,295.0,1250.0,1300.0,1280.0,2009,11
293,2009-12-01,59753,Uttar Pradesh,Kanpur,Maize,170.0,1370.0,1425.0,1390.0,2009,12
306,2010-01-01,117575,Uttar Pradesh,Kanpur,Maize,370.0,1335.0,1340.0,2242.816890428117,2010,1
323,2010-02-01,123348,Uttar Pradesh,Kanpur,Maize,40.0,1380.0,1410.0,2242.816890428117,2010,2
342,2010-03-01,129939,Uttar Pradesh,Kanpur,Maize,2.5,0.0,1425.0,2242.816890428117,2010,3
375,2010-04-01,136695,Uttar Pradesh,Kanpur,Maize,205.0,1445.0,1465.0,2242.816890428117,2010,4
418,2010-05-01,143183,Uttar Pradesh,Kanpur,Maize,250.0,1395.0,1415.0,2242.816890428117,2010,5
447,2010-06-01,149954,Uttar Pradesh,Kanpur,Maize,170.0,1420.0,1440.0,2242.816890428117,2010,6
496,2010-07-01,156725,Uttar Pradesh,Kanpur,Maize,90.0,1500.0,1520.0,2242.816890428117,2010,7
553,2010-08-01,163389,Uttar Pradesh,Kanpur,Maize,220.0,1500.0,1520.0,2242.816890428117,2010,8
595,2010-09-01,169979,Uttar Pradesh,Kanpur,Maize,230.0,1400.0,1420.0,2242.816890428117,2010,9
636,2010-10-01,176874,Uttar Pradesh,Kanpur,Maize,200.0,1500.0,1520.0,2242.816890428117,2010,10
690,2010-11-01,183587,Uttar Pradesh,Kanpur,Maize,250.0,1500.0,1520.0,2242.816890428117,2010,11
742,2010-12-01,189854,Uttar Pradesh,Kanpur,Maize,165.0,1600.0,1615.0,2242.816890428117,2010,12
800,2011-01-01,196636,Uttar Pradesh,Kanpur,Maize,250.0,1470.0,1525.0,1495.0,2011,1
866,2011-02-01,204114,Uttar Pradesh,Kanpur,Maize,260.0,1500.0,1550.0,1525.0,2011,2
920,2011-03-01,197034,Uttar Pradesh,Kanpur,Maize,250.0,1490.0,1530.0,1510.0,2011,3
972,2011-04-01,197289,Uttar Pradesh,Kanpur,Maize,250.0,1500.0,1540.0,1520.0,2011,4
1032,2011-05-01,197561,Uttar Pradesh,Kanpur,Maize,255.0,1490.0,1530.0,1510.0,2011,5
1091,2011-06-01,197835,Uttar Pradesh,Kanpur,Maize,255.0,1455.0,1550.0,1500.0,2011,6
1151,2011-07-01,198110,Uttar Pradesh,Kanpur,Maize,250.0,1510.0,1545.0,1525.0,2011,7
1216,2011-08-01,198341,Uttar Pradesh,Kanpur,Maize,4.0,0.0,0.0,1400.0,2011,8
1287,2011-09-01,198492,Uttar Pradesh,Kanpur,Maize,0.5,1450.0,1500.0,1475.0,2011,9
1351,2011-10-01,198731,Uttar Pradesh,Kanpur,Maize,250.0,1490.0,1530.0,1510.0,2011,10
1426,2011-11-01,198961,Uttar Pradesh,Kanpur,Maize,245.0,1500.0,1540.0,1520.0,2011,11
1506,2011-12-01,199225,Uttar Pradesh,Kanpur,Maize,260.0,1475.0,1520.0,1500.0,2011,12
1591,2012-01-01,287948,Uttar Pradesh,Kanpur,Maize,230.0,1465.0,1505.0,1485.0,2012,1
1635,2012-02-01,292414,Uttar Pradesh,Kanpur,Maize,240.0,1450.0,1490.0,1470.0,2012,2
1673,2012-03-01,292661,Uttar Pradesh,Kanpur,Maize,230.0,1440.0,1480.0,1460.0,2012,3
1723,2012-04-01,292912,Uttar Pradesh,Kanpur,Maize,220.0,1445.0,1485.0,1465.0,2012,4
1780,2012-05-01,299548,Uttar Pradesh,Kanpur,Maize,180.0,1450.0,1490.0,1470.0,2012,5
1843,2012-06-01,293265,Uttar Pradesh,Kanpur,Maize,250.0,1430.0,1470.0,1450.0,2012,6
1889,2012-07-01,286530,Uttar Pradesh,Kanpur,Maize,240.0,1460.0,1500.0,1480.0,2012,7
1942,2012-08-01,293699,Uttar Pradesh,Kanpur,Maize,245.0,1400.0,1450.0,1425.0,2012,8
1991,2012-09-01,286894,Uttar Pradesh,Kanpur,Maize,2300.0,1465.0,1505.0,1485.0,2012,9
2035,2012-10-01,287170,Uttar Pradesh,Kanpur,Maize,220.0,1470.0,1510.0,1490.0,2012,10
2088,2012-11-01,287438,Uttar Pradesh,Kanpur,Maize,225.0,1460.0,1500.0,1480.0,2012,11
2148,2012-12-01,287703,Uttar Pradesh,Kanpur,Maize,220.0,1470.0,1510.0,1490.0,2012,12
2204,2013-01-01,374661,Uttar Pradesh,Kanpur,Maize,240.0,0.0,0.0,1635.0,2013,1
2272,2013-02-01,374966,Uttar Pradesh,Kanpur,Maize,230.0,0.0,0.0,1650.0,2013,2
2339,2013-03-01,375246,Uttar Pradesh,Kanpur,Maize,220.0,0.0,0.0,1660.0,2013,3
2395,2013-04-01,375536,Uttar Pradesh,Kanpur,Maize,200.0,0.0,0.0,1640.0,2013,4
2460,2013-05-01,375808,Uttar Pradesh,Kanpur,Maize,190.0,0.0,0.0,1660.0,2013,5
2533,2013-06-01,383499,Uttar Pradesh,Kanpur,Maize,230.0,0.0,0.0,1625.0,2013,6
2604,2013-07-01,376221,Uttar Pradesh,Kanpur,Maize,190.0,0.0,0.0,1660.0,2013,7
