,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,81.0,Uttar Pradesh,Lucknow,Maize,87.0,0.0,0.0,1125.0,2008,1
23,2008-02-01,232.0,Uttar Pradesh,Lucknow,Maize,83.0,0.0,0.0,1125.0,2008,2
47,2008-03-01,387.0,Uttar Pradesh,Lucknow,Maize,90.0,0.0,0.0,1125.0,2008,3
72,2008-04-01,555.0,Uttar Pradesh,Lucknow,Maize,88.5,0.0,0.0,1125.0,2008,4
98,2008-05-01,708.0,Uttar Pradesh,Lucknow,Maize,90.0,0.0,0.0,1125.0,2008,5
126,2008-06-01,5777.0,Uttar Pradesh,Lucknow,Maize,65.5,0.0,0.0,1200.0,2008,6
150,2008-07-01,940.0,Uttar Pradesh,Lucknow,Maize,91.0,0.0,0.0,1125.0,2008,7
175,2008-08-01,1116.0,Uttar Pradesh,Lucknow,Maize,90.0,0.0,0.0,1125.0,2008,8
189,2008-09-01,1297.0,Uttar Pradesh,Lucknow,Maize,89.0,0.0,0.0,1125.0,2008,9
201,2008-10-01,1477.0,Uttar Pradesh,Lucknow,Maize,85.0,0.0,0.0,1125.0,2008,10
227,2008-11-01,1653.0,Uttar Pradesh,Lucknow,Maize,87.0,0.0,0.0,1125.0,2008,11
253,2008-12-01,1790.0,Uttar Pradesh,Lucknow,Maize,88.5,0.0,0.0,1125.0,2008,12
280,2009-01-01,58131.0,Uttar Pradesh,Lucknow,Maize,48.0,0.0,0.0,1350.0,2009,1
302,2009-02-01,58321.0,Uttar Pradesh,Lucknow,Maize,47.5,0.0,0.0,1350.0,2009,2
323,2009-03-01,58494.0,Uttar Pradesh,Lucknow,Maize,46.0,0.0,0.0,1350.0,2009,3
346,2009-04-01,63347.0,Uttar Pradesh,Lucknow,Maize,37.5,0.0,0.0,1500.0,2009,4
368,2009-05-01,58719.0,Uttar Pradesh,Lucknow,Maize,45.0,0.0,0.0,1350.0,2009,5
385,2009-06-01,58844.0,Uttar Pradesh,Lucknow,Maize,47.0,0.0,0.0,1350.0,2009,6
411,2009-07-01,59020.0,Uttar Pradesh,Lucknow,Maize,46.5,0.0,0.0,1350.0,2009,7
436,2009-08-01,59148.0,Uttar Pradesh,Lucknow,Maize,50.0,0.0,0.0,1350.0,2009,8
448,2009-09-01,59325.0,Uttar Pradesh,Lucknow,Maize,51.0,0.0,0.0,1350.0,2009,9
457,2009-10-01,59470.0,Uttar Pradesh,Lucknow,Maize,50.0,0.0,0.0,1350.0,2009,10
481,2009-11-01,64551.0,Uttar Pradesh,Lucknow,Maize,44.0,0.0,0.0,1500.0,2009,11
493,2009-12-01,59754.0,Uttar Pradesh,Lucknow,Maize,49.0,0.0,0.0,1350.0,2009,12
501,2010-01-01,117864.0,Uttar Pradesh,Lucknow,Maize,38.0,0.0,1600.0,2242.816890428117,2010,1
523,2010-02-01,123350.0,Uttar Pradesh,Lucknow,Maize,34.0,0.0,1650.0,2242.816890428117,2010,2
540,2010-03-01,129693.0,Uttar Pradesh,Lucknow,Maize,26.5,0.0,1550.0,2242.816890428117,2010,3
567,2010-04-01,136699.0,Uttar Pradesh,Lucknow,Maize,38.0,0.0,1500.0,2242.816890428117,2010,4
594,2010-05-01,143188.0,Uttar Pradesh,Lucknow,Maize,51.0,0.0,1525.0,2242.816890428117,2010,5
620,2010-06-01,149957.0,Uttar Pradesh,Lucknow,Maize,58.0,0.0,1550.0,2242.816890428117,2010,6
633,2010-07-01,158168.0,Uttar Pradesh,Lucknow,Maize,39.0,0.0,1600.0,2242.816890428117,2010,7
637,2010-08-01,163392.0,Uttar Pradesh,Lucknow,Maize,34.5,0.0,1650.0,2242.816890428117,2010,8
663,2010-09-01,169983.0,Uttar Pradesh,Lucknow,Maize,37.0,0.0,1700.0,2242.816890428117,2010,9
685,2010-10-01,176877.0,Uttar Pradesh,Lucknow,Maize,34.0,0.0,1750.0,2242.816890428117,2010,10
709,2010-11-01,183589.0,Uttar Pradesh,Lucknow,Maize,30.5,0.0,1700.0,2242.816890428117,2010,11
733,2010-12-01,189857.0,Uttar Pradesh,Lucknow,Maize,52.5,0.0,1600.0,2242.816890428117,2010,12
756,2011-01-01,196640.0,Uttar Pradesh,Lucknow,Maize,45.0,0.0,0.0,1500.0,2011,1
781,2011-02-01,204118.0,Uttar Pradesh,Lucknow,Maize,39.5,0.0,0.0,1500.0,2011,2
801,2011-03-01,197037.0,Uttar Pradesh,Lucknow,Maize,43.0,0.0,0.0,1500.0,2011,3
823,2011-04-01,197294.0,Uttar Pradesh,Lucknow,Maize,47.5,0.0,0.0,1500.0,2011,4
841,2011-05-01,197565.0,Uttar Pradesh,Lucknow,Maize,46.0,0.0,0.0,1500.0,2011,5
860,2011-06-01,197839.0,Uttar Pradesh,Lucknow,Maize,48.0,0.0,0.0,1500.0,2011,6
883,2011-07-01,198115.0,Uttar Pradesh,Lucknow,Maize,47.0,0.0,0.0,1500.0,2011,7
907,2011-08-01,198344.0,Uttar Pradesh,Lucknow,Maize,47.5,0.0,0.0,1500.0,2011,8
928,2011-09-01,205950.0,Uttar Pradesh,Lucknow,Maize,45.0,0.0,0.0,1550.0,2011,9
946,2011-10-01,198733.0,Uttar Pradesh,Lucknow,Maize,49.0,0.0,0.0,1500.0,2011,10
955,2011-11-01,198966.0,Uttar Pradesh,Lucknow,Maize,47.5,0.0,0.0,1500.0,2011,11
974,2011-12-01,199229.0,Uttar Pradesh,Lucknow,Maize,48.0,0.0,0.0,1450.0,2011,12
