,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,2013.0,Uttar Pradesh,Mainpuri,Maize,5.0,1020.0,1040.0,1030.0,2008,1
25,2008-02-01,236.0,Uttar Pradesh,Mainpuri,Maize,6.0,1010.0,1035.0,1025.0,2008,2
49,2008-03-01,391.0,Uttar Pradesh,Mainpuri,Maize,5.0,1010.0,1030.0,1020.0,2008,3
73,2008-04-01,559.0,Uttar Pradesh,Mainpuri,Maize,4.5,1010.0,1030.0,1025.0,2008,4
99,2008-05-01,712.0,Uttar Pradesh,Mainpuri,Maize,4.0,1010.0,1040.0,1030.0,2008,5
123,2008-06-01,5781.0,Uttar Pradesh,Mainpuri,Maize,7.5,1025.0,1055.0,1045.0,2008,6
146,2008-07-01,944.0,Uttar Pradesh,Mainpuri,Maize,5.0,1005.0,1030.0,1025.0,2008,7
171,2008-08-01,1120.0,Uttar Pradesh,Mainpuri,Maize,6.0,1010.0,1025.0,1020.0,2008,8
197,2008-09-01,1300.0,Uttar Pradesh,Mainpuri,Maize,5.5,1010.0,1025.0,1018.0,2008,9
218,2008-10-01,1481.0,Uttar Pradesh,Mainpuri,Maize,6.5,1010.0,1025.0,1020.0,2008,10
230,2008-11-01,1656.0,Uttar Pradesh,Mainpuri,Maize,4.5,1020.0,1035.0,1030.0,2008,11
256,2008-12-01,1794.0,Uttar Pradesh,Mainpuri,Maize,6.0,1020.0,1040.0,1030.0,2008,12
269,2009-01-01,60049.0,Uttar Pradesh,Mainpuri,Maize,27.0,1400.0,1435.0,1425.0,2009,1
285,2009-02-01,62994.0,Uttar Pradesh,Mainpuri,Maize,28.0,1435.0,1460.0,1450.0,2009,2
289,2009-03-01,63159.0,Uttar Pradesh,Mainpuri,Maize,26.0,1450.0,1480.0,1470.0,2009,3
303,2009-04-01,63350.0,Uttar Pradesh,Mainpuri,Maize,29.0,1460.0,1485.0,1475.0,2009,4
313,2009-05-01,63552.0,Uttar Pradesh,Mainpuri,Maize,25.0,1450.0,1490.0,1480.0,2009,5
315,2009-06-01,63745.0,Uttar Pradesh,Mainpuri,Maize,30.0,1460.0,1485.0,1480.0,2009,6
318,2009-07-01,63932.0,Uttar Pradesh,Mainpuri,Maize,23.0,1450.0,1475.0,1470.0,2009,7
320,2009-08-01,,Uttar Pradesh,Mainpuri,Maize,59.36448598130841,1268.1401869158879,1308.9906542056074,1752.607476635514,2009,8
321,2009-09-01,68733.0,Uttar Pradesh,Mainpuri,Maize,30.0,1500.0,1530.0,1520.0,2009,9
323,2009-10-01,73773.0,Uttar Pradesh,Mainpuri,Maize,25.0,1445.0,1490.0,1480.0,2009,10
324,2009-11-01,73920.0,Uttar Pradesh,Mainpuri,Maize,18.0,1445.0,1485.0,1475.0,2009,11
325,2009-12-01,69013.0,Uttar Pradesh,Mainpuri,Maize,10.5,1475.0,1510.0,1500.0,2009,12
326,2010-01-01,,Uttar Pradesh,Mainpuri,Maize,59.36448598130841,1268.1401869158879,1308.9906542056074,1752.607476635514,2010,1
327,2010-02-01,,Uttar Pradesh,Mainpuri,Maize,59.36448598130841,1268.1401869158879,1308.9906542056074,1752.607476635514,2010,2
328,2010-03-01,,Uttar Pradesh,Mainpuri,Maize,59.36448598130841,1268.1401869158879,1308.9906542056074,1752.607476635514,2010,3
329,2010-04-01,,Uttar Pradesh,Mainpuri,Maize,59.36448598130841,1268.1401869158879,1308.9906542056074,1752.607476635514,2010,4
330,2010-05-01,,Uttar Pradesh,Mainpuri,Maize,59.36448598130841,1268.1401869158879,1308.9906542056074,1752.607476635514,2010,5
331,2010-06-01,,Uttar Pradesh,Mainpuri,Maize,59.36448598130841,1268.1401869158879,1308.9906542056074,1752.607476635514,2010,6
332,2010-07-01,,Uttar Pradesh,Mainpuri,Maize,59.36448598130841,1268.1401869158879,1308.9906542056074,1752.607476635514,2010,7
333,2010-08-01,,Uttar Pradesh,Mainpuri,Maize,59.36448598130841,1268.1401869158879,1308.9906542056074,1752.607476635514,2010,8
334,2010-09-01,,Uttar Pradesh,Mainpuri,Maize,59.36448598130841,1268.1401869158879,1308.9906542056074,1752.607476635514,2010,9
335,2010-10-01,,Uttar Pradesh,Mainpuri,Maize,59.36448598130841,1268.1401869158879,1308.9906542056074,1752.607476635514,2010,10
336,2010-11-01,,Uttar Pradesh,Mainpuri,Maize,59.36448598130841,1268.1401869158879,1308.9906542056074,1752.607476635514,2010,11
337,2010-12-01,,Uttar Pradesh,Mainpuri,Maize,59.36448598130841,1268.1401869158879,1308.9906542056074,1752.607476635514,2010,12
338,2011-01-01,196643.0,Uttar Pradesh,Mainpuri,Maize,22.5,1540.0,1560.0,1550.0,2011,1
366,2011-02-01,196800.0,Uttar Pradesh,Mainpuri,Maize,26.0,1525.0,1540.0,1535.0,2011,2
389,2011-03-01,197040.0,Uttar Pradesh,Mainpuri,Maize,26.0,1525.0,1540.0,1535.0,2011,3
412,2011-04-01,197296.0,Uttar Pradesh,Mainpuri,Maize,23.0,1530.0,1545.0,1540.0,2011,4
438,2011-05-01,197567.0,Uttar Pradesh,Mainpuri,Maize,25.0,1500.0,1525.0,1520.0,2011,5
462,2011-06-01,197842.0,Uttar Pradesh,Mainpuri,Maize,28.0,1525.0,1555.0,1550.0,2011,6
486,2011-07-01,198118.0,Uttar Pradesh,Mainpuri,Maize,24.0,1540.0,1553.0,1550.0,2011,7
512,2011-08-01,198346.0,Uttar Pradesh,Mainpuri,Maize,26.5,1530.0,1543.0,1540.0,2011,8
536,2011-09-01,205953.0,Uttar Pradesh,Mainpuri,Maize,25.0,1530.0,1575.0,1565.0,2011,9
561,2011-10-01,198735.0,Uttar Pradesh,Mainpuri,Maize,27.5,1530.0,1545.0,1540.0,2011,10
583,2011-11-01,198968.0,Uttar Pradesh,Mainpuri,Maize,29.0,1530.0,1545.0,1540.0,2011,11
608,2011-12-01,199233.0,Uttar Pradesh,Mainpuri,Maize,32.0,1540.0,1555.0,1550.0,2011,12
635,2012-01-01,287955.0,Uttar Pradesh,Mainpuri,Maize,27.0,1650.0,1690.0,1680.0,2012,1
658,2012-02-01,292421.0,Uttar Pradesh,Mainpuri,Maize,24.0,1655.0,1680.0,1675.0,2012,2
676,2012-03-01,292667.0,Uttar Pradesh,Mainpuri,Maize,22.5,1650.0,1690.0,1680.0,2012,3
702,2012-04-01,285872.0,Uttar Pradesh,Mainpuri,Maize,30.0,1650.0,1680.0,1675.0,2012,4
726,2012-05-01,286083.0,Uttar Pradesh,Mainpuri,Maize,28.0,1650.0,1675.0,1670.0,2012,5
750,2012-06-01,286301.0,Uttar Pradesh,Mainpuri,Maize,25.0,1655.0,1680.0,1675.0,2012,6
776,2012-07-01,286537.0,Uttar Pradesh,Mainpuri,Maize,28.0,1660.0,1690.0,1685.0,2012,7
802,2012-08-01,293705.0,Uttar Pradesh,Mainpuri,Maize,22.5,1660.0,1690.0,1685.0,2012,8
829,2012-09-01,293930.0,Uttar Pradesh,Mainpuri,Maize,24.0,1655.0,1685.0,1680.0,2012,9
848,2012-10-01,287176.0,Uttar Pradesh,Mainpuri,Maize,27.5,1660.0,1690.0,1685.0,2012,10
872,2012-11-01,287444.0,Uttar Pradesh,Mainpuri,Maize,30.0,1640.0,1680.0,1670.0,2012,11
894,2012-12-01,287710.0,Uttar Pradesh,Mainpuri,Maize,25.0,1650.0,1685.0,1675.0,2012,12
920,2013-01-01,374669.0,Uttar Pradesh,Mainpuri,Maize,30.0,1825.0,1860.0,1850.0,2013,1
942,2013-02-01,382578.0,Uttar Pradesh,Mainpuri,Maize,25.0,1840.0,1875.0,1865.0,2013,2
965,2013-03-01,375255.0,Uttar Pradesh,Mainpuri,Maize,35.0,1850.0,1885.0,1875.0,2013,3
984,2013-04-01,375545.0,Uttar Pradesh,Mainpuri,Maize,35.0,1840.0,1875.0,1865.0,2013,4
1010,2013-05-01,375817.0,Uttar Pradesh,Mainpuri,Maize,35.0,1840.0,1875.0,1865.0,2013,5
1036,2013-06-01,390463.0,Uttar Pradesh,Mainpuri,Maize,25.0,1840.0,1890.0,1865.0,2013,6
1060,2013-07-01,376227.0,Uttar Pradesh,Mainpuri,Maize,32.5,1850.0,1880.0,1870.0,2013,7
1087,2013-08-01,376507.0,Uttar Pradesh,Mainpuri,Maize,35.0,1840.0,1870.0,1860.0,2013,8
