,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,85,Uttar Pradesh,Mathura,Maize,15.0,1130.0,1150.0,1140.0,2008,1
22,2008-02-01,237,Uttar Pradesh,Mathura,Maize,14.0,1120.0,1140.0,1130.0,2008,2
46,2008-03-01,392,Uttar Pradesh,Mathura,Maize,15.0,1120.0,1150.0,1140.0,2008,3
69,2008-04-01,560,Uttar Pradesh,Mathura,Maize,14.0,1120.0,1140.0,1130.0,2008,4
94,2008-05-01,5579,Uttar Pradesh,Mathura,Maize,18.0,1120.0,1150.0,1140.0,2008,5
118,2008-06-01,5782,Uttar Pradesh,Mathura,Maize,16.0,1140.0,1160.0,1150.0,2008,6
141,2008-07-01,945,Uttar Pradesh,Mathura,Maize,15.0,1100.0,1140.0,1120.0,2008,7
163,2008-08-01,1121,Uttar Pradesh,Mathura,Maize,16.0,1130.0,1160.0,1150.0,2008,8
188,2008-09-01,1301,Uttar Pradesh,Mathura,Maize,12.0,1120.0,1150.0,1140.0,2008,9
213,2008-10-01,1482,Uttar Pradesh,Mathura,Maize,15.0,1110.0,1140.0,1120.0,2008,10
230,2008-11-01,1657,Uttar Pradesh,Mathura,Maize,16.0,1120.0,1150.0,1130.0,2008,11
246,2008-12-01,1795,Uttar Pradesh,Mathura,Maize,14.0,1100.0,1150.0,1130.0,2008,12
270,2009-01-01,58134,Uttar Pradesh,Mathura,Maize,28.0,1370.0,1410.0,1390.0,2009,1
290,2009-02-01,58324,Uttar Pradesh,Mathura,Maize,26.0,1390.0,1420.0,1410.0,2009,2
315,2009-03-01,58497,Uttar Pradesh,Mathura,Maize,20.0,1390.0,1420.0,1405.0,2009,3
342,2009-04-01,63351,Uttar Pradesh,Mathura,Maize,30.0,1390.0,1460.0,1435.0,2009,4
368,2009-05-01,63553,Uttar Pradesh,Mathura,Maize,28.0,1410.0,1460.0,1440.0,2009,5
393,2009-06-01,63746,Uttar Pradesh,Mathura,Maize,25.0,1400.0,1440.0,1420.0,2009,6
417,2009-07-01,63933,Uttar Pradesh,Mathura,Maize,26.0,1400.0,1460.0,1430.0,2009,7
442,2009-08-01,59151,Uttar Pradesh,Mathura,Maize,20.0,1360.0,1410.0,1390.0,2009,8
467,2009-09-01,59328,Uttar Pradesh,Mathura,Maize,25.0,1370.0,1400.0,1380.0,2009,9
492,2009-10-01,59473,Uttar Pradesh,Mathura,Maize,24.0,1350.0,1410.0,1390.0,2009,10
519,2009-11-01,64554,Uttar Pradesh,Mathura,Maize,27.0,1400.0,1450.0,1430.0,2009,11
543,2009-12-01,64752,Uttar Pradesh,Mathura,Maize,25.0,1400.0,1460.0,1440.0,2009,12
562,2010-01-01,117358,Uttar Pradesh,Mathura,Maize,25.0,1590.0,1610.0,2242.816890428117,2010,1
588,2010-02-01,123354,Uttar Pradesh,Mathura,Maize,30.0,1600.0,1620.0,2242.816890428117,2010,2
605,2010-03-01,129696,Uttar Pradesh,Mathura,Maize,40.0,1550.0,1575.0,2242.816890428117,2010,3
631,2010-04-01,136703,Uttar Pradesh,Mathura,Maize,30.0,1520.0,1540.0,2242.816890428117,2010,4
657,2010-05-01,143190,Uttar Pradesh,Mathura,Maize,25.0,1550.0,1570.0,2242.816890428117,2010,5
677,2010-06-01,149960,Uttar Pradesh,Mathura,Maize,25.0,1560.0,1580.0,2242.816890428117,2010,6
703,2010-07-01,156732,Uttar Pradesh,Mathura,Maize,15.0,1580.0,1600.0,2242.816890428117,2010,7
730,2010-08-01,163395,Uttar Pradesh,Mathura,Maize,20.0,1620.0,1640.0,2242.816890428117,2010,8
756,2010-09-01,169986,Uttar Pradesh,Mathura,Maize,15.0,1620.0,1635.0,2242.816890428117,2010,9
782,2010-10-01,176879,Uttar Pradesh,Mathura,Maize,20.0,1630.0,1650.0,2242.816890428117,2010,10
808,2010-11-01,183591,Uttar Pradesh,Mathura,Maize,20.0,1620.0,1640.0,2242.816890428117,2010,11
833,2010-12-01,192080,Uttar Pradesh,Mathura,Maize,30.0,1540.0,1560.0,2242.816890428117,2010,12
851,2011-01-01,196644,Uttar Pradesh,Mathura,Maize,40.0,1520.0,1560.0,1540.0,2011,1
883,2011-02-01,204123,Uttar Pradesh,Mathura,Maize,40.0,1550.0,1590.0,1570.0,2011,2
910,2011-03-01,197041,Uttar Pradesh,Mathura,Maize,30.0,1510.0,1550.0,1530.0,2011,3
941,2011-04-01,197297,Uttar Pradesh,Mathura,Maize,40.0,1500.0,1540.0,1520.0,2011,4
970,2011-05-01,197568,Uttar Pradesh,Mathura,Maize,35.0,1500.0,1540.0,1520.0,2011,5
1002,2011-06-01,197843,Uttar Pradesh,Mathura,Maize,30.0,1500.0,1550.0,1525.0,2011,6
1030,2011-07-01,198119,Uttar Pradesh,Mathura,Maize,25.0,1500.0,1550.0,1525.0,2011,7
1060,2011-08-01,198347,Uttar Pradesh,Mathura,Maize,40.0,1500.0,1540.0,1520.0,2011,8
1091,2011-09-01,205954,Uttar Pradesh,Mathura,Maize,20.0,1580.0,1620.0,1600.0,2011,9
1135,2011-10-01,198736,Uttar Pradesh,Mathura,Maize,30.0,1500.0,1540.0,1520.0,2011,10
1181,2011-11-01,198969,Uttar Pradesh,Mathura,Maize,25.0,1500.0,1550.0,1525.0,2011,11
1221,2011-12-01,199234,Uttar Pradesh,Mathura,Maize,30.0,1510.0,1550.0,1530.0,2011,12
1269,2012-01-01,285206,Uttar Pradesh,Mathura,Maize,25.0,1610.0,1650.0,1630.0,2012,1
1319,2012-02-01,285424,Uttar Pradesh,Mathura,Maize,25.0,1610.0,1650.0,1630.0,2012,2
1360,2012-03-01,285660,Uttar Pradesh,Mathura,Maize,20.0,1600.0,1640.0,1620.0,2012,3
1412,2012-04-01,285873,Uttar Pradesh,Mathura,Maize,24.0,1600.0,1640.0,1620.0,2012,4
1461,2012-05-01,286084,Uttar Pradesh,Mathura,Maize,20.0,1600.0,1650.0,1625.0,2012,5
1510,2012-06-01,286302,Uttar Pradesh,Mathura,Maize,30.0,1610.0,1650.0,1630.0,2012,6
1561,2012-07-01,286538,Uttar Pradesh,Mathura,Maize,25.0,1620.0,1660.0,1640.0,2012,7
1611,2012-08-01,293706,Uttar Pradesh,Mathura,Maize,30.0,1620.0,1660.0,1640.0,2012,8
1659,2012-09-01,286899,Uttar Pradesh,Mathura,Maize,20.0,1610.0,1650.0,1630.0,2012,9
1708,2012-10-01,287177,Uttar Pradesh,Mathura,Maize,30.0,1600.0,1640.0,1620.0,2012,10
1761,2012-11-01,287445,Uttar Pradesh,Mathura,Maize,20.0,1600.0,1640.0,1620.0,2012,11
1806,2012-12-01,287711,Uttar Pradesh,Mathura,Maize,25.0,1600.0,1650.0,1625.0,2012,12
1847,2013-01-01,374670,Uttar Pradesh,Mathura,Maize,35.0,1800.0,1840.0,1820.0,2013,1
1896,2013-02-01,374974,Uttar Pradesh,Mathura,Maize,40.0,1800.0,1850.0,1830.0,2013,2
1941,2013-03-01,375256,Uttar Pradesh,Mathura,Maize,30.0,1800.0,1850.0,1830.0,2013,3
1983,2013-04-01,375546,Uttar Pradesh,Mathura,Maize,35.0,1800.0,1850.0,1830.0,2013,4
2031,2013-05-01,375818,Uttar Pradesh,Mathura,Maize,30.0,1800.0,1850.0,1825.0,2013,5
2078,2013-06-01,383509,Uttar Pradesh,Mathura,Maize,20.0,1800.0,1840.0,1820.0,2013,6
2127,2013-07-01,376228,Uttar Pradesh,Mathura,Maize,25.0,1800.0,1850.0,1820.0,2013,7
2177,2013-08-01,376508,Uttar Pradesh,Mathura,Maize,20.0,1800.0,1850.0,1830.0,2013,8
2230,2013-09-01,376791,Uttar Pradesh,Mathura,Maize,30.0,1800.0,1850.0,1830.0,2013,9
2282,2013-10-01,377097,Uttar Pradesh,Mathura,Maize,25.0,1800.0,1850.0,1830.0,2013,10
2332,2013-11-01,377375,Uttar Pradesh,Mathura,Maize,20.0,1800.0,1850.0,1820.0,2013,11
2385,2013-12-01,377622,Uttar Pradesh,Mathura,Maize,25.0,1800.0,1850.0,1830.0,2013,12
2437,2014-01-01,458625,Uttar Pradesh,Mathura,Maize,40.0,1930.0,1970.0,1950.0,2014,1
2486,2014-02-01,458856,Uttar Pradesh,Mathura,Maize,30.0,1940.0,1980.0,1960.0,2014,2
2526,2014-03-01,459136,Uttar Pradesh,Mathura,Maize,35.0,1940.0,1980.0,1960.0,2014,3
2567,2014-04-01,459435,Uttar Pradesh,Mathura,Maize,40.0,1940.0,1980.0,1965.0,2014,4
2610,2014-05-01,466857,Uttar Pradesh,Mathura,Maize,40.0,1930.0,1970.0,1950.0,2014,5
2656,2014-06-01,459859,Uttar Pradesh,Mathura,Maize,30.0,1940.0,1980.0,1960.0,2014,6
2700,2014-07-01,460130,Uttar Pradesh,Mathura,Maize,35.0,1920.0,1970.0,1950.0,2014,7
2738,2014-08-01,460402,Uttar Pradesh,Mathura,Maize,40.0,1920.0,1970.0,1950.0,2014,8
