,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,86.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,2.5,940.0,0.0,950.0,2008,1
41,2008-02-01,238.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,3.2,965.0,0.0,980.0,2008,2
76,2008-03-01,393.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,1.6,925.0,0.0,950.0,2008,3
117,2008-04-01,561.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,2.0,930.0,0.0,950.0,2008,4
155,2008-05-01,713.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,1.2,930.0,0.0,950.0,2008,5
200,2008-06-01,790.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,3.7,1000.0,0.0,1000.0,2008,6
236,2008-07-01,5958.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,1.7,0.0,0.0,1100.0,2008,7
258,2008-08-01,1122.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,2.0,930.0,0.0,950.0,2008,8
286,2008-09-01,1302.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,1.8,960.0,0.0,975.0,2008,9
304,2008-10-01,1483.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,2.1,960.0,0.0,975.0,2008,10
322,2008-11-01,1658.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,2.2,960.0,0.0,975.0,2008,11
336,2008-12-01,1796.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,1.4,955.0,0.0,975.0,2008,12
360,2009-01-01,58135.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,4.9,0.0,0.0,1200.0,2009,1
382,2009-02-01,58325.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,4.5,0.0,0.0,1200.0,2009,2
396,2009-03-01,58498.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,4.8,0.0,0.0,1190.0,2009,3
413,2009-04-01,63352.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,4.4,0.0,0.0,1215.0,2009,4
425,2009-05-01,63554.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,4.8,0.0,0.0,1215.0,2009,5
