,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,88,Uttar Pradesh,Padrauna(Kusinagar),Maize,7.0,970.0,0.0,980.0,2008,1
25,2008-02-01,242,Uttar Pradesh,Padrauna(Kusinagar),Maize,4.0,0.0,0.0,1000.0,2008,2
46,2008-03-01,400,Uttar Pradesh,Padrauna(Kusinagar),Maize,7.0,0.0,0.0,1000.0,2008,3
68,2008-04-01,567,Uttar Pradesh,Padrauna(Kusinagar),Maize,4.5,0.0,0.0,1000.0,2008,4
92,2008-05-01,5588,Uttar Pradesh,Padrauna(Kusinagar),Maize,6.0,0.0,0.0,1100.0,2008,5
113,2008-06-01,5791,Uttar Pradesh,Padrauna(Kusinagar),Maize,8.0,0.0,0.0,1100.0,2008,6
132,2008-07-01,951,Uttar Pradesh,Padrauna(Kusinagar),Maize,8.0,1000.0,0.0,1000.0,2008,7
152,2008-08-01,1128,Uttar Pradesh,Padrauna(Kusinagar),Maize,7.0,1050.0,0.0,1050.0,2008,8
172,2008-09-01,1310,Uttar Pradesh,Padrauna(Kusinagar),Maize,6.0,0.0,0.0,1075.0,2008,9
186,2008-10-01,1491,Uttar Pradesh,Padrauna(Kusinagar),Maize,9.0,0.0,0.0,1075.0,2008,10
202,2008-11-01,1667,Uttar Pradesh,Padrauna(Kusinagar),Maize,6.5,0.0,0.0,1100.0,2008,11
208,2008-12-01,1803,Uttar Pradesh,Padrauna(Kusinagar),Maize,4.0,0.0,0.0,1100.0,2008,12
226,2009-01-01,58139,Uttar Pradesh,Padrauna(Kusinagar),Maize,4.5,0.0,0.0,1180.0,2009,1
246,2009-02-01,58332,Uttar Pradesh,Padrauna(Kusinagar),Maize,7.0,0.0,0.0,1180.0,2009,2
255,2009-03-01,58502,Uttar Pradesh,Padrauna(Kusinagar),Maize,4.5,0.0,0.0,1180.0,2009,3
276,2009-04-01,63357,Uttar Pradesh,Padrauna(Kusinagar),Maize,9.5,0.0,0.0,1180.0,2009,4
288,2009-05-01,63561,Uttar Pradesh,Padrauna(Kusinagar),Maize,12.0,0.0,0.0,1190.0,2009,5
297,2009-06-01,63753,Uttar Pradesh,Padrauna(Kusinagar),Maize,6.5,0.0,0.0,1190.0,2009,6
312,2009-07-01,59027,Uttar Pradesh,Padrauna(Kusinagar),Maize,12.0,0.0,0.0,1190.0,2009,7
330,2009-08-01,59157,Uttar Pradesh,Padrauna(Kusinagar),Maize,4.5,0.0,0.0,1200.0,2009,8
351,2009-09-01,59334,Uttar Pradesh,Padrauna(Kusinagar),Maize,7.0,0.0,0.0,1200.0,2009,9
371,2009-10-01,59479,Uttar Pradesh,Padrauna(Kusinagar),Maize,4.5,0.0,0.0,1200.0,2009,10
396,2009-11-01,64561,Uttar Pradesh,Padrauna(Kusinagar),Maize,7.5,0.0,0.0,1200.0,2009,11
413,2009-12-01,59762,Uttar Pradesh,Padrauna(Kusinagar),Maize,7.5,0.0,0.0,1200.0,2009,12
433,2010-01-01,117365,Uttar Pradesh,Padrauna(Kusinagar),Maize,6.0,0.0,1270.0,2242.816890428117,2010,1
458,2010-02-01,123359,Uttar Pradesh,Padrauna(Kusinagar),Maize,3.5,0.0,1320.0,2242.816890428117,2010,2
479,2010-03-01,129699,Uttar Pradesh,Padrauna(Kusinagar),Maize,4.0,0.0,1340.0,2242.816890428117,2010,3
502,2010-04-01,136710,Uttar Pradesh,Padrauna(Kusinagar),Maize,2.5,0.0,1350.0,2242.816890428117,2010,4
523,2010-05-01,143543,Uttar Pradesh,Padrauna(Kusinagar),Maize,12.0,0.0,1340.0,2242.816890428117,2010,5
539,2010-06-01,149967,Uttar Pradesh,Padrauna(Kusinagar),Maize,11.0,0.0,1360.0,2242.816890428117,2010,6
560,2010-07-01,156741,Uttar Pradesh,Padrauna(Kusinagar),Maize,3.0,0.0,1370.0,2242.816890428117,2010,7
576,2010-08-01,163402,Uttar Pradesh,Padrauna(Kusinagar),Maize,4.0,0.0,1360.0,2242.816890428117,2010,8
602,2010-09-01,169993,Uttar Pradesh,Padrauna(Kusinagar),Maize,3.0,0.0,1375.0,2242.816890428117,2010,9
627,2010-10-01,176888,Uttar Pradesh,Padrauna(Kusinagar),Maize,2.0,0.0,0.0,2242.816890428117,2010,10
651,2010-11-01,183599,Uttar Pradesh,Padrauna(Kusinagar),Maize,4.0,0.0,0.0,2242.816890428117,2010,11
672,2010-12-01,190125,Uttar Pradesh,Padrauna(Kusinagar),Maize,6.0,0.0,0.0,2242.816890428117,2010,12
691,2011-01-01,196650,Uttar Pradesh,Padrauna(Kusinagar),Maize,8.0,0.0,1400.0,0.0,2011,1
716,2011-02-01,204131,Uttar Pradesh,Padrauna(Kusinagar),Maize,9.0,0.0,1460.0,0.0,2011,2
746,2011-03-01,197050,Uttar Pradesh,Padrauna(Kusinagar),Maize,4.0,0.0,1400.0,0.0,2011,3
771,2011-04-01,197305,Uttar Pradesh,Padrauna(Kusinagar),Maize,12.5,0.0,1400.0,0.0,2011,4
796,2011-05-01,197574,Uttar Pradesh,Padrauna(Kusinagar),Maize,3.0,0.0,1400.0,0.0,2011,5
823,2011-06-01,197851,Uttar Pradesh,Padrauna(Kusinagar),Maize,3.0,0.0,1400.0,0.0,2011,6
847,2011-07-01,198128,Uttar Pradesh,Padrauna(Kusinagar),Maize,9.0,0.0,1400.0,0.0,2011,7
868,2011-08-01,198354,Uttar Pradesh,Padrauna(Kusinagar),Maize,5.0,0.0,1400.0,0.0,2011,8
893,2011-09-01,205962,Uttar Pradesh,Padrauna(Kusinagar),Maize,9.0,0.0,0.0,1425.0,2011,9
919,2011-10-01,198745,Uttar Pradesh,Padrauna(Kusinagar),Maize,8.0,0.0,1400.0,0.0,2011,10
943,2011-11-01,198977,Uttar Pradesh,Padrauna(Kusinagar),Maize,9.5,0.0,1400.0,0.0,2011,11
966,2011-12-01,199242,Uttar Pradesh,Padrauna(Kusinagar),Maize,14.0,0.0,1400.0,0.0,2011,12
977,2012-01-01,287963,Uttar Pradesh,Padrauna(Kusinagar),Maize,28.0,1450.0,1475.0,1460.0,2012,1
