,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,14854.0,Uttar Pradesh,Pratapgarh,Maize,8.0,1245.0,1260.0,1255.0,2008,1
2,2008-02-01,7173.0,Uttar Pradesh,Pratapgarh,Maize,10.0,1100.0,1120.0,1110.0,2008,2
14,2008-03-01,10071.0,Uttar Pradesh,Pratapgarh,Maize,9.0,1180.0,1210.0,1200.0,2008,3
30,2008-04-01,10270.0,Uttar Pradesh,Pratapgarh,Maize,8.5,1200.0,1225.0,1210.0,2008,4
45,2008-05-01,10442.0,Uttar Pradesh,Pratapgarh,Maize,8.0,1210.0,1230.0,1220.0,2008,5
62,2008-06-01,5793.0,Uttar Pradesh,Pratapgarh,Maize,9.0,1100.0,1120.0,1110.0,2008,6
66,2008-07-01,5967.0,Uttar Pradesh,Pratapgarh,Maize,8.5,1095.0,1120.0,1105.0,2008,7
70,2008-08-01,6165.0,Uttar Pradesh,Pratapgarh,Maize,3.0,1105.0,1120.0,1110.0,2008,8
74,2008-09-01,21186.0,Uttar Pradesh,Pratapgarh,Maize,8.0,1280.0,1300.0,1290.0,2008,9
77,2008-10-01,11251.0,Uttar Pradesh,Pratapgarh,Maize,9.0,1210.0,1230.0,1220.0,2008,10
86,2008-11-01,6556.0,Uttar Pradesh,Pratapgarh,Maize,9.0,1095.0,1110.0,1100.0,2008,11
101,2008-12-01,6753.0,Uttar Pradesh,Pratapgarh,Maize,8.0,1095.0,1110.0,1100.0,2008,12
120,2009-01-01,58141.0,Uttar Pradesh,Pratapgarh,Maize,11.0,1200.0,1230.0,1220.0,2009,1
139,2009-02-01,58334.0,Uttar Pradesh,Pratapgarh,Maize,13.0,1200.0,1230.0,1220.0,2009,2
151,2009-03-01,63168.0,Uttar Pradesh,Pratapgarh,Maize,13.0,1150.0,1250.0,1200.0,2009,3
166,2009-04-01,58597.0,Uttar Pradesh,Pratapgarh,Maize,12.5,1200.0,1230.0,1220.0,2009,4
179,2009-05-01,58725.0,Uttar Pradesh,Pratapgarh,Maize,13.5,1200.0,1235.0,1215.0,2009,5
196,2009-06-01,58849.0,Uttar Pradesh,Pratapgarh,Maize,14.0,1200.0,1235.0,1220.0,2009,6
210,2009-07-01,59029.0,Uttar Pradesh,Pratapgarh,Maize,13.0,1200.0,1230.0,1215.0,2009,7
225,2009-08-01,59159.0,Uttar Pradesh,Pratapgarh,Maize,11.0,1200.0,1250.0,1215.0,2009,8
228,2009-09-01,59336.0,Uttar Pradesh,Pratapgarh,Maize,12.5,1200.0,1240.0,1220.0,2009,9
234,2009-10-01,64363.0,Uttar Pradesh,Pratapgarh,Maize,10.0,1210.0,1230.0,1210.0,2009,10
237,2009-11-01,59567.0,Uttar Pradesh,Pratapgarh,Maize,12.5,1200.0,1230.0,1215.0,2009,11
240,2009-12-01,59764.0,Uttar Pradesh,Pratapgarh,Maize,11.0,1200.0,1230.0,1220.0,2009,12
242,2010-01-01,,Uttar Pradesh,Pratapgarh,Maize,28.14351851851852,1366.9444444444443,1408.212962962963,1679.212962962963,2010,1
243,2010-02-01,,Uttar Pradesh,Pratapgarh,Maize,28.14351851851852,1366.9444444444443,1408.212962962963,1679.212962962963,2010,2
244,2010-03-01,,Uttar Pradesh,Pratapgarh,Maize,28.14351851851852,1366.9444444444443,1408.212962962963,1679.212962962963,2010,3
245,2010-04-01,,Uttar Pradesh,Pratapgarh,Maize,28.14351851851852,1366.9444444444443,1408.212962962963,1679.212962962963,2010,4
246,2010-05-01,,Uttar Pradesh,Pratapgarh,Maize,28.14351851851852,1366.9444444444443,1408.212962962963,1679.212962962963,2010,5
