,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Uttar Pradesh,Sant Kabir Nagar,Maize,23.115000000000002,441.0,719.5,1574.938378085623,2008,1
1,2008-02-01,,Uttar Pradesh,Sant Kabir Nagar,Maize,23.115000000000002,441.0,719.5,1574.938378085623,2008,2
2,2008-03-01,,Uttar Pradesh,Sant Kabir Nagar,Maize,23.115000000000002,441.0,719.5,1574.938378085623,2008,3
3,2008-04-01,,Uttar Pradesh,Sant Kabir Nagar,Maize,23.115000000000002,441.0,719.5,1574.938378085623,2008,4
4,2008-05-01,,Uttar Pradesh,Sant Kabir Nagar,Maize,23.115000000000002,441.0,719.5,1574.938378085623,2008,5
5,2008-06-01,,Uttar Pradesh,Sant Kabir Nagar,Maize,23.115000000000002,441.0,719.5,1574.938378085623,2008,6
6,2008-07-01,,Uttar Pradesh,Sant Kabir Nagar,Maize,23.115000000000002,441.0,719.5,1574.938378085623,2008,7
7,2008-08-01,,Uttar Pradesh,Sant Kabir Nagar,Maize,23.115000000000002,441.0,719.5,1574.938378085623,2008,8
8,2008-09-01,,Uttar Pradesh,Sant Kabir Nagar,Maize,23.115000000000002,441.0,719.5,1574.938378085623,2008,9
9,2008-10-01,,Uttar Pradesh,Sant Kabir Nagar,Maize,23.115000000000002,441.0,719.5,1574.938378085623,2008,10
10,2008-11-01,,Uttar Pradesh,Sant Kabir Nagar,Maize,23.115000000000002,441.0,719.5,1574.938378085623,2008,11
11,2008-12-01,,Uttar Pradesh,Sant Kabir Nagar,Maize,23.115000000000002,441.0,719.5,1574.938378085623,2008,12
12,2009-01-01,,Uttar Pradesh,Sant Kabir Nagar,Maize,23.115000000000002,441.0,719.5,1574.938378085623,2009,1
13,2009-02-01,,Uttar Pradesh,Sant Kabir Nagar,Maize,23.115000000000002,441.0,719.5,1574.938378085623,2009,2
14,2009-03-01,106448.0,Uttar Pradesh,Sant Kabir Nagar,Maize,40.0,0.0,0.0,1265.0,2009,3
16,2009-04-01,112394.0,Uttar Pradesh,Sant Kabir Nagar,Maize,40.0,0.0,0.0,1350.0,2009,4
17,2009-05-01,,Uttar Pradesh,Sant Kabir Nagar,Maize,23.115000000000002,441.0,719.5,1574.938378085623,2009,5
18,2009-06-01,,Uttar Pradesh,Sant Kabir Nagar,Maize,23.115000000000002,441.0,719.5,1574.938378085623,2009,6
19,2009-07-01,107290.0,Uttar Pradesh,Sant Kabir Nagar,Maize,35.5,0.0,0.0,1275.0,2009,7
20,2009-08-01,113132.0,Uttar Pradesh,Sant Kabir Nagar,Maize,40.0,0.0,0.0,1360.0,2009,8
21,2009-09-01,113339.0,Uttar Pradesh,Sant Kabir Nagar,Maize,30.0,0.0,0.0,1365.0,2009,9
22,2009-10-01,107783.0,Uttar Pradesh,Sant Kabir Nagar,Maize,42.5,0.0,0.0,1260.0,2009,10
24,2009-11-01,108010.0,Uttar Pradesh,Sant Kabir Nagar,Maize,37.5,0.0,0.0,1270.0,2009,11
34,2009-12-01,108232.0,Uttar Pradesh,Sant Kabir Nagar,Maize,40.0,0.0,0.0,1270.0,2009,12
38,2010-01-01,117586.0,Uttar Pradesh,Sant Kabir Nagar,Maize,55.0,0.0,1360.0,2242.816890428117,2010,1
57,2010-02-01,123617.0,Uttar Pradesh,Sant Kabir Nagar,Maize,38.0,0.0,1380.0,2242.816890428117,2010,2
77,2010-03-01,129958.0,Uttar Pradesh,Sant Kabir Nagar,Maize,40.0,0.0,1365.0,2242.816890428117,2010,3
97,2010-04-01,136889.0,Uttar Pradesh,Sant Kabir Nagar,Maize,30.0,0.0,1340.0,2242.816890428117,2010,4
113,2010-05-01,143204.0,Uttar Pradesh,Sant Kabir Nagar,Maize,31.5,0.0,1415.0,2242.816890428117,2010,5
133,2010-06-01,149972.0,Uttar Pradesh,Sant Kabir Nagar,Maize,30.0,0.0,1360.0,2242.816890428117,2010,6
154,2010-07-01,156748.0,Uttar Pradesh,Sant Kabir Nagar,Maize,0.6,0.0,1355.0,2242.816890428117,2010,7
