,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,39670.0,Uttar Pradesh,Sonbhadra,Maize,60.0,0.0,0.0,1300.0,2008,1
3,2008-02-01,35525.0,Uttar Pradesh,Sonbhadra,Maize,80.0,1100.0,1160.0,1150.0,2008,2
8,2008-03-01,44863.0,Uttar Pradesh,Sonbhadra,Maize,30.0,0.0,0.0,1280.0,2008,3
10,2008-04-01,40206.0,Uttar Pradesh,Sonbhadra,Maize,50.0,0.0,0.0,1300.0,2008,4
14,2008-05-01,40397.0,Uttar Pradesh,Sonbhadra,Maize,40.0,0.0,0.0,1300.0,2008,5
17,2008-06-01,40590.0,Uttar Pradesh,Sonbhadra,Maize,35.0,0.0,0.0,1300.0,2008,6
21,2008-07-01,40681.0,Uttar Pradesh,Sonbhadra,Maize,38.0,0.0,0.0,1300.0,2008,7
25,2008-08-01,40843.0,Uttar Pradesh,Sonbhadra,Maize,45.0,0.0,0.0,1310.0,2008,8
28,2008-09-01,41040.0,Uttar Pradesh,Sonbhadra,Maize,30.0,0.0,0.0,1310.0,2008,9
48,2008-10-01,45752.0,Uttar Pradesh,Sonbhadra,Maize,45.0,0.0,0.0,1230.0,2008,10
64,2008-11-01,41403.0,Uttar Pradesh,Sonbhadra,Maize,32.0,0.0,0.0,1310.0,2008,11
84,2008-12-01,41588.0,Uttar Pradesh,Sonbhadra,Maize,28.0,0.0,0.0,1300.0,2008,12
103,2009-01-01,58148.0,Uttar Pradesh,Sonbhadra,Maize,120.0,0.0,0.0,1120.0,2009,1
122,2009-02-01,58340.0,Uttar Pradesh,Sonbhadra,Maize,180.0,0.0,0.0,1120.0,2009,2
140,2009-03-01,58508.0,Uttar Pradesh,Sonbhadra,Maize,210.0,0.0,0.0,1120.0,2009,3
162,2009-04-01,58602.0,Uttar Pradesh,Sonbhadra,Maize,100.0,0.0,0.0,1120.0,2009,4
179,2009-05-01,58731.0,Uttar Pradesh,Sonbhadra,Maize,160.0,0.0,0.0,1110.0,2009,5
190,2009-06-01,58854.0,Uttar Pradesh,Sonbhadra,Maize,150.0,0.0,0.0,1110.0,2009,6
200,2009-07-01,63947.0,Uttar Pradesh,Sonbhadra,Maize,60.0,0.0,0.0,1130.0,2009,7
205,2009-08-01,59166.0,Uttar Pradesh,Sonbhadra,Maize,120.0,0.0,0.0,1110.0,2009,8
212,2009-09-01,59343.0,Uttar Pradesh,Sonbhadra,Maize,140.0,0.0,0.0,1110.0,2009,9
219,2009-10-01,59487.0,Uttar Pradesh,Sonbhadra,Maize,135.0,0.0,0.0,1110.0,2009,10
227,2009-11-01,59570.0,Uttar Pradesh,Sonbhadra,Maize,150.0,0.0,0.0,1100.0,2009,11
233,2009-12-01,59770.0,Uttar Pradesh,Sonbhadra,Maize,130.0,0.0,0.0,1100.0,2009,12
239,2010-01-01,,Uttar Pradesh,Sonbhadra,Maize,39.26932773109243,447.2689075630252,603.2352941176471,1681.604922644616,2010,1
240,2010-02-01,123370.0,Uttar Pradesh,Sonbhadra,Maize,3.5,0.0,1375.0,2242.816890428117,2010,2
288,2010-03-01,130244.0,Uttar Pradesh,Sonbhadra,Maize,5.0,0.0,1375.0,2242.816890428117,2010,3
336,2010-04-01,136723.0,Uttar Pradesh,Sonbhadra,Maize,5.0,0.0,1365.0,2242.816890428117,2010,4
387,2010-05-01,143210.0,Uttar Pradesh,Sonbhadra,Maize,4.5,0.0,1415.0,2242.816890428117,2010,5
436,2010-06-01,149979.0,Uttar Pradesh,Sonbhadra,Maize,5.0,0.0,1425.0,2242.816890428117,2010,6
