,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,2028,Uttar Pradesh,Varanasi,Maize,610.0,1020.0,1060.0,1040.0,2008,1
25,2008-02-01,250,Uttar Pradesh,Varanasi,Maize,655.0,1010.0,1050.0,1030.0,2008,2
47,2008-03-01,409,Uttar Pradesh,Varanasi,Maize,575.0,1010.0,1050.0,1030.0,2008,3
72,2008-04-01,577,Uttar Pradesh,Varanasi,Maize,630.0,1010.0,1050.0,1030.0,2008,4
98,2008-05-01,726,Uttar Pradesh,Varanasi,Maize,640.0,1010.0,1050.0,1030.0,2008,5
125,2008-06-01,5803,Uttar Pradesh,Varanasi,Maize,450.0,1020.0,1060.0,1040.0,2008,6
147,2008-07-01,959,Uttar Pradesh,Varanasi,Maize,695.0,1010.0,1050.0,1030.0,2008,7
173,2008-08-01,1137,Uttar Pradesh,Varanasi,Maize,680.0,1010.0,1050.0,1030.0,2008,8
194,2008-09-01,1319,Uttar Pradesh,Varanasi,Maize,590.0,1010.0,1050.0,1030.0,2008,9
218,2008-10-01,1496,Uttar Pradesh,Varanasi,Maize,540.0,1020.0,1060.0,1040.0,2008,10
242,2008-11-01,1679,Uttar Pradesh,Varanasi,Maize,630.0,1020.0,1060.0,1040.0,2008,11
263,2008-12-01,1813,Uttar Pradesh,Varanasi,Maize,600.0,1020.0,1060.0,1040.0,2008,12
282,2009-01-01,58150,Uttar Pradesh,Varanasi,Maize,540.0,1125.0,1175.0,1150.0,2009,1
305,2009-02-01,58342,Uttar Pradesh,Varanasi,Maize,560.0,1125.0,1175.0,1150.0,2009,2
328,2009-03-01,58511,Uttar Pradesh,Varanasi,Maize,530.0,1125.0,1175.0,1150.0,2009,3
355,2009-04-01,63367,Uttar Pradesh,Varanasi,Maize,600.0,1150.0,1190.0,1170.0,2009,4
380,2009-05-01,58732,Uttar Pradesh,Varanasi,Maize,535.0,1125.0,1175.0,1150.0,2009,5
406,2009-06-01,58856,Uttar Pradesh,Varanasi,Maize,550.0,1125.0,1175.0,1150.0,2009,6
431,2009-07-01,59036,Uttar Pradesh,Varanasi,Maize,470.0,1140.0,1180.0,1160.0,2009,7
458,2009-08-01,73463,Uttar Pradesh,Varanasi,Maize,555.0,0.0,0.0,1200.0,2009,8
480,2009-09-01,59345,Uttar Pradesh,Varanasi,Maize,420.0,1150.0,1190.0,1170.0,2009,9
504,2009-10-01,59489,Uttar Pradesh,Varanasi,Maize,490.0,1150.0,1190.0,1170.0,2009,10
527,2009-11-01,64570,Uttar Pradesh,Varanasi,Maize,570.0,1140.0,1180.0,1160.0,2009,11
551,2009-12-01,59771,Uttar Pradesh,Varanasi,Maize,540.0,1150.0,1190.0,1170.0,2009,12
576,2010-01-01,117375,Uttar Pradesh,Varanasi,Maize,490.0,0.0,1360.0,2242.816890428117,2010,1
600,2010-02-01,123373,Uttar Pradesh,Varanasi,Maize,475.0,0.0,1400.0,2242.816890428117,2010,2
623,2010-03-01,129967,Uttar Pradesh,Varanasi,Maize,610.0,1400.0,1430.0,2242.816890428117,2010,3
648,2010-04-01,136726,Uttar Pradesh,Varanasi,Maize,555.0,1400.0,1435.0,2242.816890428117,2010,4
669,2010-05-01,143215,Uttar Pradesh,Varanasi,Maize,510.0,1400.0,1450.0,2242.816890428117,2010,5
696,2010-06-01,149983,Uttar Pradesh,Varanasi,Maize,525.0,0.0,1470.0,2242.816890428117,2010,6
722,2010-07-01,156757,Uttar Pradesh,Varanasi,Maize,460.0,0.0,1485.0,2242.816890428117,2010,7
752,2010-08-01,163418,Uttar Pradesh,Varanasi,Maize,5200.0,0.0,1525.0,2242.816890428117,2010,8
779,2010-09-01,170007,Uttar Pradesh,Varanasi,Maize,5800.0,0.0,1550.0,2242.816890428117,2010,9
805,2010-10-01,176909,Uttar Pradesh,Varanasi,Maize,5600.0,0.0,1565.0,2242.816890428117,2010,10
829,2010-11-01,183615,Uttar Pradesh,Varanasi,Maize,5200.0,0.0,1555.0,2242.816890428117,2010,11
848,2010-12-01,189880,Uttar Pradesh,Varanasi,Maize,5600.0,0.0,1500.0,2242.816890428117,2010,12
875,2011-01-01,196666,Uttar Pradesh,Varanasi,Maize,5700.0,0.0,0.0,1350.0,2011,1
901,2011-02-01,204145,Uttar Pradesh,Varanasi,Maize,5250.0,0.0,0.0,1420.0,2011,2
924,2011-03-01,197066,Uttar Pradesh,Varanasi,Maize,5600.0,0.0,0.0,1350.0,2011,3
947,2011-04-01,197325,Uttar Pradesh,Varanasi,Maize,5600.0,0.0,0.0,1350.0,2011,4
973,2011-05-01,197584,Uttar Pradesh,Varanasi,Maize,5000.0,0.0,0.0,1350.0,2011,5
1000,2011-06-01,197868,Uttar Pradesh,Varanasi,Maize,5500.0,0.0,0.0,1350.0,2011,6
1024,2011-07-01,198145,Uttar Pradesh,Varanasi,Maize,5450.0,0.0,0.0,1350.0,2011,7
1051,2011-08-01,198372,Uttar Pradesh,Varanasi,Maize,5100.0,0.0,0.0,1350.0,2011,8
1077,2011-09-01,205979,Uttar Pradesh,Varanasi,Maize,530.0,0.0,0.0,1425.0,2011,9
1103,2011-10-01,198763,Uttar Pradesh,Varanasi,Maize,4600.0,0.0,0.0,1350.0,2011,10
1129,2011-11-01,198994,Uttar Pradesh,Varanasi,Maize,4700.0,0.0,0.0,1355.0,2011,11
1153,2011-12-01,199261,Uttar Pradesh,Varanasi,Maize,4800.0,0.0,0.0,1360.0,2011,12
1181,2012-01-01,287976,Uttar Pradesh,Varanasi,Maize,360.0,0.0,0.0,1380.0,2012,1
1204,2012-02-01,285437,Uttar Pradesh,Varanasi,Maize,395.0,0.0,0.0,1385.0,2012,2
1226,2012-03-01,285674,Uttar Pradesh,Varanasi,Maize,320.0,0.0,0.0,1385.0,2012,3
1253,2012-04-01,285883,Uttar Pradesh,Varanasi,Maize,330.0,0.0,0.0,1385.0,2012,4
1274,2012-05-01,286093,Uttar Pradesh,Varanasi,Maize,345.0,0.0,0.0,1375.0,2012,5
1300,2012-06-01,286313,Uttar Pradesh,Varanasi,Maize,310.0,0.0,0.0,1375.0,2012,6
1326,2012-07-01,286553,Uttar Pradesh,Varanasi,Maize,330.0,0.0,0.0,1375.0,2012,7
1352,2012-08-01,293715,Uttar Pradesh,Varanasi,Maize,340.0,0.0,0.0,1380.0,2012,8
1376,2012-09-01,286913,Uttar Pradesh,Varanasi,Maize,330.0,0.0,0.0,1375.0,2012,9
1400,2012-10-01,287193,Uttar Pradesh,Varanasi,Maize,323.0,0.0,0.0,1375.0,2012,10
1426,2012-11-01,287460,Uttar Pradesh,Varanasi,Maize,310.0,0.0,0.0,1380.0,2012,11
1451,2012-12-01,287727,Uttar Pradesh,Varanasi,Maize,320.0,0.0,0.0,1380.0,2012,12
1477,2013-01-01,374691,Uttar Pradesh,Varanasi,Maize,340.0,0.0,0.0,1580.0,2013,1
1501,2013-02-01,374993,Uttar Pradesh,Varanasi,Maize,330.0,0.0,0.0,1580.0,2013,2
1525,2013-03-01,375272,Uttar Pradesh,Varanasi,Maize,360.0,0.0,0.0,1580.0,2013,3
1548,2013-04-01,375565,Uttar Pradesh,Varanasi,Maize,350.0,0.0,0.0,1560.0,2013,4
1573,2013-05-01,375834,Uttar Pradesh,Varanasi,Maize,320.0,0.0,0.0,1560.0,2013,5
1599,2013-06-01,383529,Uttar Pradesh,Varanasi,Maize,305.0,0.0,0.0,1650.0,2013,6
1623,2013-07-01,376246,Uttar Pradesh,Varanasi,Maize,330.0,0.0,0.0,1560.0,2013,7
1649,2013-08-01,376527,Uttar Pradesh,Varanasi,Maize,340.0,0.0,0.0,1560.0,2013,8
1674,2013-09-01,376811,Uttar Pradesh,Varanasi,Maize,350.0,0.0,0.0,1560.0,2013,9
1700,2013-10-01,377115,Uttar Pradesh,Varanasi,Maize,380.0,0.0,0.0,1550.0,2013,10
1725,2013-11-01,377395,Uttar Pradesh,Varanasi,Maize,370.0,0.0,0.0,1550.0,2013,11
1752,2013-12-01,377638,Uttar Pradesh,Varanasi,Maize,360.0,0.0,0.0,1550.0,2013,12
1773,2014-01-01,458650,Uttar Pradesh,Varanasi,Maize,490.0,0.0,0.0,1700.0,2014,1
1801,2014-02-01,458880,Uttar Pradesh,Varanasi,Maize,518.0,0.0,0.0,1700.0,2014,2
1824,2014-03-01,459161,Uttar Pradesh,Varanasi,Maize,477.0,0.0,0.0,1700.0,2014,3
1849,2014-04-01,459461,Uttar Pradesh,Varanasi,Maize,479.0,0.0,0.0,1700.0,2014,4
1875,2014-05-01,466878,Uttar Pradesh,Varanasi,Maize,474.0,0.0,0.0,1730.0,2014,5
1902,2014-06-01,459882,Uttar Pradesh,Varanasi,Maize,481.0,0.0,0.0,1700.0,2014,6
1927,2014-07-01,460150,Uttar Pradesh,Varanasi,Maize,508.0,0.0,0.0,1700.0,2014,7
1952,2014-08-01,460427,Uttar Pradesh,Varanasi,Maize,510.0,0.0,0.0,1700.0,2014,8
1977,2014-09-01,460712,Uttar Pradesh,Varanasi,Maize,492.0,0.0,0.0,1700.0,2014,9
1996,2014-10-01,460976,Uttar Pradesh,Varanasi,Maize,541.0,0.0,0.0,1720.0,2014,10
2017,2014-11-01,461187,Uttar Pradesh,Varanasi,Maize,493.0,0.0,0.0,1720.0,2014,11
2043,2014-12-01,468589,Uttar Pradesh,Varanasi,Maize,456.0,0.0,0.0,1775.0,2014,12
2067,2015-01-01,545733,Uttar Pradesh,Varanasi,Maize,322.0,1960.0,2030.0,1980.0,2015,1
2093,2015-02-01,545997,Uttar Pradesh,Varanasi,Maize,343.0,1960.0,2020.0,1980.0,2015,2
2114,2015-03-01,546242,Uttar Pradesh,Varanasi,Maize,332.0,1960.0,2010.0,1980.0,2015,3
2139,2015-04-01,562210,Uttar Pradesh,Varanasi,Maize,385.0,1960.0,2030.0,1990.0,2015,4
2160,2015-05-01,546676,Uttar Pradesh,Varanasi,Maize,341.0,1940.0,2020.0,1980.0,2015,5
2183,2015-06-01,546991,Uttar Pradesh,Varanasi,Maize,343.0,1960.0,2010.0,1980.0,2015,6
2207,2015-07-01,547284,Uttar Pradesh,Varanasi,Maize,332.0,1950.0,2020.0,1985.0,2015,7
2230,2015-08-01,547598,Uttar Pradesh,Varanasi,Maize,341.0,1950.0,2020.0,1985.0,2015,8
2253,2015-09-01,547894,Uttar Pradesh,Varanasi,Maize,363.0,1940.0,2020.0,1985.0,2015,9
2278,2015-10-01,548142,Uttar Pradesh,Varanasi,Maize,342.0,1960.0,2020.0,1985.0,2015,10
2301,2015-11-01,556621,Uttar Pradesh,Varanasi,Maize,3880.0,1960.0,2020.0,1985.0,2015,11
2324,2015-12-01,548594,Uttar Pradesh,Varanasi,Maize,374.0,1960.0,2020.0,1985.0,2015,12
2343,2016-01-01,638831,Uttar Pradesh,Varanasi,Maize,570.0,1920.0,1950.0,1940.0,2016,1
2359,2016-02-01,636320,Uttar Pradesh,Varanasi,Maize,560.0,1900.0,1980.0,1940.0,2016,2
2378,2016-03-01,643333,Uttar Pradesh,Varanasi,Maize,510.0,1910.0,1950.0,1930.0,2016,3
2395,2016-04-01,636693,Uttar Pradesh,Varanasi,Maize,520.0,1935.0,1960.0,1945.0,2016,4
2408,2016-05-01,636949,Uttar Pradesh,Varanasi,Maize,540.0,1940.0,1960.0,1950.0,2016,5
2430,2016-06-01,637204,Uttar Pradesh,Varanasi,Maize,560.0,1920.0,1950.0,1945.0,2016,6
2445,2016-07-01,637422,Uttar Pradesh,Varanasi,Maize,530.0,1920.0,1960.0,1950.0,2016,7
2468,2016-08-01,637682,Uttar Pradesh,Varanasi,Maize,560.0,1920.0,1980.0,1950.0,2016,8
2491,2016-09-01,644758,Uttar Pradesh,Varanasi,Maize,510.0,1900.0,1950.0,1925.0,2016,9
2514,2016-10-01,651227,Uttar Pradesh,Varanasi,Maize,610.0,1850.0,2100.0,1970.0,2016,10
2536,2016-11-01,638301,Uttar Pradesh,Varanasi,Maize,600.0,1920.0,1980.0,1940.0,2016,11
2556,2016-12-01,638572,Uttar Pradesh,Varanasi,Maize,590.0,1920.0,1980.0,1940.0,2016,12
2580,2017-01-01,719604,Uttar Pradesh,Varanasi,Maize,272.0,2135.0,2165.0,2150.0,2017,1
2597,2017-02-01,717029,Uttar Pradesh,Varanasi,Maize,300.0,0.0,0.0,2170.0,2017,2
2615,2017-03-01,717265,Uttar Pradesh,Varanasi,Maize,300.0,2140.0,2175.0,2160.0,2017,3
2636,2017-04-01,717509,Uttar Pradesh,Varanasi,Maize,292.0,0.0,0.0,2140.0,2017,4
2655,2017-05-01,717758,Uttar Pradesh,Varanasi,Maize,300.0,0.0,0.0,2130.0,2017,5
2673,2017-06-01,718014,Uttar Pradesh,Varanasi,Maize,310.0,0.0,0.0,2120.0,2017,6
2688,2017-07-01,718277,Uttar Pradesh,Varanasi,Maize,325.0,2115.0,2150.0,2130.0,2017,7
2692,2017-08-01,725359,Uttar Pradesh,Varanasi,Maize,320.0,0.0,0.0,2140.0,2017,8
2696,2017-09-01,718650,Uttar Pradesh,Varanasi,Maize,330.0,2120.0,2175.0,2150.0,2017,9
2699,2017-10-01,718894,Uttar Pradesh,Varanasi,Maize,250.0,2135.0,2175.0,2150.0,2017,10
2705,2017-11-01,719122,Uttar Pradesh,Varanasi,Maize,260.0,2115.0,2160.0,2130.0,2017,11
2709,2017-12-01,719356,Uttar Pradesh,Varanasi,Maize,268.5,2110.0,2150.0,2135.0,2017,12
