,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,93.0,Uttrakhand,Dehradoon,Maize,52.5,990.0,2860.0,1925.0,2008,1
3,2008-02-01,251.0,Uttrakhand,Dehradoon,Maize,53.0,980.0,2860.0,1920.0,2008,2
5,2008-03-01,,Uttrakhand,Dehradoon,Maize,35.535164835164835,1715.8241758241759,2114.3846153846152,2054.8980025604046,2008,3
6,2008-04-01,16817.0,Uttrakhand,Dehradoon,Maize,95.7,1690.0,3390.0,1690.0,2008,4
7,2008-05-01,22432.0,Uttrakhand,Dehradoon,Maize,80.2,1200.0,1600.0,1600.0,2008,5
10,2008-06-01,25926.0,Uttrakhand,Dehradoon,Maize,27.6,1020.0,3960.0,2490.0,2008,6
13,2008-07-01,33848.0,Uttrakhand,Dehradoon,Maize,33.5,1200.0,1200.0,1200.0,2008,7
15,2008-08-01,37876.0,Uttrakhand,Dehradoon,Maize,135.8,1400.0,1400.0,1400.0,2008,8
18,2008-09-01,43833.0,Uttrakhand,Dehradoon,Maize,71.9,1120.0,1120.0,1120.0,2008,9
19,2008-10-01,16383.0,Uttrakhand,Dehradoon,Maize,44.4,4408.0,4408.0,4408.0,2008,10
22,2008-11-01,52506.0,Uttrakhand,Dehradoon,Maize,32.5,1600.0,1600.0,1600.0,2008,11
24,2008-12-01,,Uttrakhand,Dehradoon,Maize,35.535164835164835,1715.8241758241759,2114.3846153846152,2054.8980025604046,2008,12
25,2009-01-01,,Uttrakhand,Dehradoon,Maize,35.535164835164835,1715.8241758241759,2114.3846153846152,2054.8980025604046,2009,1
26,2009-02-01,111933.0,Uttrakhand,Dehradoon,Maize,8.9,1500.0,2000.0,1500.0,2009,2
27,2009-03-01,,Uttrakhand,Dehradoon,Maize,35.535164835164835,1715.8241758241759,2114.3846153846152,2054.8980025604046,2009,3
28,2009-04-01,75014.0,Uttrakhand,Dehradoon,Maize,74.4,1000.0,2200.0,1150.0,2009,4
32,2009-05-01,96554.0,Uttrakhand,Dehradoon,Maize,42.2,1285.0,3000.0,1900.0,2009,5
33,2009-06-01,83137.0,Uttrakhand,Dehradoon,Maize,143.3,1000.0,1800.0,1300.0,2009,6
36,2009-07-01,89844.0,Uttrakhand,Dehradoon,Maize,28.8,1100.0,3600.0,1800.0,2009,7
38,2009-08-01,68611.0,Uttrakhand,Dehradoon,Maize,39.1,1560.0,1560.0,1560.0,2009,8
40,2009-09-01,,Uttrakhand,Dehradoon,Maize,35.535164835164835,1715.8241758241759,2114.3846153846152,2054.8980025604046,2009,9
41,2009-10-01,59491.0,Uttrakhand,Dehradoon,Maize,31.0,1500.0,1500.0,1500.0,2009,10
42,2009-11-01,111260.0,Uttrakhand,Dehradoon,Maize,24.5,1400.0,2200.0,1500.0,2009,11
44,2009-12-01,115946.0,Uttrakhand,Dehradoon,Maize,2.9,5500.0,6000.0,5800.0,2009,12
46,2010-01-01,118327.0,Uttrakhand,Dehradoon,Maize,22.1,1100.0,1100.0,2242.816890428117,2010,1
48,2010-02-01,,Uttrakhand,Dehradoon,Maize,35.535164835164835,1715.8241758241759,2114.3846153846152,2054.8980025604046,2010,2
49,2010-03-01,136480.0,Uttrakhand,Dehradoon,Maize,2.4,1600.0,1700.0,2242.816890428117,2010,3
50,2010-04-01,137750.0,Uttrakhand,Dehradoon,Maize,140.6,1400.0,1883.0,2242.816890428117,2010,4
52,2010-05-01,,Uttrakhand,Dehradoon,Maize,35.535164835164835,1715.8241758241759,2114.3846153846152,2054.8980025604046,2010,5
53,2010-06-01,156506.0,Uttrakhand,Dehradoon,Maize,72.6,1200.0,1500.0,2242.816890428117,2010,6
54,2010-07-01,163087.0,Uttrakhand,Dehradoon,Maize,58.6,1200.0,1400.0,2242.816890428117,2010,7
55,2010-08-01,169790.0,Uttrakhand,Dehradoon,Maize,64.2,1400.0,1451.0,2242.816890428117,2010,8
56,2010-09-01,172771.0,Uttrakhand,Dehradoon,Maize,53.5,1400.0,1945.0,2242.816890428117,2010,9
58,2010-10-01,,Uttrakhand,Dehradoon,Maize,35.535164835164835,1715.8241758241759,2114.3846153846152,2054.8980025604046,2010,10
59,2010-11-01,,Uttrakhand,Dehradoon,Maize,35.535164835164835,1715.8241758241759,2114.3846153846152,2054.8980025604046,2010,11
60,2010-12-01,,Uttrakhand,Dehradoon,Maize,35.535164835164835,1715.8241758241759,2114.3846153846152,2054.8980025604046,2010,12
61,2011-01-01,201472.0,Uttrakhand,Dehradoon,Maize,24.2,1450.0,1650.0,1500.0,2011,1
64,2011-02-01,210753.0,Uttrakhand,Dehradoon,Maize,48.6,1400.0,1800.0,1600.0,2011,2
65,2011-03-01,214174.0,Uttrakhand,Dehradoon,Maize,10.0,1300.0,1800.0,1350.0,2011,3
68,2011-04-01,,Uttrakhand,Dehradoon,Maize,35.535164835164835,1715.8241758241759,2114.3846153846152,2054.8980025604046,2011,4
69,2011-05-01,,Uttrakhand,Dehradoon,Maize,35.535164835164835,1715.8241758241759,2114.3846153846152,2054.8980025604046,2011,5
70,2011-06-01,240852.0,Uttrakhand,Dehradoon,Maize,30.1,1400.0,1600.0,1400.0,2011,6
71,2011-07-01,205441.0,Uttrakhand,Dehradoon,Maize,60.9,1400.0,1800.0,1450.0,2011,7
72,2011-08-01,251019.0,Uttrakhand,Dehradoon,Maize,9.4,2400.0,2600.0,2510.0,2011,8
73,2011-09-01,,Uttrakhand,Dehradoon,Maize,35.535164835164835,1715.8241758241759,2114.3846153846152,2054.8980025604046,2011,9
74,2011-10-01,268740.0,Uttrakhand,Dehradoon,Maize,37.3,5000.0,5100.0,5000.0,2011,10
75,2011-11-01,272933.0,Uttrakhand,Dehradoon,Maize,67.9,2900.0,3000.0,2900.0,2011,11
76,2011-12-01,280817.0,Uttrakhand,Dehradoon,Maize,29.9,1675.0,1675.0,1675.0,2011,12
77,2012-01-01,289056.0,Uttrakhand,Dehradoon,Maize,46.0,0.0,0.0,2870.0,2012,1
79,2012-02-01,,Uttrakhand,Dehradoon,Maize,35.535164835164835,1715.8241758241759,2114.3846153846152,2054.8980025604046,2012,2
80,2012-03-01,352923.0,Uttrakhand,Dehradoon,Maize,57.4,1600.0,1800.0,1680.0,2012,3
81,2012-04-01,313217.0,Uttrakhand,Dehradoon,Maize,30.0,1900.0,2100.0,1900.0,2012,4
82,2012-05-01,320961.0,Uttrakhand,Dehradoon,Maize,25.0,1500.0,1980.0,1600.0,2012,5
84,2012-06-01,326411.0,Uttrakhand,Dehradoon,Maize,20.0,1300.0,1500.0,1301.0,2012,6
90,2012-07-01,330477.0,Uttrakhand,Dehradoon,Maize,38.6,1600.0,1650.0,1600.0,2012,7
92,2012-08-01,341353.0,Uttrakhand,Dehradoon,Maize,99.2,1800.0,2200.0,2000.0,2012,8
94,2012-09-01,286914.0,Uttrakhand,Dehradoon,Maize,39.8,0.0,0.0,1290.0,2012,9
100,2012-10-01,,Uttrakhand,Dehradoon,Maize,35.535164835164835,1715.8241758241759,2114.3846153846152,2054.8980025604046,2012,10
101,2012-11-01,,Uttrakhand,Dehradoon,Maize,35.535164835164835,1715.8241758241759,2114.3846153846152,2054.8980025604046,2012,11
102,2012-12-01,,Uttrakhand,Dehradoon,Maize,35.535164835164835,1715.8241758241759,2114.3846153846152,2054.8980025604046,2012,12
103,2013-01-01,378245.0,Uttrakhand,Dehradoon,Maize,3.0,2020.0,2020.0,2020.0,2013,1
107,2013-02-01,385583.0,Uttrakhand,Dehradoon,Maize,5.0,1400.0,1400.0,1400.0,2013,2
113,2013-03-01,433854.0,Uttrakhand,Dehradoon,Maize,6.5,1600.0,1800.0,1600.0,2013,3
115,2013-04-01,400313.0,Uttrakhand,Dehradoon,Maize,35.0,1400.0,1405.0,1405.0,2013,4
121,2013-05-01,390206.0,Uttrakhand,Dehradoon,Maize,22.7,1400.0,1400.0,1400.0,2013,5
127,2013-06-01,411466.0,Uttrakhand,Dehradoon,Maize,30.0,1665.0,1665.0,1665.0,2013,6
138,2013-07-01,390741.0,Uttrakhand,Dehradoon,Maize,20.2,1400.0,1430.0,1430.0,2013,7
148,2013-08-01,420188.0,Uttrakhand,Dehradoon,Maize,13.4,2006.0,2006.0,2006.0,2013,8
166,2013-09-01,376812.0,Uttrakhand,Dehradoon,Maize,13.0,0.0,0.0,1435.0,2013,9
176,2013-10-01,391372.0,Uttrakhand,Dehradoon,Maize,24.5,1400.0,1400.0,1400.0,2013,10
196,2013-11-01,391618.0,Uttrakhand,Dehradoon,Maize,14.9,1400.0,1400.0,1400.0,2013,11
222,2013-12-01,412984.0,Uttrakhand,Dehradoon,Maize,15.0,1675.0,1895.0,1895.0,2013,12
241,2014-01-01,461568.0,Uttrakhand,Dehradoon,Maize,15.9,1575.0,1752.0,1752.0,2014,1
258,2014-02-01,466132.0,Uttrakhand,Dehradoon,Maize,2.7,2500.0,2500.0,2500.0,2014,2
262,2014-03-01,475981.0,Uttrakhand,Dehradoon,Maize,45.0,1580.0,2100.0,1800.0,2014,3
279,2014-04-01,473348.0,Uttrakhand,Dehradoon,Maize,27.0,1523.0,2110.0,1590.0,2014,4
288,2014-05-01,466881.0,Uttrakhand,Dehradoon,Maize,10.0,1900.0,1900.0,1900.0,2014,5
299,2014-06-01,467153.0,Uttrakhand,Dehradoon,Maize,45.3,1758.0,1860.0,1850.0,2014,6
306,2014-07-01,467446.0,Uttrakhand,Dehradoon,Maize,15.0,1900.0,1900.0,1900.0,2014,7
310,2014-08-01,467661.0,Uttrakhand,Dehradoon,Maize,20.0,1600.0,1875.0,1875.0,2014,8
318,2014-09-01,467793.0,Uttrakhand,Dehradoon,Maize,4.7,2000.0,3000.0,3000.0,2014,9
328,2014-10-01,468037.0,Uttrakhand,Dehradoon,Maize,40.9,1820.0,2885.0,1870.0,2014,10
339,2014-11-01,475107.0,Uttrakhand,Dehradoon,Maize,20.0,2077.0,2077.0,2077.0,2014,11
346,2014-12-01,468592.0,Uttrakhand,Dehradoon,Maize,15.0,1870.0,1870.0,1870.0,2014,12
353,2015-01-01,549199.0,Uttrakhand,Dehradoon,Maize,15.0,1400.0,1400.0,1400.0,2015,1
356,2015-02-01,545998.0,Uttrakhand,Dehradoon,Maize,27.4,1968.0,1968.0,1968.0,2015,2
357,2015-03-01,,Uttrakhand,Dehradoon,Maize,35.535164835164835,1715.8241758241759,2114.3846153846152,2054.8980025604046,2015,3
