,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,94.0,Uttrakhand,Garhwal (Pauri),Maize,9.0,1100.0,0.0,0.0,2008,1
9,2008-02-01,6966.0,Uttrakhand,Garhwal (Pauri),Maize,18.0,1068.0,1068.0,1068.0,2008,2
20,2008-03-01,12082.0,Uttrakhand,Garhwal (Pauri),Maize,91.5,1137.0,1380.0,1297.0,2008,3
28,2008-04-01,10281.0,Uttrakhand,Garhwal (Pauri),Maize,30.0,1100.0,1111.0,1111.0,2008,4
36,2008-05-01,5599.0,Uttrakhand,Garhwal (Pauri),Maize,11.9,1315.0,1500.0,1315.0,2008,5
39,2008-06-01,10615.0,Uttrakhand,Garhwal (Pauri),Maize,75.7,995.0,1315.0,1235.0,2008,6
40,2008-07-01,960.0,Uttrakhand,Garhwal (Pauri),Maize,14.6,0.0,0.0,1000.0,2008,7
42,2008-08-01,1138.0,Uttrakhand,Garhwal (Pauri),Maize,43.5,1060.0,1318.0,0.0,2008,8
48,2008-09-01,,Uttrakhand,Garhwal (Pauri),Maize,23.88,1240.3111111111111,1441.8222222222223,1508.403753428471,2008,9
49,2008-10-01,11258.0,Uttrakhand,Garhwal (Pauri),Maize,6.0,0.0,0.0,1200.0,2008,10
50,2008-11-01,11452.0,Uttrakhand,Garhwal (Pauri),Maize,70.9,880.0,3206.0,1365.0,2008,11
54,2008-12-01,1814.0,Uttrakhand,Garhwal (Pauri),Maize,9.0,0.0,0.0,1328.0,2008,12
56,2009-01-01,60065.0,Uttrakhand,Garhwal (Pauri),Maize,15.0,1151.0,1245.0,1245.0,2009,1
61,2009-02-01,65108.0,Uttrakhand,Garhwal (Pauri),Maize,10.0,1300.0,1975.0,1300.0,2009,2
72,2009-03-01,69823.0,Uttrakhand,Garhwal (Pauri),Maize,17.0,1250.0,1250.0,1250.0,2009,3
79,2009-04-01,63368.0,Uttrakhand,Garhwal (Pauri),Maize,6.1,1100.0,2775.0,1975.0,2009,4
90,2009-05-01,63574.0,Uttrakhand,Garhwal (Pauri),Maize,15.0,1300.0,1350.0,1350.0,2009,5
94,2009-06-01,68387.0,Uttrakhand,Garhwal (Pauri),Maize,22.5,1391.0,1500.0,1391.0,2009,6
107,2009-07-01,63950.0,Uttrakhand,Garhwal (Pauri),Maize,10.5,1220.0,1220.0,1220.0,2009,7
120,2009-08-01,73464.0,Uttrakhand,Garhwal (Pauri),Maize,7.5,1294.0,1452.0,1294.0,2009,8
124,2009-09-01,64190.0,Uttrakhand,Garhwal (Pauri),Maize,16.5,1100.0,1450.0,1250.0,2009,9
127,2009-10-01,64372.0,Uttrakhand,Garhwal (Pauri),Maize,4.8,1175.0,1175.0,1175.0,2009,10
140,2009-11-01,64571.0,Uttrakhand,Garhwal (Pauri),Maize,20.0,1330.0,1330.0,1330.0,2009,11
151,2009-12-01,82983.0,Uttrakhand,Garhwal (Pauri),Maize,6.0,1200.0,1200.0,1200.0,2009,12
157,2010-01-01,117376.0,Uttrakhand,Garhwal (Pauri),Maize,6.4,2400.0,3100.0,2242.816890428117,2010,1
159,2010-02-01,,Uttrakhand,Garhwal (Pauri),Maize,23.88,1240.3111111111111,1441.8222222222223,1508.403753428471,2010,2
160,2010-03-01,,Uttrakhand,Garhwal (Pauri),Maize,23.88,1240.3111111111111,1441.8222222222223,1508.403753428471,2010,3
161,2010-04-01,137145.0,Uttrakhand,Garhwal (Pauri),Maize,39.6,1240.0,1365.0,2242.816890428117,2010,4
170,2010-05-01,143327.0,Uttrakhand,Garhwal (Pauri),Maize,41.8,1367.0,1450.0,2242.816890428117,2010,5
176,2010-06-01,150491.0,Uttrakhand,Garhwal (Pauri),Maize,9.0,1439.0,1575.0,2242.816890428117,2010,6
193,2010-07-01,156758.0,Uttrakhand,Garhwal (Pauri),Maize,45.0,1485.0,1485.0,2242.816890428117,2010,7
213,2010-08-01,163918.0,Uttrakhand,Garhwal (Pauri),Maize,20.1,1453.0,1453.0,2242.816890428117,2010,8
228,2010-09-01,170008.0,Uttrakhand,Garhwal (Pauri),Maize,30.8,1250.0,1460.0,2242.816890428117,2010,9
243,2010-10-01,177095.0,Uttrakhand,Garhwal (Pauri),Maize,19.5,1500.0,1550.0,2242.816890428117,2010,10
253,2010-11-01,183872.0,Uttrakhand,Garhwal (Pauri),Maize,70.7,1250.0,1376.0,2242.816890428117,2010,11
265,2010-12-01,190418.0,Uttrakhand,Garhwal (Pauri),Maize,46.0,1200.0,1321.0,2242.816890428117,2010,12
281,2011-01-01,196667.0,Uttrakhand,Garhwal (Pauri),Maize,15.8,1475.0,1575.0,1575.0,2011,1
294,2011-02-01,196814.0,Uttrakhand,Garhwal (Pauri),Maize,15.0,1350.0,1800.0,1350.0,2011,2
305,2011-03-01,197067.0,Uttrakhand,Garhwal (Pauri),Maize,7.5,1511.0,1850.0,1511.0,2011,3
315,2011-04-01,211768.0,Uttrakhand,Garhwal (Pauri),Maize,5.1,1460.0,1460.0,1460.0,2011,4
324,2011-05-01,228529.0,Uttrakhand,Garhwal (Pauri),Maize,26.5,1200.0,1464.0,1464.0,2011,5
330,2011-06-01,212206.0,Uttrakhand,Garhwal (Pauri),Maize,6.2,1607.0,1607.0,1607.0,2011,6
335,2011-07-01,205442.0,Uttrakhand,Garhwal (Pauri),Maize,20.0,1611.0,1659.0,1611.0,2011,7
