,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,95.0,Uttrakhand,Haridwar,Maize,43.7,900.0,3700.0,1180.0,2008,1
41,2008-02-01,252.0,Uttrakhand,Haridwar,Maize,18.0,780.0,1135.0,1100.0,2008,2
73,2008-03-01,410.0,Uttrakhand,Haridwar,Maize,15.1,900.0,1700.0,1235.0,2008,3
100,2008-04-01,578.0,Uttrakhand,Haridwar,Maize,18.5,850.0,965.0,935.0,2008,4
115,2008-05-01,5600.0,Uttrakhand,Haridwar,Maize,31.0,775.0,1100.0,1060.0,2008,5
134,2008-06-01,795.0,Uttrakhand,Haridwar,Maize,24.6,900.0,1750.0,1250.0,2008,6
152,2008-07-01,961.0,Uttrakhand,Haridwar,Maize,72.2,750.0,1480.0,1100.0,2008,7
166,2008-08-01,1139.0,Uttrakhand,Haridwar,Maize,36.2,780.0,1450.0,1060.0,2008,8
182,2008-09-01,1320.0,Uttrakhand,Haridwar,Maize,31.4,660.0,1460.0,1020.0,2008,9
192,2008-10-01,1497.0,Uttrakhand,Haridwar,Maize,30.5,770.0,1150.0,1080.0,2008,10
202,2008-11-01,1680.0,Uttrakhand,Haridwar,Maize,68.9,770.0,1150.0,1100.0,2008,11
214,2008-12-01,1815.0,Uttrakhand,Haridwar,Maize,54.1,875.0,3500.0,1260.0,2008,12
220,2009-01-01,58152.0,Uttrakhand,Haridwar,Maize,18.2,700.0,1800.0,1130.0,2009,1
222,2009-02-01,,Uttrakhand,Haridwar,Maize,138.89890109890106,1910.868131868132,2767.7582417582416,2119.8311404489696,2009,2
223,2009-03-01,,Uttrakhand,Haridwar,Maize,138.89890109890106,1910.868131868132,2767.7582417582416,2119.8311404489696,2009,3
224,2009-04-01,,Uttrakhand,Haridwar,Maize,138.89890109890106,1910.868131868132,2767.7582417582416,2119.8311404489696,2009,4
225,2009-05-01,79893.0,Uttrakhand,Haridwar,Maize,38.9,865.0,1610.0,920.0,2009,5
226,2009-06-01,,Uttrakhand,Haridwar,Maize,138.89890109890106,1910.868131868132,2767.7582417582416,2119.8311404489696,2009,6
227,2009-07-01,,Uttrakhand,Haridwar,Maize,138.89890109890106,1910.868131868132,2767.7582417582416,2119.8311404489696,2009,7
228,2009-08-01,,Uttrakhand,Haridwar,Maize,138.89890109890106,1910.868131868132,2767.7582417582416,2119.8311404489696,2009,8
229,2009-09-01,,Uttrakhand,Haridwar,Maize,138.89890109890106,1910.868131868132,2767.7582417582416,2119.8311404489696,2009,9
