,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,9797.0,Uttrakhand,Nanital,Maize,20.0,1100.0,1200.0,1150.0,2008,1
2,2008-02-01,7382.0,Uttrakhand,Nanital,Maize,4.5,800.0,1200.0,825.0,2008,2
3,2008-03-01,5190.0,Uttrakhand,Nanital,Maize,0.5,1200.0,1800.0,1700.0,2008,3
5,2008-04-01,579.0,Uttrakhand,Nanital,Maize,15.0,850.0,1100.0,900.0,2008,4
8,2008-05-01,35967.0,Uttrakhand,Nanital,Maize,20.1,1050.0,1200.0,1150.0,2008,5
9,2008-06-01,797.0,Uttrakhand,Nanital,Maize,5.0,900.0,1150.0,1100.0,2008,6
12,2008-07-01,962.0,Uttrakhand,Nanital,Maize,12.0,800.0,1100.0,900.0,2008,7
13,2008-08-01,21012.0,Uttrakhand,Nanital,Maize,15.0,800.0,950.0,900.0,2008,8
15,2008-09-01,21197.0,Uttrakhand,Nanital,Maize,15.0,800.0,950.0,900.0,2008,9
18,2008-10-01,16385.0,Uttrakhand,Nanital,Maize,15.0,800.0,1100.0,867.0,2008,10
21,2008-11-01,45893.0,Uttrakhand,Nanital,Maize,3.0,950.0,1200.0,1000.0,2008,11
22,2008-12-01,11655.0,Uttrakhand,Nanital,Maize,17.0,1100.0,1240.0,1180.0,2008,12
23,2009-01-01,,Uttrakhand,Nanital,Maize,30.46041666666666,1925.9583333333333,2055.6041666666665,2013.8086852172526,2009,1
24,2009-02-01,,Uttrakhand,Nanital,Maize,30.46041666666666,1925.9583333333333,2055.6041666666665,2013.8086852172526,2009,2
25,2009-03-01,67831.0,Uttrakhand,Nanital,Maize,25.0,1150.0,1200.0,1170.0,2009,3
26,2009-04-01,,Uttrakhand,Nanital,Maize,30.46041666666666,1925.9583333333333,2055.6041666666665,2013.8086852172526,2009,4
27,2009-05-01,,Uttrakhand,Nanital,Maize,30.46041666666666,1925.9583333333333,2055.6041666666665,2013.8086852172526,2009,5
28,2009-06-01,,Uttrakhand,Nanital,Maize,30.46041666666666,1925.9583333333333,2055.6041666666665,2013.8086852172526,2009,6
29,2009-07-01,,Uttrakhand,Nanital,Maize,30.46041666666666,1925.9583333333333,2055.6041666666665,2013.8086852172526,2009,7
30,2009-08-01,,Uttrakhand,Nanital,Maize,30.46041666666666,1925.9583333333333,2055.6041666666665,2013.8086852172526,2009,8
