,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,103,West Bengal,Burdwan,Maize,1180.0,1345.0,1365.0,1355.0,2008,1
51,2008-02-01,257,West Bengal,Burdwan,Maize,1100.0,1360.0,1380.0,1370.0,2008,2
96,2008-03-01,418,West Bengal,Burdwan,Maize,990.0,1360.0,1380.0,1370.0,2008,3
138,2008-04-01,585,West Bengal,Burdwan,Maize,960.0,1365.0,1380.0,1375.0,2008,4
186,2008-05-01,732,West Bengal,Burdwan,Maize,950.0,1360.0,1380.0,1370.0,2008,5
270,2008-06-01,803,West Bengal,Burdwan,Maize,930.0,1360.0,1370.0,1365.0,2008,6
349,2008-07-01,969,West Bengal,Burdwan,Maize,900.0,1350.0,1370.0,1360.0,2008,7
418,2008-08-01,1146,West Bengal,Burdwan,Maize,870.0,1330.0,1350.0,1340.0,2008,8
503,2008-09-01,1324,West Bengal,Burdwan,Maize,850.0,1340.0,1360.0,1350.0,2008,9
595,2008-10-01,1501,West Bengal,Burdwan,Maize,810.0,1350.0,1370.0,1360.0,2008,10
688,2008-11-01,1687,West Bengal,Burdwan,Maize,770.0,1360.0,1380.0,1370.0,2008,11
782,2008-12-01,1819,West Bengal,Burdwan,Maize,740.0,1365.0,1380.0,1375.0,2008,12
897,2009-01-01,58157,West Bengal,Burdwan,Maize,580.0,1300.0,1325.0,1315.0,2009,1
997,2009-02-01,58346,West Bengal,Burdwan,Maize,570.0,1310.0,1330.0,1320.0,2009,2
1103,2009-03-01,58515,West Bengal,Burdwan,Maize,560.0,1300.0,1320.0,1310.0,2009,3
1237,2009-04-01,58607,West Bengal,Burdwan,Maize,550.0,1290.0,1310.0,1300.0,2009,4
1374,2009-05-01,58739,West Bengal,Burdwan,Maize,555.0,1310.0,1330.0,1320.0,2009,5
1483,2009-06-01,58863,West Bengal,Burdwan,Maize,545.0,1300.0,1320.0,1310.0,2009,6
1597,2009-07-01,59038,West Bengal,Burdwan,Maize,525.0,1300.0,1325.0,1315.0,2009,7
1729,2009-08-01,59170,West Bengal,Burdwan,Maize,515.0,1290.0,1310.0,1300.0,2009,8
1822,2009-09-01,59351,West Bengal,Burdwan,Maize,500.0,1300.0,1320.0,1310.0,2009,9
1905,2009-10-01,59495,West Bengal,Burdwan,Maize,510.0,1300.0,1320.0,1310.0,2009,10
2010,2009-11-01,59576,West Bengal,Burdwan,Maize,520.0,1310.0,1325.0,1315.0,2009,11
2116,2009-12-01,59776,West Bengal,Burdwan,Maize,510.0,1310.0,1325.0,1315.0,2009,12
2204,2010-01-01,117385,West Bengal,Burdwan,Maize,182.0,1725.0,1725.0,2242.816890428117,2010,1
2320,2010-02-01,123381,West Bengal,Burdwan,Maize,180.0,1950.0,1950.0,2242.816890428117,2010,2
2477,2010-03-01,129518,West Bengal,Burdwan,Maize,480.0,1770.0,1780.0,2242.816890428117,2010,3
2640,2010-04-01,136733,West Bengal,Burdwan,Maize,495.0,1775.0,1785.0,2242.816890428117,2010,4
2778,2010-05-01,143222,West Bengal,Burdwan,Maize,265.0,1790.0,1800.0,2242.816890428117,2010,5
2962,2010-06-01,149993,West Bengal,Burdwan,Maize,350.0,1670.0,1680.0,2242.816890428117,2010,6
3155,2010-07-01,156767,West Bengal,Burdwan,Maize,220.0,1855.0,1865.0,2242.816890428117,2010,7
3314,2010-08-01,163198,West Bengal,Burdwan,Maize,205.0,1790.0,1800.0,2242.816890428117,2010,8
3457,2010-09-01,170016,West Bengal,Burdwan,Maize,135.0,1830.0,1840.0,2242.816890428117,2010,9
3555,2010-10-01,176921,West Bengal,Burdwan,Maize,123.0,1830.0,1840.0,2242.816890428117,2010,10
3610,2010-11-01,183621,West Bengal,Burdwan,Maize,120.0,1790.0,1800.0,2242.816890428117,2010,11
3720,2010-12-01,189888,West Bengal,Burdwan,Maize,180.0,1790.0,1800.0,2242.816890428117,2010,12
3856,2011-01-01,196675,West Bengal,Burdwan,Maize,340.0,1830.0,1850.0,1840.0,2011,1
4010,2011-02-01,196818,West Bengal,Burdwan,Maize,360.0,1830.0,1850.0,1840.0,2011,2
