,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,104,West Bengal,Coochbehar,Maize,3.1,1590.0,1610.0,1600.0,2008,1
61,2008-02-01,5117,West Bengal,Coochbehar,Maize,12.0,1375.0,1405.0,1390.0,2008,2
147,2008-03-01,5195,West Bengal,Coochbehar,Maize,13.0,1300.0,1310.0,0.0,2008,3
235,2008-04-01,586,West Bengal,Coochbehar,Maize,3.1,1600.0,1620.0,1610.0,2008,4
322,2008-05-01,5606,West Bengal,Coochbehar,Maize,9.0,1325.0,1355.0,1340.0,2008,5
416,2008-06-01,10625,West Bengal,Coochbehar,Maize,11.0,1300.0,1400.0,1350.0,2008,6
499,2008-07-01,970,West Bengal,Coochbehar,Maize,3.1,1590.0,1610.0,1600.0,2008,7
582,2008-08-01,6183,West Bengal,Coochbehar,Maize,8.0,1250.0,1400.0,1325.0,2008,8
684,2008-09-01,1325,West Bengal,Coochbehar,Maize,3.1,1600.0,1620.0,1610.0,2008,9
821,2008-10-01,6377,West Bengal,Coochbehar,Maize,7.0,1300.0,1400.0,1350.0,2008,10
962,2008-11-01,1688,West Bengal,Coochbehar,Maize,3.1,1605.0,1625.0,1615.0,2008,11
1050,2008-12-01,1820,West Bengal,Coochbehar,Maize,8.0,1250.0,1300.0,1275.0,2008,12
1109,2009-01-01,58163,West Bengal,Coochbehar,Maize,35.0,1675.0,1725.0,1700.0,2009,1
1187,2009-02-01,58352,West Bengal,Coochbehar,Maize,30.0,1650.0,1700.0,1680.0,2009,2
1252,2009-03-01,58519,West Bengal,Coochbehar,Maize,50.0,1300.0,1400.0,1350.0,2009,3
1316,2009-04-01,58610,West Bengal,Coochbehar,Maize,60.0,1350.0,1400.0,1375.0,2009,4
1385,2009-05-01,63586,West Bengal,Coochbehar,Maize,40.0,1700.0,1775.0,1750.0,2009,5
1471,2009-06-01,58868,West Bengal,Coochbehar,Maize,40.0,1675.0,1725.0,1700.0,2009,6
1561,2009-07-01,59043,West Bengal,Coochbehar,Maize,35.0,1600.0,1675.0,1650.0,2009,7
1639,2009-08-01,59173,West Bengal,Coochbehar,Maize,52.0,1450.0,1650.0,1550.0,2009,8
1699,2009-09-01,59356,West Bengal,Coochbehar,Maize,35.0,1675.0,1725.0,1700.0,2009,9
1756,2009-10-01,59498,West Bengal,Coochbehar,Maize,60.0,1350.0,1400.0,1375.0,2009,10
1818,2009-11-01,59579,West Bengal,Coochbehar,Maize,55.0,1300.0,1400.0,1350.0,2009,11
1888,2009-12-01,59781,West Bengal,Coochbehar,Maize,25.0,1730.0,1780.0,1750.0,2009,12
1940,2010-01-01,117390,West Bengal,Coochbehar,Maize,89.0,1975.0,2025.0,2242.816890428117,2010,1
2011,2010-02-01,123388,West Bengal,Coochbehar,Maize,85.0,2075.0,2100.0,2242.816890428117,2010,2
2067,2010-03-01,129523,West Bengal,Coochbehar,Maize,40.0,2090.0,2100.0,2242.816890428117,2010,3
2158,2010-04-01,136739,West Bengal,Coochbehar,Maize,40.0,2090.0,2100.0,2242.816890428117,2010,4
2310,2010-05-01,143226,West Bengal,Coochbehar,Maize,84.0,2100.0,2175.0,2242.816890428117,2010,5
2519,2010-06-01,150000,West Bengal,Coochbehar,Maize,30.0,2050.0,2100.0,2242.816890428117,2010,6
2695,2010-07-01,156773,West Bengal,Coochbehar,Maize,50.0,2190.0,2200.0,2242.816890428117,2010,7
2799,2010-08-01,163200,West Bengal,Coochbehar,Maize,20.0,2290.0,2300.0,2242.816890428117,2010,8
2938,2010-09-01,170020,West Bengal,Coochbehar,Maize,50.0,2290.0,2300.0,2242.816890428117,2010,9
3101,2010-10-01,176924,West Bengal,Coochbehar,Maize,105.0,2400.0,2450.0,2242.816890428117,2010,10
3232,2010-11-01,183625,West Bengal,Coochbehar,Maize,107.5,2400.0,2450.0,2242.816890428117,2010,11
3370,2010-12-01,189893,West Bengal,Coochbehar,Maize,20.0,2050.0,2100.0,2242.816890428117,2010,12
3586,2011-01-01,196680,West Bengal,Coochbehar,Maize,16.0,2000.0,2100.0,2050.0,2011,1
3827,2011-02-01,196821,West Bengal,Coochbehar,Maize,17.0,200.0,2200.0,2100.0,2011,2
4047,2011-03-01,197080,West Bengal,Coochbehar,Maize,20.0,1985.0,2010.0,2000.0,2011,3
4290,2011-04-01,197338,West Bengal,Coochbehar,Maize,20.0,1985.0,2010.0,2000.0,2011,4
4554,2011-05-01,197596,West Bengal,Coochbehar,Maize,20.0,1985.0,2010.0,2000.0,2011,5
4826,2011-06-01,197881,West Bengal,Coochbehar,Maize,20.0,1435.0,1455.0,1450.0,2011,6
