,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,107.0,West Bengal,Howrah,Maize,40.0,0.0,0.0,1515.0,2008,1
16,2008-02-01,261.0,West Bengal,Howrah,Maize,40.0,1505.0,1530.0,1520.0,2008,2
34,2008-03-01,10094.0,West Bengal,Howrah,Maize,40.0,1530.0,1550.0,1540.0,2008,3
54,2008-04-01,10296.0,West Bengal,Howrah,Maize,40.0,1530.0,1550.0,1540.0,2008,4
73,2008-05-01,10468.0,West Bengal,Howrah,Maize,40.0,1530.0,1550.0,1540.0,2008,5
87,2008-06-01,10630.0,West Bengal,Howrah,Maize,40.0,1530.0,1550.0,1540.0,2008,6
100,2008-07-01,10833.0,West Bengal,Howrah,Maize,40.0,1530.0,1555.0,1545.0,2008,7
117,2008-08-01,1150.0,West Bengal,Howrah,Maize,40.0,1505.0,1530.0,1520.0,2008,8
133,2008-09-01,1330.0,West Bengal,Howrah,Maize,40.0,1505.0,1530.0,1525.0,2008,9
152,2008-10-01,11275.0,West Bengal,Howrah,Maize,40.0,1565.0,1590.0,1580.0,2008,10
171,2008-11-01,11467.0,West Bengal,Howrah,Maize,40.0,1565.0,1585.0,1575.0,2008,11
188,2008-12-01,11669.0,West Bengal,Howrah,Maize,39.0,1570.0,1595.0,1585.0,2008,12
207,2009-01-01,58169.0,West Bengal,Howrah,Maize,28.0,1570.0,1600.0,1580.0,2009,1
225,2009-02-01,58358.0,West Bengal,Howrah,Maize,28.0,1570.0,1600.0,1580.0,2009,2
246,2009-03-01,63196.0,West Bengal,Howrah,Maize,28.0,1540.0,1600.0,1570.0,2009,3
269,2009-04-01,63389.0,West Bengal,Howrah,Maize,28.5,1555.0,1600.0,1580.0,2009,4
289,2009-05-01,63592.0,West Bengal,Howrah,Maize,28.0,1550.0,1600.0,1580.0,2009,5
312,2009-06-01,63787.0,West Bengal,Howrah,Maize,27.0,1550.0,1600.0,1580.0,2009,6
332,2009-07-01,59050.0,West Bengal,Howrah,Maize,28.0,1570.0,1600.0,1580.0,2009,7
355,2009-08-01,59176.0,West Bengal,Howrah,Maize,28.0,1570.0,1600.0,1580.0,2009,8
375,2009-09-01,59361.0,West Bengal,Howrah,Maize,28.0,1570.0,1600.0,1580.0,2009,9
397,2009-10-01,64391.0,West Bengal,Howrah,Maize,27.0,1550.0,1600.0,1580.0,2009,10
418,2009-11-01,64590.0,West Bengal,Howrah,Maize,28.0,1550.0,1600.0,1580.0,2009,11
437,2009-12-01,59784.0,West Bengal,Howrah,Maize,28.0,1570.0,1600.0,1580.0,2009,12
457,2010-01-01,117400.0,West Bengal,Howrah,Maize,260.0,1825.0,1840.0,2242.816890428117,2010,1
477,2010-02-01,123427.0,West Bengal,Howrah,Maize,290.0,1875.0,1925.0,2242.816890428117,2010,2
497,2010-03-01,129552.0,West Bengal,Howrah,Maize,295.0,1875.0,1900.0,2242.816890428117,2010,3
520,2010-04-01,136770.0,West Bengal,Howrah,Maize,295.0,1875.0,1900.0,2242.816890428117,2010,4
538,2010-05-01,143609.0,West Bengal,Howrah,Maize,275.0,1875.0,1900.0,2242.816890428117,2010,5
562,2010-06-01,150046.0,West Bengal,Howrah,Maize,29.0,1875.0,1900.0,2242.816890428117,2010,6
587,2010-07-01,156779.0,West Bengal,Howrah,Maize,290.0,2100.0,2150.0,2242.816890428117,2010,7
612,2010-08-01,163446.0,West Bengal,Howrah,Maize,270.0,2150.0,2200.0,2242.816890428117,2010,8
632,2010-09-01,170027.0,West Bengal,Howrah,Maize,260.0,1875.0,1975.0,2242.816890428117,2010,9
658,2010-10-01,176934.0,West Bengal,Howrah,Maize,23.5,2100.0,2150.0,2242.816890428117,2010,10
674,2010-11-01,183634.0,West Bengal,Howrah,Maize,22.5,2150.0,2230.0,2242.816890428117,2010,11
699,2010-12-01,189906.0,West Bengal,Howrah,Maize,20.5,2000.0,2050.0,2242.816890428117,2010,12
727,2011-01-01,196691.0,West Bengal,Howrah,Maize,22.0,1850.0,1900.0,1870.0,2011,1
750,2011-02-01,196830.0,West Bengal,Howrah,Maize,20.5,1840.0,1890.0,1870.0,2011,2
773,2011-03-01,197096.0,West Bengal,Howrah,Maize,20.8,1840.0,1890.0,1870.0,2011,3
797,2011-04-01,197355.0,West Bengal,Howrah,Maize,22.0,1840.0,1890.0,1870.0,2011,4
821,2011-05-01,197611.0,West Bengal,Howrah,Maize,21.0,1850.0,1900.0,1880.0,2011,5
848,2011-06-01,197894.0,West Bengal,Howrah,Maize,21.5,1840.0,1880.0,1860.0,2011,6
872,2011-07-01,198175.0,West Bengal,Howrah,Maize,22.0,1840.0,1880.0,1860.0,2011,7
897,2011-08-01,198395.0,West Bengal,Howrah,Maize,21.0,1850.0,1880.0,1870.0,2011,8
904,2011-09-01,198521.0,West Bengal,Howrah,Maize,22.0,1860.0,1880.0,1870.0,2011,9
912,2011-10-01,198786.0,West Bengal,Howrah,Maize,21.0,1860.0,1880.0,1870.0,2011,10
920,2011-11-01,199023.0,West Bengal,Howrah,Maize,21.5,1870.0,1890.0,1880.0,2011,11
928,2011-12-01,199286.0,West Bengal,Howrah,Maize,22.0,1870.0,1890.0,1880.0,2011,12
936,2012-01-01,298602.0,West Bengal,Howrah,Maize,57.0,1850.0,2050.0,1940.0,2012,1
946,2012-02-01,294814.0,West Bengal,Howrah,Maize,50.0,1800.0,2000.0,1900.0,2012,2
988,2012-03-01,299180.0,West Bengal,Howrah,Maize,58.0,1840.0,2050.0,1940.0,2012,3
1035,2012-04-01,299313.0,West Bengal,Howrah,Maize,57.0,1850.0,2050.0,1950.0,2012,4
1081,2012-05-01,299597.0,West Bengal,Howrah,Maize,63.0,1850.0,2050.0,1950.0,2012,5
1125,2012-06-01,293297.0,West Bengal,Howrah,Maize,57.0,1800.0,2000.0,1870.0,2012,6
1173,2012-07-01,293498.0,West Bengal,Howrah,Maize,57.0,1800.0,2000.0,1800.0,2012,7
1201,2012-08-01,293733.0,West Bengal,Howrah,Maize,57.0,1800.0,2000.0,1880.0,2012,8
1211,2012-09-01,293959.0,West Bengal,Howrah,Maize,54.0,1800.0,2000.0,1900.0,2012,9
1223,2012-10-01,294227.0,West Bengal,Howrah,Maize,56.0,1800.0,2000.0,1900.0,2012,10
1235,2012-11-01,300858.0,West Bengal,Howrah,Maize,60.0,1860.0,2040.0,1960.0,2012,11
1245,2012-12-01,301133.0,West Bengal,Howrah,Maize,56.0,1860.0,2030.0,1970.0,2012,12
1255,2013-01-01,,West Bengal,Howrah,Maize,48.659259259259265,2090.509259259259,2217.175925925926,2195.3592841216428,2013,1
