,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,113,West Bengal,Malda,Maize,32.0,1200.0,1250.0,1230.0,2008,1
43,2008-02-01,270,West Bengal,Malda,Maize,30.0,1200.0,1250.0,1230.0,2008,2
68,2008-03-01,426,West Bengal,Malda,Maize,32.0,1200.0,1250.0,1230.0,2008,3
83,2008-04-01,594,West Bengal,Malda,Maize,32.0,1200.0,1250.0,1230.0,2008,4
101,2008-05-01,737,West Bengal,Malda,Maize,33.0,1220.0,1260.0,1240.0,2008,5
116,2008-06-01,807,West Bengal,Malda,Maize,34.0,1220.0,1260.0,1240.0,2008,6
167,2008-07-01,978,West Bengal,Malda,Maize,33.0,1220.0,1260.0,1250.0,2008,7
224,2008-08-01,1156,West Bengal,Malda,Maize,30.0,1230.0,1260.0,1250.0,2008,8
281,2008-09-01,1337,West Bengal,Malda,Maize,30.0,1230.0,1260.0,1250.0,2008,9
348,2008-10-01,1509,West Bengal,Malda,Maize,28.0,1230.0,1260.0,1250.0,2008,10
424,2008-11-01,1700,West Bengal,Malda,Maize,31.0,1230.0,1260.0,1250.0,2008,11
489,2008-12-01,1825,West Bengal,Malda,Maize,32.0,1230.0,1260.0,1250.0,2008,12
540,2009-01-01,58172,West Bengal,Malda,Maize,18.0,1230.0,1270.0,1250.0,2009,1
642,2009-02-01,58363,West Bengal,Malda,Maize,18.0,1230.0,1270.0,1250.0,2009,2
738,2009-03-01,58522,West Bengal,Malda,Maize,18.0,1230.0,1270.0,1250.0,2009,3
824,2009-04-01,58614,West Bengal,Malda,Maize,17.0,1230.0,1270.0,1250.0,2009,4
894,2009-05-01,58747,West Bengal,Malda,Maize,17.0,1230.0,1270.0,1250.0,2009,5
969,2009-06-01,58875,West Bengal,Malda,Maize,17.0,1230.0,1270.0,1250.0,2009,6
1076,2009-07-01,59055,West Bengal,Malda,Maize,16.5,1230.0,1270.0,1250.0,2009,7
1130,2009-08-01,59177,West Bengal,Malda,Maize,17.0,1230.0,1270.0,1250.0,2009,8
1196,2009-09-01,59364,West Bengal,Malda,Maize,17.0,1230.0,1270.0,1250.0,2009,9
1249,2009-10-01,59501,West Bengal,Malda,Maize,18.0,1230.0,1270.0,1250.0,2009,10
1312,2009-11-01,59582,West Bengal,Malda,Maize,18.0,1230.0,1270.0,1250.0,2009,11
1377,2009-12-01,59787,West Bengal,Malda,Maize,17.0,1230.0,1270.0,1250.0,2009,12
1434,2010-01-01,117407,West Bengal,Malda,Maize,25.0,1580.0,1600.0,2242.816890428117,2010,1
1546,2010-02-01,123404,West Bengal,Malda,Maize,23.0,1550.0,1600.0,2242.816890428117,2010,2
