,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,116,West Bengal,Medinipur(W),Maize,29.0,1270.0,1320.0,1300.0,2008,1
28,2008-02-01,273,West Bengal,Medinipur(W),Maize,25.0,1270.0,1320.0,1300.0,2008,2
56,2008-03-01,429,West Bengal,Medinipur(W),Maize,27.5,1270.0,1320.0,1300.0,2008,3
80,2008-04-01,5405,West Bengal,Medinipur(W),Maize,35.0,1220.0,1270.0,1250.0,2008,4
110,2008-05-01,5615,West Bengal,Medinipur(W),Maize,40.0,1220.0,1270.0,1250.0,2008,5
122,2008-06-01,27562,West Bengal,Medinipur(W),Maize,40.0,1175.0,1225.0,1200.0,2008,6
132,2008-07-01,5995,West Bengal,Medinipur(W),Maize,42.0,1220.0,1270.0,1250.0,2008,7
144,2008-08-01,1159,West Bengal,Medinipur(W),Maize,25.0,1270.0,1320.0,1300.0,2008,8
154,2008-09-01,1340,West Bengal,Medinipur(W),Maize,26.0,1270.0,1320.0,1300.0,2008,9
162,2008-10-01,1510,West Bengal,Medinipur(W),Maize,21.0,1220.0,1270.0,1250.0,2008,10
180,2008-11-01,1703,West Bengal,Medinipur(W),Maize,24.0,1220.0,1270.0,1250.0,2008,11
188,2008-12-01,6783,West Bengal,Medinipur(W),Maize,40.0,1220.0,1270.0,1250.0,2008,12
196,2009-01-01,106104,West Bengal,Medinipur(W),Maize,70.0,1600.0,1650.0,1600.0,2009,1
200,2009-02-01,96033,West Bengal,Medinipur(W),Maize,55.0,1600.0,1650.0,1600.0,2009,2
213,2009-03-01,96214,West Bengal,Medinipur(W),Maize,60.0,1600.0,1650.0,1600.0,2009,3
221,2009-04-01,100922,West Bengal,Medinipur(W),Maize,70.0,1550.0,1600.0,1550.0,2009,4
230,2009-05-01,91727,West Bengal,Medinipur(W),Maize,80.0,1500.0,1800.0,1600.0,2009,5
242,2009-06-01,91911,West Bengal,Medinipur(W),Maize,60.0,1480.0,1520.0,1500.0,2009,6
250,2009-07-01,92101,West Bengal,Medinipur(W),Maize,65.0,1480.0,1520.0,1500.0,2009,7
263,2009-08-01,93159,West Bengal,Medinipur(W),Maize,35.0,1480.0,1520.0,1500.0,2009,8
292,2009-09-01,97184,West Bengal,Medinipur(W),Maize,10.0,1480.0,1520.0,1500.0,2009,9
351,2009-10-01,92465,West Bengal,Medinipur(W),Maize,60.0,1480.0,1520.0,1500.0,2009,10
416,2009-11-01,92653,West Bengal,Medinipur(W),Maize,50.0,1480.0,1520.0,1500.0,2009,11
503,2009-12-01,92833,West Bengal,Medinipur(W),Maize,40.0,1480.0,1520.0,1500.0,2009,12
530,2010-01-01,117414,West Bengal,Medinipur(W),Maize,45.0,1530.0,1550.0,2242.816890428117,2010,1
616,2010-02-01,123411,West Bengal,Medinipur(W),Maize,12.0,1800.0,1850.0,2242.816890428117,2010,2
708,2010-03-01,129538,West Bengal,Medinipur(W),Maize,11.0,1770.0,1800.0,2242.816890428117,2010,3
774,2010-04-01,137529,West Bengal,Medinipur(W),Maize,30.0,1530.0,1550.0,2242.816890428117,2010,4
816,2010-05-01,143594,West Bengal,Medinipur(W),Maize,60.0,1580.0,1600.0,2242.816890428117,2010,5
862,2010-06-01,150272,West Bengal,Medinipur(W),Maize,20.0,1680.0,1700.0,2242.816890428117,2010,6
925,2010-07-01,156797,West Bengal,Medinipur(W),Maize,25.0,1880.0,1900.0,2242.816890428117,2010,7
953,2010-08-01,163460,West Bengal,Medinipur(W),Maize,40.0,1880.0,1900.0,2242.816890428117,2010,8
1002,2010-09-01,170240,West Bengal,Medinipur(W),Maize,12.0,2080.0,2100.0,2242.816890428117,2010,9
1052,2010-10-01,176952,West Bengal,Medinipur(W),Maize,45.0,1830.0,1850.0,2242.816890428117,2010,10
1077,2010-11-01,183649,West Bengal,Medinipur(W),Maize,45.0,1780.0,1800.0,2242.816890428117,2010,11
1109,2010-12-01,189920,West Bengal,Medinipur(W),Maize,42.0,1680.0,1700.0,2242.816890428117,2010,12
1163,2011-01-01,199554,West Bengal,Medinipur(W),Maize,55.0,1725.0,1775.0,1750.0,2011,1
1198,2011-02-01,207288,West Bengal,Medinipur(W),Maize,15.0,2050.0,2150.0,2100.0,2011,2
1226,2011-03-01,197111,West Bengal,Medinipur(W),Maize,48.0,1680.0,1725.0,1700.0,2011,3
1279,2011-04-01,197375,West Bengal,Medinipur(W),Maize,45.0,1680.0,1725.0,1700.0,2011,4
1322,2011-05-01,197628,West Bengal,Medinipur(W),Maize,44.0,1680.0,1725.0,1700.0,2011,5
1361,2011-06-01,197911,West Bengal,Medinipur(W),Maize,45.0,1680.0,1725.0,1700.0,2011,6
1391,2011-07-01,198195,West Bengal,Medinipur(W),Maize,40.0,1680.0,1725.0,1700.0,2011,7
1472,2011-08-01,212771,West Bengal,Medinipur(W),Maize,45.0,1650.0,1680.0,1660.0,2011,8
1568,2011-09-01,206024,West Bengal,Medinipur(W),Maize,18.0,2050.0,2150.0,2100.0,2011,9
1645,2011-10-01,206317,West Bengal,Medinipur(W),Maize,17.0,2060.0,2160.0,2100.0,2011,10
1734,2011-11-01,199041,West Bengal,Medinipur(W),Maize,47.0,1725.0,1775.0,1750.0,2011,11
1828,2011-12-01,199303,West Bengal,Medinipur(W),Maize,50.0,1725.0,1775.0,1750.0,2011,12
1917,2012-01-01,285230,West Bengal,Medinipur(W),Maize,27.0,1800.0,1900.0,1900.0,2012,1
2018,2012-02-01,285474,West Bengal,Medinipur(W),Maize,60.0,1780.0,1830.0,1800.0,2012,2
2089,2012-03-01,292719,West Bengal,Medinipur(W),Maize,28.0,1900.0,2000.0,2000.0,2012,3
2135,2012-04-01,292956,West Bengal,Medinipur(W),Maize,28.0,1900.0,2000.0,2000.0,2012,4
2169,2012-05-01,293080,West Bengal,Medinipur(W),Maize,28.0,1900.0,2000.0,2000.0,2012,5
2214,2012-06-01,293319,West Bengal,Medinipur(W),Maize,27.0,1900.0,2000.0,2000.0,2012,6
2279,2012-07-01,286580,West Bengal,Medinipur(W),Maize,27.0,1800.0,1900.0,1900.0,2012,7
2380,2012-08-01,286704,West Bengal,Medinipur(W),Maize,26.0,1800.0,1900.0,1900.0,2012,8
2478,2012-09-01,286960,West Bengal,Medinipur(W),Maize,26.0,1900.0,2000.0,2000.0,2012,9
2585,2012-10-01,287237,West Bengal,Medinipur(W),Maize,28.0,1900.0,2000.0,2000.0,2012,10
2670,2012-11-01,287504,West Bengal,Medinipur(W),Maize,28.0,1900.0,2000.0,2000.0,2012,11
2753,2012-12-01,287766,West Bengal,Medinipur(W),Maize,28.0,1900.0,2000.0,2000.0,2012,12
2850,2013-01-01,374746,West Bengal,Medinipur(W),Maize,19.5,2050.0,2150.0,2100.0,2013,1
2936,2013-02-01,375045,West Bengal,Medinipur(W),Maize,30.0,2200.0,2250.0,2200.0,2013,2
3021,2013-03-01,375326,West Bengal,Medinipur(W),Maize,35.0,2200.0,2250.0,2200.0,2013,3
3121,2013-04-01,375612,West Bengal,Medinipur(W),Maize,30.0,2200.0,2250.0,2200.0,2013,4
3210,2013-05-01,375867,West Bengal,Medinipur(W),Maize,30.0,2200.0,2250.0,2200.0,2013,5
3287,2013-06-01,376002,West Bengal,Medinipur(W),Maize,35.0,2200.0,2250.0,2200.0,2013,6
3367,2013-07-01,376298,West Bengal,Medinipur(W),Maize,30.0,2200.0,2250.0,2200.0,2013,7
3457,2013-08-01,376581,West Bengal,Medinipur(W),Maize,18.0,2050.0,2100.0,2100.0,2013,8
3543,2013-09-01,376864,West Bengal,Medinipur(W),Maize,30.0,2200.0,2250.0,2200.0,2013,9
3629,2013-10-01,377169,West Bengal,Medinipur(W),Maize,35.0,2200.0,2250.0,2200.0,2013,10
3698,2013-11-01,377448,West Bengal,Medinipur(W),Maize,30.0,2200.0,2250.0,2200.0,2013,11
3742,2013-12-01,377669,West Bengal,Medinipur(W),Maize,30.0,2200.0,2250.0,2200.0,2013,12
3770,2014-01-01,462035,West Bengal,Medinipur(W),Maize,1.4,2550.0,2650.0,2600.0,2014,1
3832,2014-02-01,466153,West Bengal,Medinipur(W),Maize,30.0,2600.0,2700.0,2600.0,2014,2
3907,2014-03-01,466423,West Bengal,Medinipur(W),Maize,25.0,2600.0,2700.0,2600.0,2014,3
3991,2014-04-01,481074,West Bengal,Medinipur(W),Maize,25.0,2700.0,2800.0,2700.0,2014,4
4067,2014-05-01,466931,West Bengal,Medinipur(W),Maize,25.0,2600.0,2700.0,2600.0,2014,5
4154,2014-06-01,467201,West Bengal,Medinipur(W),Maize,25.0,2600.0,2700.0,2600.0,2014,6
