,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,2051,West Bengal,Murshidabad,Maize,24.5,1350.0,1420.0,1400.0,2008,1
18,2008-02-01,30341,West Bengal,Murshidabad,Maize,20.0,1300.0,1370.0,1345.0,2008,2
24,2008-03-01,30480,West Bengal,Murshidabad,Maize,22.5,1300.0,1370.0,1345.0,2008,3
30,2008-04-01,35811,West Bengal,Murshidabad,Maize,22.0,1300.0,1350.0,1325.0,2008,4
32,2008-05-01,22236,West Bengal,Murshidabad,Maize,21.5,1350.0,1450.0,1400.0,2008,5
44,2008-06-01,27738,West Bengal,Murshidabad,Maize,19.0,1270.0,1320.0,1300.0,2008,6
60,2008-07-01,981,West Bengal,Murshidabad,Maize,23.0,1350.0,1420.0,1400.0,2008,7
78,2008-08-01,1161,West Bengal,Murshidabad,Maize,22.0,1350.0,1420.0,1400.0,2008,8
94,2008-09-01,1342,West Bengal,Murshidabad,Maize,24.0,1350.0,1420.0,1400.0,2008,9
124,2008-10-01,1512,West Bengal,Murshidabad,Maize,22.5,1350.0,1420.0,1400.0,2008,10
154,2008-11-01,26775,West Bengal,Murshidabad,Maize,22.0,1250.0,1300.0,1275.0,2008,11
180,2008-12-01,26962,West Bengal,Murshidabad,Maize,23.5,1250.0,1300.0,1275.0,2008,12
198,2009-01-01,58177,West Bengal,Murshidabad,Maize,23.5,1350.0,1400.0,1375.0,2009,1
224,2009-02-01,63041,West Bengal,Murshidabad,Maize,24.5,1250.0,1300.0,1275.0,2009,2
276,2009-03-01,58525,West Bengal,Murshidabad,Maize,22.5,1350.0,1400.0,1380.0,2009,3
332,2009-04-01,58619,West Bengal,Murshidabad,Maize,24.5,1350.0,1400.0,1380.0,2009,4
382,2009-05-01,58750,West Bengal,Murshidabad,Maize,23.0,1350.0,1400.0,1380.0,2009,5
443,2009-06-01,68408,West Bengal,Murshidabad,Maize,30.0,0.0,0.0,1450.0,2009,6
501,2009-07-01,68553,West Bengal,Murshidabad,Maize,22.5,1400.0,1450.0,1425.0,2009,7
541,2009-08-01,68621,West Bengal,Murshidabad,Maize,24.0,1400.0,1450.0,1425.0,2009,8
577,2009-09-01,64217,West Bengal,Murshidabad,Maize,23.5,1400.0,1450.0,1425.0,2009,9
608,2009-10-01,59502,West Bengal,Murshidabad,Maize,22.5,1350.0,1400.0,1375.0,2009,10
653,2009-11-01,59585,West Bengal,Murshidabad,Maize,23.5,1350.0,1400.0,1385.0,2009,11
686,2009-12-01,59790,West Bengal,Murshidabad,Maize,21.5,1350.0,1400.0,1380.0,2009,12
737,2010-01-01,117420,West Bengal,Murshidabad,Maize,30.0,0.0,2000.0,2242.816890428117,2010,1
778,2010-02-01,123412,West Bengal,Murshidabad,Maize,30.0,0.0,2000.0,2242.816890428117,2010,2
799,2010-03-01,129539,West Bengal,Murshidabad,Maize,20.0,0.0,2050.0,2242.816890428117,2010,3
824,2010-04-01,136759,West Bengal,Murshidabad,Maize,35.0,0.0,2075.0,2242.816890428117,2010,4
871,2010-05-01,143240,West Bengal,Murshidabad,Maize,23.0,2050.0,2075.0,2242.816890428117,2010,5
900,2010-06-01,150030,West Bengal,Murshidabad,Maize,8.0,1750.0,1800.0,2242.816890428117,2010,6
919,2010-07-01,156800,West Bengal,Murshidabad,Maize,33.5,1950.0,2000.0,2242.816890428117,2010,7
934,2010-08-01,163462,West Bengal,Murshidabad,Maize,39.0,1900.0,2000.0,2242.816890428117,2010,8
959,2010-09-01,170039,West Bengal,Murshidabad,Maize,300.0,2085.0,2150.0,2242.816890428117,2010,9
979,2010-10-01,177769,West Bengal,Murshidabad,Maize,290.0,2080.0,2140.0,2242.816890428117,2010,10
987,2010-11-01,183911,West Bengal,Murshidabad,Maize,250.0,2060.0,2070.0,2242.816890428117,2010,11
1000,2010-12-01,189924,West Bengal,Murshidabad,Maize,35.0,2000.0,2100.0,2242.816890428117,2010,12
1026,2011-01-01,199556,West Bengal,Murshidabad,Maize,32.5,2075.0,2125.0,2100.0,2011,1
1054,2011-02-01,204185,West Bengal,Murshidabad,Maize,30.0,2075.0,2125.0,2100.0,2011,2
1086,2011-03-01,197115,West Bengal,Murshidabad,Maize,30.0,2075.0,2125.0,2100.0,2011,3
1133,2011-04-01,204781,West Bengal,Murshidabad,Maize,29.0,2075.0,2125.0,2100.0,2011,4
1188,2011-05-01,197630,West Bengal,Murshidabad,Maize,29.0,2075.0,2125.0,2100.0,2011,5
