,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,123,West Bengal,Uttar Dinajpur,Maize,60.0,1435.0,1555.0,1500.0,2008,1
7,2008-02-01,7866,West Bengal,Uttar Dinajpur,Maize,65.5,1495.0,1595.0,1555.0,2008,2
18,2008-03-01,10110,West Bengal,Uttar Dinajpur,Maize,60.0,1560.0,1640.0,1600.0,2008,3
34,2008-04-01,599,West Bengal,Uttar Dinajpur,Maize,70.0,1450.0,1550.0,1500.0,2008,4
41,2008-05-01,5626,West Bengal,Uttar Dinajpur,Maize,70.0,1500.0,1640.0,1550.0,2008,5
45,2008-06-01,10646,West Bengal,Uttar Dinajpur,Maize,60.0,1550.0,1650.0,1600.0,2008,6
50,2008-07-01,15857,West Bengal,Uttar Dinajpur,Maize,61.0,1550.0,1650.0,1600.0,2008,7
52,2008-08-01,1168,West Bengal,Uttar Dinajpur,Maize,70.0,1475.0,1555.0,1525.0,2008,8
55,2008-09-01,1349,West Bengal,Uttar Dinajpur,Maize,65.0,1470.0,1555.0,1530.0,2008,9
59,2008-10-01,11291,West Bengal,Uttar Dinajpur,Maize,60.0,1560.0,1650.0,1600.0,2008,10
67,2008-11-01,1709,West Bengal,Uttar Dinajpur,Maize,65.0,1480.0,1560.0,1540.0,2008,11
77,2008-12-01,11688,West Bengal,Uttar Dinajpur,Maize,60.0,1550.0,1660.0,1600.0,2008,12
83,2009-01-01,58185,West Bengal,Uttar Dinajpur,Maize,50.0,1550.0,1650.0,1600.0,2009,1
100,2009-02-01,58377,West Bengal,Uttar Dinajpur,Maize,50.0,1555.0,1650.0,1600.0,2009,2
115,2009-03-01,63214,West Bengal,Uttar Dinajpur,Maize,43.0,1600.0,1700.0,1650.0,2009,3
131,2009-04-01,68048,West Bengal,Uttar Dinajpur,Maize,31.0,1650.0,1750.0,1700.0,2009,4
149,2009-05-01,68221,West Bengal,Uttar Dinajpur,Maize,65.0,1550.0,1650.0,1600.0,2009,5
168,2009-06-01,73174,West Bengal,Uttar Dinajpur,Maize,17.0,1550.0,1650.0,1600.0,2009,6
198,2009-07-01,77638,West Bengal,Uttar Dinajpur,Maize,45.0,1675.0,1725.0,1700.0,2009,7
224,2009-08-01,73500,West Bengal,Uttar Dinajpur,Maize,15.0,1550.0,1650.0,1600.0,2009,8
251,2009-09-01,73678,West Bengal,Uttar Dinajpur,Maize,15.0,1550.0,1650.0,1600.0,2009,9
269,2009-10-01,82628,West Bengal,Uttar Dinajpur,Maize,190.0,1700.0,1800.0,1750.0,2009,10
303,2009-11-01,78157,West Bengal,Uttar Dinajpur,Maize,35.0,1650.0,1725.0,1690.0,2009,11
327,2009-12-01,59797,West Bengal,Uttar Dinajpur,Maize,51.0,1600.0,1700.0,1650.0,2009,12
378,2010-01-01,117427,West Bengal,Uttar Dinajpur,Maize,45.0,2225.0,2275.0,2242.816890428117,2010,1
467,2010-02-01,123425,West Bengal,Uttar Dinajpur,Maize,37.5,2200.0,2250.0,2242.816890428117,2010,2
544,2010-03-01,129549,West Bengal,Uttar Dinajpur,Maize,35.0,2125.0,2150.0,2242.816890428117,2010,3
627,2010-04-01,136768,West Bengal,Uttar Dinajpur,Maize,15.0,2100.0,2150.0,2242.816890428117,2010,4
683,2010-05-01,143250,West Bengal,Uttar Dinajpur,Maize,20.0,2150.0,2200.0,2242.816890428117,2010,5
745,2010-06-01,150042,West Bengal,Uttar Dinajpur,Maize,32.0,2050.0,2150.0,2242.816890428117,2010,6
822,2010-07-01,156807,West Bengal,Uttar Dinajpur,Maize,31.0,2250.0,2400.0,2242.816890428117,2010,7
908,2010-08-01,163226,West Bengal,Uttar Dinajpur,Maize,8.0,2300.0,2400.0,2242.816890428117,2010,8
979,2010-09-01,170053,West Bengal,Uttar Dinajpur,Maize,35.0,2350.0,2400.0,2242.816890428117,2010,9
1052,2010-10-01,176967,West Bengal,Uttar Dinajpur,Maize,22.0,2420.0,2460.0,2242.816890428117,2010,10
1101,2010-11-01,183660,West Bengal,Uttar Dinajpur,Maize,18.0,2400.0,2450.0,2242.816890428117,2010,11
1177,2010-12-01,189938,West Bengal,Uttar Dinajpur,Maize,24.5,2450.0,2475.0,2242.816890428117,2010,12
1267,2011-01-01,196716,West Bengal,Uttar Dinajpur,Maize,21.5,2265.0,2500.0,2420.0,2011,1
1331,2011-02-01,196853,West Bengal,Uttar Dinajpur,Maize,21.5,2265.0,2500.0,2420.0,2011,2
1390,2011-03-01,197125,West Bengal,Uttar Dinajpur,Maize,21.5,2265.0,2500.0,2420.0,2011,3
1453,2011-04-01,197391,West Bengal,Uttar Dinajpur,Maize,21.5,2265.0,2500.0,2420.0,2011,4
1511,2011-05-01,197641,West Bengal,Uttar Dinajpur,Maize,21.5,2265.0,2500.0,2420.0,2011,5
1573,2011-06-01,197924,West Bengal,Uttar Dinajpur,Maize,21.5,2265.0,2500.0,2420.0,2011,6
1628,2011-07-01,198207,West Bengal,Uttar Dinajpur,Maize,21.2,2265.0,2500.0,2420.0,2011,7
1690,2011-08-01,198417,West Bengal,Uttar Dinajpur,Maize,21.2,2265.0,2500.0,2420.0,2011,8
1753,2011-09-01,198541,West Bengal,Uttar Dinajpur,Maize,21.2,2265.0,2500.0,2420.0,2011,9
