,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month,Min_price
0,2008-01-01,Andhra Pradesh,Krishna,Rice,100.0,1000.0,1587,1439,2008,1,1291
19,2008-02-01,Andhra Pradesh,Krishna,Rice,70.0,1000.0,1542,1394,2008,2,1246
20,2008-03-01,Andhra Pradesh,Krishna,Rice,40.0,1000.0,1623,1475,2008,3,1327
21,2008-04-01,Andhra Pradesh,Krishna,Rice,10.0,1000.0,1547,1399,2008,4,1251
24,2008-05-01,Andhra Pradesh,Krishna,Rice,10.0,1000.0,1587,1439,2008,5,1291
26,2008-06-01,Andhra Pradesh,Krishna,Rice,10.0,1000.0,1623,1475,2008,6,1327
28,2008-07-01,Andhra Pradesh,Krishna,Rice,10.0,1000.0,1573,1425,2008,7,1277
30,2008-08-01,Andhra Pradesh,Krishna,Rice,10.0,1750.0,1547,1399,2008,8,1251
31,2008-09-01,Andhra Pradesh,Krishna,Rice,10.0,1775.0,1573,1425,2008,9,1277
32,2008-10-01,Andhra Pradesh,Krishna,Rice,10.0,1800.0,1542,1394,2008,10,1246
38,2008-11-01,Andhra Pradesh,Krishna,Rice,10.0,1000.0,1587,1439,2008,11,1291
40,2008-12-01,Andhra Pradesh,Krishna,Rice,10.0,1000.0,1542,1394,2008,12,1246
41,2009-01-01,Andhra Pradesh,Krishna,Rice,2500.0,1600.0,1542,1394,2009,1,1246
46,2009-02-01,Andhra Pradesh,Krishna,Rice,0.1,2500.0,1497,1349,2009,2,1201
48,2009-03-01,Andhra Pradesh,Krishna,Rice,2500.0,1600.0,1578,1430,2009,3,1282
53,2009-04-01,Andhra Pradesh,Krishna,Rice,0.1,2500.0,1502,1354,2009,4,1206
55,2009-05-01,Andhra Pradesh,Krishna,Rice,0.1,2500.0,1542,1394,2009,5,1246
58,2009-06-01,Andhra Pradesh,Krishna,Rice,0.1,2500.0,1578,1430,2009,6,1282
61,2009-07-01,Andhra Pradesh,Krishna,Rice,0.1,2500.0,1528,1380,2009,7,1232
64,2009-08-01,Andhra Pradesh,Krishna,Rice,0.1,2500.0,1502,1354,2009,8,1206
67,2009-09-01,Andhra Pradesh,Krishna,Rice,5000.0,1600.0,1528,1380,2009,9,1232
104,2009-10-01,Andhra Pradesh,Krishna,Rice,0.1,2500.0,1497,1349,2009,10,1201
122,2009-11-01,Andhra Pradesh,Krishna,Rice,0.1,2500.0,1542,1394,2009,11,1246
142,2009-12-01,Andhra Pradesh,Krishna,Rice,0.1,2500.0,1497,1349,2009,12,1201
164,2010-01-01,Andhra Pradesh,Krishna,Rice,0.1,2500.0,1497,1349,2010,1,1201
195,2010-02-01,Andhra Pradesh,Krishna,Rice,0.1,2600.0,1578,1430,2010,2,1282
205,2010-03-01,Andhra Pradesh,Krishna,Rice,2.0,2350.0,1659,1511,2010,3,1363
206,2010-04-01,Andhra Pradesh,Krishna,Rice,1.8,2380.0,1583,1435,2010,4,1287
207,2010-05-01,Andhra Pradesh,Krishna,Rice,1.6,2410.0,1623,1475,2010,5,1327
208,2010-06-01,Andhra Pradesh,Krishna,Rice,1.4,2440.0,1659,1511,2010,6,1363
209,2010-07-01,Andhra Pradesh,Krishna,Rice,1.2,2470.0,1609,1461,2010,7,1313
210,2010-08-01,Andhra Pradesh,Krishna,Rice,1.0,2500.0,1583,1435,2010,8,1287
229,2010-09-01,Andhra Pradesh,Krishna,Rice,1.0,2500.0,1609,1461,2010,9,1313
363,2010-10-01,Andhra Pradesh,Krishna,Rice,1.0,1800.0,1578,1430,2010,10,1282
502,2010-11-01,Andhra Pradesh,Krishna,Rice,1.0,1900.0,1623,1475,2010,11,1327
597,2010-12-01,Andhra Pradesh,Krishna,Rice,1.0,1950.0,1578,1430,2010,12,1282
657,2011-01-01,Andhra Pradesh,Krishna,Rice,1.0,2000.0,1578,1430,2011,1,1282
737,2011-02-01,Andhra Pradesh,Krishna,Rice,1.0,2000.0,1502,1354,2011,2,1206
823,2011-03-01,Andhra Pradesh,Krishna,Rice,1.0,2000.0,1583,1435,2011,3,1287
917,2011-04-01,Andhra Pradesh,Krishna,Rice,1.0,2000.0,1507,1359,2011,4,1211
989,2011-05-01,Andhra Pradesh,Krishna,Rice,1.0,2000.0,1547,1399,2011,5,1251
1085,2011-06-01,Andhra Pradesh,Krishna,Rice,1.0,2000.0,1583,1435,2011,6,1287
