,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month,Min_price
0,2008-01-01,Andhra Pradesh,Vijayanagaram,Rice,6.2729729729729735,1050.0,1756,1608,2008,1,1460
1,2008-02-01,Andhra Pradesh,Vijayanagaram,Rice,6.2729729729729735,1050.0,1760,1612,2008,2,1464
2,2008-03-01,Andhra Pradesh,Vijayanagaram,Rice,6.2729729729729735,1050.0,1711,1563,2008,3,1415
3,2008-04-01,Andhra Pradesh,Vijayanagaram,Rice,6.2729729729729735,1050.0,1751,1603,2008,4,1455
4,2008-05-01,Andhra Pradesh,Vijayanagaram,Rice,6.2729729729729735,1050.0,1706,1558,2008,5,1410
5,2008-06-01,Andhra Pradesh,Vijayanagaram,Rice,6.2729729729729735,1400.0,1711,1563,2008,6,1415
6,2008-07-01,Andhra Pradesh,Vijayanagaram,Rice,6.2729729729729735,1850.0,1740,1592,2008,7,1444
7,2008-08-01,Andhra Pradesh,Vijayanagaram,Rice,6.2729729729729735,1050.0,1751,1603,2008,8,1455
8,2008-09-01,Andhra Pradesh,Vijayanagaram,Rice,6.2729729729729735,1850.0,1740,1592,2008,9,1444
9,2008-10-01,Andhra Pradesh,Vijayanagaram,Rice,0.2,1050.0,1760,1612,2008,10,1464
11,2008-11-01,Andhra Pradesh,Vijayanagaram,Rice,0.1888888888888889,1800.0,1706,1558,2008,11,1410
12,2008-12-01,Andhra Pradesh,Vijayanagaram,Rice,0.17777777777777778,1800.0,1760,1612,2008,12,1464
13,2009-01-01,Andhra Pradesh,Vijayanagaram,Rice,0.16666666666666669,1800.0,1760,1612,2009,1,1464
14,2009-02-01,Andhra Pradesh,Vijayanagaram,Rice,0.15555555555555556,1800.0,1764,1616,2009,2,1468
15,2009-03-01,Andhra Pradesh,Vijayanagaram,Rice,0.14444444444444446,1800.0,1715,1567,2009,3,1419
16,2009-04-01,Andhra Pradesh,Vijayanagaram,Rice,0.13333333333333336,1800.0,1755,1607,2009,4,1459
17,2009-05-01,Andhra Pradesh,Vijayanagaram,Rice,0.12222222222222223,1800.0,1710,1562,2009,5,1414
18,2009-06-01,Andhra Pradesh,Vijayanagaram,Rice,0.11111111111111112,1800.0,1715,1567,2009,6,1419
19,2009-07-01,Andhra Pradesh,Vijayanagaram,Rice,0.1,1800.0,1744,1596,2009,7,1448
21,2009-08-01,Andhra Pradesh,Vijayanagaram,Rice,0.1,1800.0,1755,1607,2009,8,1459
22,2009-09-01,Andhra Pradesh,Vijayanagaram,Rice,0.1,1800.0,1744,1596,2009,9,1448
24,2009-10-01,Andhra Pradesh,Vijayanagaram,Rice,0.1,1800.0,1764,1616,2009,10,1468
25,2009-11-01,Andhra Pradesh,Vijayanagaram,Rice,0.18181818181818182,1800.0,1710,1562,2009,11,1414
26,2009-12-01,Andhra Pradesh,Vijayanagaram,Rice,0.26363636363636367,1800.0,1764,1616,2009,12,1468
27,2010-01-01,Andhra Pradesh,Vijayanagaram,Rice,0.34545454545454546,1800.0,1764,1616,2010,1,1468
28,2010-02-01,Andhra Pradesh,Vijayanagaram,Rice,0.42727272727272725,1800.0,1715,1567,2010,2,1419
29,2010-03-01,Andhra Pradesh,Vijayanagaram,Rice,0.509090909090909,1800.0,1666,1518,2010,3,1370
30,2010-04-01,Andhra Pradesh,Vijayanagaram,Rice,0.5909090909090909,1800.0,1706,1558,2010,4,1410
31,2010-05-01,Andhra Pradesh,Vijayanagaram,Rice,0.6727272727272727,1800.0,1661,1513,2010,5,1365
32,2010-06-01,Andhra Pradesh,Vijayanagaram,Rice,0.7545454545454545,1800.0,1666,1518,2010,6,1370
33,2010-07-01,Andhra Pradesh,Vijayanagaram,Rice,0.8363636363636363,1800.0,1695,1547,2010,7,1399
34,2010-08-01,Andhra Pradesh,Vijayanagaram,Rice,0.9181818181818181,1800.0,1706,1558,2010,8,1410
35,2010-09-01,Andhra Pradesh,Vijayanagaram,Rice,1.0,1800.0,1695,1547,2010,9,1399
117,2010-10-01,Andhra Pradesh,Vijayanagaram,Rice,1.0,5805.0,1715,1567,2010,10,1419
227,2010-11-01,Andhra Pradesh,Vijayanagaram,Rice,1.0,,1661,1513,2010,11,1365
333,2010-12-01,Andhra Pradesh,Vijayanagaram,Rice,1.0,,1715,1567,2010,12,1419
395,2011-01-01,Andhra Pradesh,Vijayanagaram,Rice,1.0,,1715,1567,2011,1,1419
498,2011-02-01,Andhra Pradesh,Vijayanagaram,Rice,1.0,,1755,1607,2011,2,1459
589,2011-03-01,Andhra Pradesh,Vijayanagaram,Rice,1.0,,1706,1558,2011,3,1410
703,2011-04-01,Andhra Pradesh,Vijayanagaram,Rice,1.0,,1746,1598,2011,4,1450
798,2011-05-01,Andhra Pradesh,Vijayanagaram,Rice,1.0,,1701,1553,2011,5,1405
910,2011-06-01,Andhra Pradesh,Vijayanagaram,Rice,1.0,,1706,1558,2011,6,1410
1021,2011-07-01,Andhra Pradesh,Vijayanagaram,Rice,1.0,,1735,1587,2011,7,1439
1134,2011-08-01,Andhra Pradesh,Vijayanagaram,Rice,10.0,,1746,1598,2011,8,1450
1242,2011-09-01,Andhra Pradesh,Vijayanagaram,Rice,1.0,,1735,1587,2011,9,1439
1342,2011-10-01,Andhra Pradesh,Vijayanagaram,Rice,1.0,,1755,1607,2011,10,1459
1435,2011-11-01,Andhra Pradesh,Vijayanagaram,Rice,1.0,,1701,1553,2011,11,1405
1545,2011-12-01,Andhra Pradesh,Vijayanagaram,Rice,6.0,,1755,1607,2011,12,1459
1645,2012-01-01,Andhra Pradesh,Vijayanagaram,Rice,0.1,,1755,1607,2012,1,1459
1700,2012-02-01,Andhra Pradesh,Vijayanagaram,Rice,16.7,,1710,1562,2012,2,1414
1738,2012-03-01,Andhra Pradesh,Vijayanagaram,Rice,0.1,,1661,1513,2012,3,1365
1793,2012-04-01,Andhra Pradesh,Vijayanagaram,Rice,1.0,,1701,1553,2012,4,1405
1805,2012-05-01,Andhra Pradesh,Vijayanagaram,Rice,0.1,,1656,1508,2012,5,1360
1817,2012-06-01,Andhra Pradesh,Vijayanagaram,Rice,0.1,,1661,1513,2012,6,1365
1827,2012-07-01,Andhra Pradesh,Vijayanagaram,Rice,0.1,,1690,1542,2012,7,1394
1857,2012-08-01,Andhra Pradesh,Vijayanagaram,Rice,1.6,,1701,1553,2012,8,1405
1883,2012-09-01,Andhra Pradesh,Vijayanagaram,Rice,0.1,,1690,1542,2012,9,1394
1912,2012-10-01,Andhra Pradesh,Vijayanagaram,Rice,0.2,,1710,1562,2012,10,1414
1933,2012-11-01,Andhra Pradesh,Vijayanagaram,Rice,0.1,,1656,1508,2012,11,1360
1952,2012-12-01,Andhra Pradesh,Vijayanagaram,Rice,1.0,,1710,1562,2012,12,1414
1959,2013-01-01,Andhra Pradesh,Vijayanagaram,Rice,21.0,,1710,1562,2013,1,1414
1960,2013-02-01,Andhra Pradesh,Vijayanagaram,Rice,1.6,,1715,1567,2013,2,1419
1963,2013-03-01,Andhra Pradesh,Vijayanagaram,Rice,17.0,,1666,1518,2013,3,1370
1965,2013-04-01,Andhra Pradesh,Vijayanagaram,Rice,17.0,,1706,1558,2013,4,1410
1967,2013-05-01,Andhra Pradesh,Vijayanagaram,Rice,17.0,,1661,1513,2013,5,1365
1970,2013-06-01,Andhra Pradesh,Vijayanagaram,Rice,17.0,,1666,1518,2013,6,1370
1978,2013-07-01,Andhra Pradesh,Vijayanagaram,Rice,17.0,,1695,1547,2013,7,1399
1989,2013-08-01,Andhra Pradesh,Vijayanagaram,Rice,17.0,,1706,1558,2013,8,1410
2000,2013-09-01,Andhra Pradesh,Vijayanagaram,Rice,17.0,,1695,1547,2013,9,1399
2001,2013-10-01,Andhra Pradesh,Vijayanagaram,Rice,21.0,,1715,1567,2013,10,1419
2006,2013-11-01,Andhra Pradesh,Vijayanagaram,Rice,17.0,,1661,1513,2013,11,1365
2011,2013-12-01,Andhra Pradesh,Vijayanagaram,Rice,16.5,,1715,1567,2013,12,1419
2012,2014-01-01,Andhra Pradesh,Vijayanagaram,Rice,6.0,,1715,1567,2014,1,1419
2013,2014-02-01,Andhra Pradesh,Vijayanagaram,Rice,3.0,,1744,1596,2014,2,1448
2015,2014-03-01,Andhra Pradesh,Vijayanagaram,Rice,10.0,,1695,1547,2014,3,1399
2019,2014-04-01,Andhra Pradesh,Vijayanagaram,Rice,7.5,,1735,1587,2014,4,1439
2021,2014-05-01,Andhra Pradesh,Vijayanagaram,Rice,6.75,,1690,1542,2014,5,1394
2022,2014-06-01,Andhra Pradesh,Vijayanagaram,Rice,6.0,,1695,1547,2014,6,1399
2023,2014-07-01,Andhra Pradesh,Vijayanagaram,Rice,16.4,,1724,1576,2014,7,1428
2025,2014-08-01,Andhra Pradesh,Vijayanagaram,Rice,7.0,,1735,1587,2014,8,1439
2028,2014-09-01,Andhra Pradesh,Vijayanagaram,Rice,6.0,,1724,1576,2014,9,1428
2034,2014-10-01,Andhra Pradesh,Vijayanagaram,Rice,7.0,,1744,1596,2014,10,1448
2037,2014-11-01,Andhra Pradesh,Vijayanagaram,Rice,4.2,,1690,1542,2014,11,1394
2039,2014-12-01,Andhra Pradesh,Vijayanagaram,Rice,2.0,,1744,1596,2014,12,1448
2042,2015-01-01,Andhra Pradesh,Vijayanagaram,Rice,6.3,,1744,1596,2015,1,1448
2043,2015-02-01,Andhra Pradesh,Vijayanagaram,Rice,10.6,,1755,1607,2015,2,1459
2044,2015-03-01,Andhra Pradesh,Vijayanagaram,Rice,14.9,,1706,1558,2015,3,1410
2045,2015-04-01,Andhra Pradesh,Vijayanagaram,Rice,14.3,,1746,1598,2015,4,1450
2046,2015-05-01,Andhra Pradesh,Vijayanagaram,Rice,13.7,,1701,1553,2015,5,1405
2047,2015-06-01,Andhra Pradesh,Vijayanagaram,Rice,13.1,,1706,1558,2015,6,1410
2049,2015-07-01,Andhra Pradesh,Vijayanagaram,Rice,8.05,,1735,1587,2015,7,1439
2050,2015-08-01,Andhra Pradesh,Vijayanagaram,Rice,3.0,,1746,1598,2015,8,1450
2051,2015-09-01,Andhra Pradesh,Vijayanagaram,Rice,10.0,,1735,1587,2015,9,1439
2052,2015-10-01,Andhra Pradesh,Vijayanagaram,Rice,6.5,,1755,1607,2015,10,1459
2053,2015-11-01,Andhra Pradesh,Vijayanagaram,Rice,3.0,,1701,1553,2015,11,1405
2054,2015-12-01,Andhra Pradesh,Vijayanagaram,Rice,5.0,,1755,1607,2015,12,1459
2055,2016-01-01,Andhra Pradesh,Vijayanagaram,Rice,8.0,,1755,1607,2016,1,1459
2056,2016-02-01,Andhra Pradesh,Vijayanagaram,Rice,11.0,,1744,1596,2016,2,1448
2057,2016-03-01,Andhra Pradesh,Vijayanagaram,Rice,14.0,,1695,1547,2016,3,1399
2058,2016-04-01,Andhra Pradesh,Vijayanagaram,Rice,17.0,,1735,1587,2016,4,1439
2059,2016-05-01,Andhra Pradesh,Vijayanagaram,Rice,20.0,,1690,1542,2016,5,1394
2060,2016-06-01,Andhra Pradesh,Vijayanagaram,Rice,30.0,,1695,1547,2016,6,1399
2064,2016-07-01,Andhra Pradesh,Vijayanagaram,Rice,17.0,,1724,1576,2016,7,1428
2066,2016-08-01,Andhra Pradesh,Vijayanagaram,Rice,11.15,,1735,1587,2016,8,1439
2067,2016-09-01,Andhra Pradesh,Vijayanagaram,Rice,5.3,,1724,1576,2016,9,1428
2068,2016-10-01,Andhra Pradesh,Vijayanagaram,Rice,6.1,,1744,1596,2016,10,1448
