,Unnamed: 0,Date,Unnamed: 0.1,State,District,Market_Name,Type,Varity,Arrival,Min_Price,max_price,model price
0,0,2008-01-01,0,Karnataka,Bangalore,Ramanagara,Broken Rice,Rice,3.0,1200.0,2000.0,1500.0
1,1,2008-02-01,1,,,,,,,,,
2,2,2008-03-01,2,Karnataka,Bangalore,Ramanagara,Broken Rice,Rice,3.0,1200.0,1500.0,1400.0
3,3,2008-04-01,3,Karnataka,Bangalore,Ramanagara,Broken Rice,Rice,20.0,1300.0,2000.0,1600.0
4,4,2008-05-01,4,Karnataka,Bangalore,Ramanagara,Broken Rice,Rice,5.0,1350.0,2000.0,1700.0
5,5,2008-06-01,5,Karnataka,Bangalore,Doddaballa Pur,Other,Rice,3.0,1500.0,2200.0,2000.0
6,6,2008-07-01,6,Karnataka,Bangalore,Ramanagara,Broken Rice,Rice,3.0,1300.0,2000.0,1600.0
7,7,2008-08-01,7,Karnataka,Bangalore,Doddaballa Pur,Other,Rice,3.0,1500.0,2200.0,2000.0
8,8,2008-09-01,8,,,,,,,,,
9,9,2008-10-01,9,Karnataka,Bangalore,Ramanagara,Broken Rice,Rice,3.0,1600.0,2000.0,1700.0
10,10,2008-11-01,10,Karnataka,Bangalore,Ramanagara,Broken Rice,Rice,5.0,1300.0,2000.0,1500.0
11,11,2008-12-01,11,,,,,,,,,
12,12,2009-01-01,12,Karnataka,Bangalore,Doddaballa Pur,Other,Rice,1.0,1500.0,2200.0,2000.0
13,13,2009-02-01,13,Karnataka,Bangalore,Doddaballa Pur,Other,Rice,2.0,1500.0,2200.0,2000.0
14,14,2009-03-01,14,Karnataka,Bangalore,Doddaballa Pur,Other,Rice,22.0,1500.0,2200.0,2000.0
15,15,2009-04-01,15,Karnataka,Bangalore,Doddaballa Pur,Broken Rice,Rice,7.0,700.0,800.0,750.0
16,16,2009-05-01,16,Karnataka,Bangalore,Channapatana,Medium,Rice,1.0,2000.0,2000.0,2000.0
17,17,2009-06-01,17,Karnataka,Bangalore,Channapatana,Medium,Rice,1.0,2000.0,2000.0,2000.0
18,18,2009-07-01,18,Karnataka,Bangalore,Doddaballa Pur,Other,Rice,11.0,1500.0,2200.0,2000.0
19,19,2009-08-01,19,,,,,,,,,
20,20,2009-09-01,20,Karnataka,Bangalore,Doddaballa Pur,Other,Rice,1.0,1500.0,2200.0,2000.0
21,21,2009-10-01,21,,,,,,,,,
22,22,2009-11-01,22,Karnataka,Bangalore,Doddaballa Pur,Broken Rice,Rice,19.0,700.0,800.0,750.0
23,23,2009-12-01,23,,,,,,,,,
24,24,2010-01-01,24,,,,,,,,,
25,25,2010-02-01,25,,,,,,,,,
26,26,2010-03-01,26,,,,,,,,,
27,27,2010-04-01,27,,,,,,,,,
28,28,2010-05-01,28,,,,,,,,,
29,29,2010-06-01,29,,,,,,,,,
30,30,2010-07-01,30,,,,,,,,,
31,31,2010-08-01,31,,,,,,,,,
32,32,2010-09-01,32,,,,,,,,,
33,33,2010-10-01,33,,,,,,,,,
34,34,2010-11-01,34,,,,,,,,,
35,35,2010-12-01,35,,,,,,,,,
36,36,2011-01-01,36,Karnataka,Bangalore,Doddaballa Pur,Other,Rice,17.0,2000.0,2800.0,2600.0
37,37,2011-02-01,37,Karnataka,Bangalore,Doddaballa Pur,Other,Rice,7.0,2500.0,2800.0,2700.0
38,38,2011-03-01,38,,,,,,,,,
39,39,2011-04-01,39,,,,,,,,,
40,40,2011-05-01,40,,,,,,,,,
41,41,2011-06-01,41,,,,,,,,,
42,42,2011-07-01,42,,,,,,,,,
