,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Assam,Bangaigaon,Maize,5.5600000000000005,922.6666666666666,1012.3333333333334,960.3333333333334,2008,1
1,2008-02-01,,Assam,Bangaigaon,Maize,5.5600000000000005,922.6666666666666,1012.3333333333334,960.3333333333334,2008,2
2,2008-03-01,23173.0,Assam,Bangaigaon,Maize,9.0,900.0,1000.0,980.0,2008,3
5,2008-04-01,27616.0,Assam,Bangaigaon,Maize,3.0,900.0,1000.0,950.0,2008,4
9,2008-05-01,40247.0,Assam,Bangaigaon,Maize,13.0,940.0,965.0,950.0,2008,5
15,2008-06-01,49163.0,Assam,Bangaigaon,Maize,0.5,900.0,1000.0,950.0,2008,6
20,2008-07-01,57433.0,Assam,Bangaigaon,Maize,35.0,1000.0,1050.0,1000.0,2008,7
29,2008-08-01,66223.0,Assam,Bangaigaon,Maize,0.2,900.0,950.0,900.0,2008,8
33,2008-09-01,,Assam,Bangaigaon,Maize,5.5600000000000005,922.6666666666666,1012.3333333333334,960.3333333333334,2008,9
34,2008-10-01,,Assam,Bangaigaon,Maize,5.5600000000000005,922.6666666666666,1012.3333333333334,960.3333333333334,2008,10
35,2008-11-01,88349.0,Assam,Bangaigaon,Maize,0.3,850.0,900.0,875.0,2008,11
36,2008-12-01,,Assam,Bangaigaon,Maize,5.5600000000000005,922.6666666666666,1012.3333333333334,960.3333333333334,2008,12
37,2009-01-01,,Assam,Bangaigaon,Maize,5.5600000000000005,922.6666666666666,1012.3333333333334,960.3333333333334,2009,1
38,2009-02-01,,Assam,Bangaigaon,Maize,5.5600000000000005,922.6666666666666,1012.3333333333334,960.3333333333334,2009,2
39,2009-03-01,121595.0,Assam,Bangaigaon,Maize,3.0,950.0,1000.0,950.0,2009,3
40,2009-04-01,122543.0,Assam,Bangaigaon,Maize,5.0,900.0,1020.0,950.0,2009,4
46,2009-05-01,134822.0,Assam,Bangaigaon,Maize,4.0,900.0,1100.0,1000.0,2009,5
56,2009-06-01,142431.0,Assam,Bangaigaon,Maize,0.5,900.0,1100.0,1000.0,2009,6
62,2009-07-01,150244.0,Assam,Bangaigaon,Maize,1.2,950.0,1000.0,950.0,2009,7
63,2009-08-01,,Assam,Bangaigaon,Maize,5.5600000000000005,922.6666666666666,1012.3333333333334,960.3333333333334,2009,8
64,2009-09-01,,Assam,Bangaigaon,Maize,5.5600000000000005,922.6666666666666,1012.3333333333334,960.3333333333334,2009,9
65,2009-10-01,,Assam,Bangaigaon,Maize,5.5600000000000005,922.6666666666666,1012.3333333333334,960.3333333333334,2009,10
66,2009-11-01,,Assam,Bangaigaon,Maize,5.5600000000000005,922.6666666666666,1012.3333333333334,960.3333333333334,2009,11
67,2009-12-01,,Assam,Bangaigaon,Maize,5.5600000000000005,922.6666666666666,1012.3333333333334,960.3333333333334,2009,12
68,2010-01-01,,Assam,Bangaigaon,Maize,5.5600000000000005,922.6666666666666,1012.3333333333334,960.3333333333334,2010,1
69,2010-02-01,,Assam,Bangaigaon,Maize,5.5600000000000005,922.6666666666666,1012.3333333333334,960.3333333333334,2010,2
