,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Assam,Darrang,Maize,8.17837837837838,1146.081081081081,1239.3243243243244,1197.837837837838,2008,1
1,2008-02-01,,Assam,Darrang,Maize,8.17837837837838,1146.081081081081,1239.3243243243244,1197.837837837838,2008,2
2,2008-03-01,,Assam,Darrang,Maize,8.17837837837838,1146.081081081081,1239.3243243243244,1197.837837837838,2008,3
3,2008-04-01,,Assam,Darrang,Maize,8.17837837837838,1146.081081081081,1239.3243243243244,1197.837837837838,2008,4
4,2008-05-01,38851.0,Assam,Darrang,Maize,15.0,900.0,950.0,925.0,2008,5
16,2008-06-01,48523.0,Assam,Darrang,Maize,4.5,950.0,1050.0,1000.0,2008,6
25,2008-07-01,,Assam,Darrang,Maize,8.17837837837838,1146.081081081081,1239.3243243243244,1197.837837837838,2008,7
26,2008-08-01,66783.0,Assam,Darrang,Maize,2.5,900.0,1000.0,950.0,2008,8
27,2008-09-01,,Assam,Darrang,Maize,8.17837837837838,1146.081081081081,1239.3243243243244,1197.837837837838,2008,9
28,2008-10-01,,Assam,Darrang,Maize,8.17837837837838,1146.081081081081,1239.3243243243244,1197.837837837838,2008,10
29,2008-11-01,,Assam,Darrang,Maize,8.17837837837838,1146.081081081081,1239.3243243243244,1197.837837837838,2008,11
30,2008-12-01,,Assam,Darrang,Maize,8.17837837837838,1146.081081081081,1239.3243243243244,1197.837837837838,2008,12
31,2009-01-01,,Assam,Darrang,Maize,8.17837837837838,1146.081081081081,1239.3243243243244,1197.837837837838,2009,1
32,2009-02-01,,Assam,Darrang,Maize,8.17837837837838,1146.081081081081,1239.3243243243244,1197.837837837838,2009,2
33,2009-03-01,116288.0,Assam,Darrang,Maize,0.9,700.0,800.0,750.0,2009,3
40,2009-04-01,122544.0,Assam,Darrang,Maize,30.0,1000.0,1050.0,1025.0,2009,4
44,2009-05-01,,Assam,Darrang,Maize,8.17837837837838,1146.081081081081,1239.3243243243244,1197.837837837838,2009,5
45,2009-06-01,142976.0,Assam,Darrang,Maize,30.0,1000.0,1050.0,1025.0,2009,6
47,2009-07-01,,Assam,Darrang,Maize,8.17837837837838,1146.081081081081,1239.3243243243244,1197.837837837838,2009,7
48,2009-08-01,,Assam,Darrang,Maize,8.17837837837838,1146.081081081081,1239.3243243243244,1197.837837837838,2009,8
49,2009-09-01,,Assam,Darrang,Maize,8.17837837837838,1146.081081081081,1239.3243243243244,1197.837837837838,2009,9
50,2009-10-01,,Assam,Darrang,Maize,8.17837837837838,1146.081081081081,1239.3243243243244,1197.837837837838,2009,10
51,2009-11-01,,Assam,Darrang,Maize,8.17837837837838,1146.081081081081,1239.3243243243244,1197.837837837838,2009,11
52,2009-12-01,,Assam,Darrang,Maize,8.17837837837838,1146.081081081081,1239.3243243243244,1197.837837837838,2009,12
53,2010-01-01,,Assam,Darrang,Maize,8.17837837837838,1146.081081081081,1239.3243243243244,1197.837837837838,2010,1
54,2010-02-01,,Assam,Darrang,Maize,8.17837837837838,1146.081081081081,1239.3243243243244,1197.837837837838,2010,2
55,2010-03-01,226188.0,Assam,Darrang,Maize,8.0,980.0,1050.0,1000.0,2010,3
59,2010-04-01,235009.0,Assam,Darrang,Maize,4.0,1000.0,1050.0,1025.0,2010,4
64,2010-05-01,245285.0,Assam,Darrang,Maize,7.5,1050.0,1200.0,1100.0,2010,5
71,2010-06-01,258286.0,Assam,Darrang,Maize,0.6,950.0,1000.0,990.0,2010,6
76,2010-07-01,269706.0,Assam,Darrang,Maize,0.6,1050.0,1100.0,1090.0,2010,7
79,2010-08-01,,Assam,Darrang,Maize,8.17837837837838,1146.081081081081,1239.3243243243244,1197.837837837838,2010,8
80,2010-09-01,,Assam,Darrang,Maize,8.17837837837838,1146.081081081081,1239.3243243243244,1197.837837837838,2010,9
81,2010-10-01,298685.0,Assam,Darrang,Maize,20.0,1100.0,1200.0,1150.0,2010,10
82,2010-11-01,,Assam,Darrang,Maize,8.17837837837838,1146.081081081081,1239.3243243243244,1197.837837837838,2010,11
83,2010-12-01,,Assam,Darrang,Maize,8.17837837837838,1146.081081081081,1239.3243243243244,1197.837837837838,2010,12
84,2011-01-01,,Assam,Darrang,Maize,8.17837837837838,1146.081081081081,1239.3243243243244,1197.837837837838,2011,1
