,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2008,1
1,2008-02-01,12100.0,Assam,Jorhat,Maize,0.1,550.0,600.0,580.0,2008,2
3,2008-03-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2008,3
4,2008-04-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2008,4
5,2008-05-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2008,5
6,2008-06-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2008,6
7,2008-07-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2008,7
8,2008-08-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2008,8
9,2008-09-01,78639.0,Assam,Jorhat,Maize,15.0,1250.0,1350.0,1300.0,2008,9
10,2008-10-01,85041.0,Assam,Jorhat,Maize,18.0,1300.0,1600.0,1500.0,2008,10
11,2008-11-01,89535.0,Assam,Jorhat,Maize,15.0,1300.0,1600.0,1500.0,2008,11
16,2008-12-01,97776.0,Assam,Jorhat,Maize,15.0,1150.0,1400.0,1300.0,2008,12
17,2009-01-01,101032.0,Assam,Jorhat,Maize,13.0,1300.0,1500.0,1400.0,2009,1
18,2009-02-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2009,2
19,2009-03-01,122120.0,Assam,Jorhat,Maize,15.0,1350.0,1600.0,1500.0,2009,3
21,2009-04-01,122833.0,Assam,Jorhat,Maize,15.0,1350.0,1600.0,1500.0,2009,4
22,2009-05-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2009,5
23,2009-06-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2009,6
24,2009-07-01,152877.0,Assam,Jorhat,Maize,16.0,1350.0,1600.0,1500.0,2009,7
30,2009-08-01,157676.0,Assam,Jorhat,Maize,16.0,1000.0,1200.0,1100.0,2009,8
41,2009-09-01,165440.0,Assam,Jorhat,Maize,18.0,1450.0,1700.0,1600.0,2009,9
44,2009-10-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2009,10
45,2009-11-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2009,11
46,2009-12-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2009,12
47,2010-01-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2010,1
48,2010-02-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2010,2
49,2010-03-01,228310.0,Assam,Jorhat,Maize,22.0,1320.0,1500.0,1390.0,2010,3
53,2010-04-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2010,4
54,2010-05-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2010,5
55,2010-06-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2010,6
56,2010-07-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2010,7
57,2010-08-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2010,8
58,2010-09-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2010,9
59,2010-10-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2010,10
60,2010-11-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2010,11
61,2010-12-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2010,12
62,2011-01-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2011,1
63,2011-02-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2011,2
64,2011-03-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2011,3
65,2011-04-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2011,4
66,2011-05-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2011,5
67,2011-06-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2011,6
68,2011-07-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2011,7
69,2011-08-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2011,8
70,2011-09-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2011,9
71,2011-10-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2011,10
72,2011-11-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2011,11
73,2011-12-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2011,12
74,2012-01-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2012,1
75,2012-02-01,,Assam,Jorhat,Maize,16.950000000000003,1301.111111111111,1513.888888888889,1415.0,2012,2
76,2012-03-01,475970.0,Assam,Jorhat,Maize,13.0,1350.0,1600.0,1500.0,2012,3
