,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,1162.0,Chattisgarh,Bilaspur,Maize,0.3,1100.0,1100.0,1100.0,2008,1
4,2008-02-01,13198.0,Chattisgarh,Bilaspur,Maize,0.2,1021.0,1021.0,1021.0,2008,2
5,2008-03-01,19427.0,Chattisgarh,Bilaspur,Maize,0.2,1203.0,1203.0,1203.0,2008,3
11,2008-04-01,25827.0,Chattisgarh,Bilaspur,Maize,0.8,1011.0,1045.0,1030.0,2008,4
35,2008-05-01,36681.0,Chattisgarh,Bilaspur,Maize,78.0,1009.0,1030.0,1018.0,2008,5
69,2008-06-01,48525.0,Chattisgarh,Bilaspur,Maize,2.6,950.0,1005.0,980.0,2008,6
96,2008-07-01,57064.0,Chattisgarh,Bilaspur,Maize,1.0,1061.0,1071.0,1065.0,2008,7
129,2008-08-01,65911.0,Chattisgarh,Bilaspur,Maize,0.9,1049.0,1051.0,1049.0,2008,8
157,2008-09-01,71966.0,Chattisgarh,Bilaspur,Maize,1.7,1000.0,1014.0,1006.0,2008,9
185,2008-10-01,78840.0,Chattisgarh,Bilaspur,Maize,0.9,961.0,1017.0,1000.0,2008,10
209,2008-11-01,85839.0,Chattisgarh,Bilaspur,Maize,0.1,850.0,850.0,850.0,2008,11
225,2008-12-01,92314.0,Chattisgarh,Bilaspur,Maize,0.6,1017.0,1035.0,1026.0,2008,12
248,2009-01-01,99797.0,Chattisgarh,Bilaspur,Maize,0.3,1080.0,1131.0,1118.0,2009,1
263,2009-02-01,108081.0,Chattisgarh,Bilaspur,Maize,0.3,1132.0,1132.0,1132.0,2009,2
268,2009-03-01,116289.0,Chattisgarh,Bilaspur,Maize,0.1,1126.0,1126.0,1126.0,2009,3
289,2009-04-01,122545.0,Chattisgarh,Bilaspur,Maize,3.5,903.0,986.0,946.0,2009,4
328,2009-05-01,133940.0,Chattisgarh,Bilaspur,Maize,10.7,1034.0,1034.0,1034.0,2009,5
378,2009-06-01,142432.0,Chattisgarh,Bilaspur,Maize,4.2,975.0,1045.0,1010.0,2009,6
427,2009-07-01,149705.0,Chattisgarh,Bilaspur,Maize,45.7,1035.0,1045.0,1045.0,2009,7
484,2009-08-01,157366.0,Chattisgarh,Bilaspur,Maize,16.1,1089.0,1089.0,1089.0,2009,8
527,2009-09-01,165090.0,Chattisgarh,Bilaspur,Maize,1.5,1082.0,1300.0,1190.0,2009,9
569,2009-10-01,174076.0,Chattisgarh,Bilaspur,Maize,2.0,1118.0,1175.0,1150.0,2009,10
609,2009-11-01,183661.0,Chattisgarh,Bilaspur,Maize,18.9,1272.0,1272.0,1272.0,2009,11
647,2009-12-01,193052.0,Chattisgarh,Bilaspur,Maize,29.1,1330.0,1330.0,1330.0,2009,12
682,2010-01-01,202578.0,Chattisgarh,Bilaspur,Maize,0.3,1326.0,1326.0,1326.0,2010,1
701,2010-02-01,211453.0,Chattisgarh,Bilaspur,Maize,0.3,1321.0,1321.0,1321.0,2010,2
718,2010-03-01,221381.0,Chattisgarh,Bilaspur,Maize,14.0,1245.0,1259.0,1259.0,2010,3
745,2010-04-01,230523.0,Chattisgarh,Bilaspur,Maize,13.5,1110.0,1110.0,1110.0,2010,4
797,2010-05-01,244710.0,Chattisgarh,Bilaspur,Maize,56.4,1062.0,1079.0,1079.0,2010,5
854,2010-06-01,256142.0,Chattisgarh,Bilaspur,Maize,10.9,1000.0,1302.0,1100.0,2010,6
906,2010-07-01,266374.0,Chattisgarh,Bilaspur,Maize,26.7,1660.0,1665.0,1660.0,2010,7
966,2010-08-01,276462.0,Chattisgarh,Bilaspur,Maize,79.9,1164.0,1202.0,1200.0,2010,8
1022,2010-09-01,286297.0,Chattisgarh,Bilaspur,Maize,4.9,1160.0,1200.0,1180.0,2010,9
1074,2010-10-01,295564.0,Chattisgarh,Bilaspur,Maize,2.5,1123.0,1155.0,1140.0,2010,10
1119,2010-11-01,306081.0,Chattisgarh,Bilaspur,Maize,188.1,1210.0,1240.0,1235.0,2010,11
1156,2010-12-01,314238.0,Chattisgarh,Bilaspur,Maize,2.2,1190.0,1346.0,1220.0,2010,12
1194,2011-01-01,323831.0,Chattisgarh,Bilaspur,Maize,0.7,1170.0,1240.0,1210.0,2011,1
1225,2011-02-01,333619.0,Chattisgarh,Bilaspur,Maize,1.6,1236.0,1270.0,1255.0,2011,2
1256,2011-03-01,342970.0,Chattisgarh,Bilaspur,Maize,1.2,1111.0,1233.0,1220.0,2011,3
1287,2011-04-01,352951.0,Chattisgarh,Bilaspur,Maize,3.3,990.0,1036.0,1010.0,2011,4
1313,2011-05-01,365677.0,Chattisgarh,Bilaspur,Maize,21.4,1000.0,1049.0,1030.0,2011,5
1342,2011-06-01,378569.0,Chattisgarh,Bilaspur,Maize,9.4,1042.0,1131.0,1076.0,2011,6
1374,2011-07-01,389713.0,Chattisgarh,Bilaspur,Maize,7.3,1051.0,1071.0,1063.0,2011,7
1403,2011-08-01,400858.0,Chattisgarh,Bilaspur,Maize,0.4,1082.0,1086.0,1082.0,2011,8
1432,2011-09-01,410775.0,Chattisgarh,Bilaspur,Maize,6.0,1100.0,1120.0,1120.0,2011,9
1463,2011-10-01,421265.0,Chattisgarh,Bilaspur,Maize,8.1,1000.0,1056.0,1040.0,2011,10
1489,2011-11-01,430313.0,Chattisgarh,Bilaspur,Maize,3.3,1017.0,1058.0,1040.0,2011,11
1535,2011-12-01,440892.0,Chattisgarh,Bilaspur,Maize,1.1,1000.0,1045.0,1020.0,2011,12
1583,2012-01-01,451148.0,Chattisgarh,Bilaspur,Maize,10.4,1145.0,1175.0,1145.0,2012,1
1628,2012-02-01,460035.0,Chattisgarh,Bilaspur,Maize,19.2,1210.0,1218.0,1218.0,2012,2
1666,2012-03-01,468160.0,Chattisgarh,Bilaspur,Maize,12.6,1215.0,1230.0,1215.0,2012,3
1712,2012-04-01,477523.0,Chattisgarh,Bilaspur,Maize,65.2,1150.0,1195.0,1155.0,2012,4
1760,2012-05-01,489692.0,Chattisgarh,Bilaspur,Maize,14.6,1040.0,1151.0,1060.0,2012,5
1819,2012-06-01,503863.0,Chattisgarh,Bilaspur,Maize,7.1,1140.0,1140.0,1140.0,2012,6
1872,2012-07-01,515216.0,Chattisgarh,Bilaspur,Maize,76.1,1160.0,1195.0,1175.0,2012,7
1921,2012-08-01,526588.0,Chattisgarh,Bilaspur,Maize,30.3,1320.0,1370.0,1350.0,2012,8
1969,2012-09-01,537008.0,Chattisgarh,Bilaspur,Maize,19.3,1360.0,1560.0,1560.0,2012,9
2019,2012-10-01,548161.0,Chattisgarh,Bilaspur,Maize,5.5,1375.0,1375.0,1375.0,2012,10
2066,2012-11-01,559456.0,Chattisgarh,Bilaspur,Maize,14.4,1500.0,1505.0,1505.0,2012,11
2103,2012-12-01,568572.0,Chattisgarh,Bilaspur,Maize,19.9,1445.0,1570.0,1445.0,2012,12
2140,2013-01-01,578732.0,Chattisgarh,Bilaspur,Maize,1.2,1480.0,1480.0,1480.0,2013,1
2174,2013-02-01,588684.0,Chattisgarh,Bilaspur,Maize,0.6,1600.0,1600.0,1600.0,2013,2
2208,2013-03-01,597258.0,Chattisgarh,Bilaspur,Maize,2.3,1400.0,1525.0,1501.0,2013,3
2241,2013-04-01,606740.0,Chattisgarh,Bilaspur,Maize,29.7,1456.0,1456.0,1456.0,2013,4
2300,2013-05-01,620049.0,Chattisgarh,Bilaspur,Maize,10.1,1310.0,1426.0,1330.0,2013,5
2358,2013-06-01,633431.0,Chattisgarh,Bilaspur,Maize,10.9,1417.0,1496.0,1417.0,2013,6
2413,2013-07-01,644754.0,Chattisgarh,Bilaspur,Maize,7.4,1431.0,1554.0,1460.0,2013,7
2474,2013-08-01,656004.0,Chattisgarh,Bilaspur,Maize,29.2,1487.0,1508.0,1500.0,2013,8
2522,2013-09-01,665386.0,Chattisgarh,Bilaspur,Maize,8.3,1470.0,1500.0,1490.0,2013,9
2578,2013-10-01,675638.0,Chattisgarh,Bilaspur,Maize,9.0,1350.0,1350.0,1350.0,2013,10
2632,2013-11-01,685837.0,Chattisgarh,Bilaspur,Maize,13.5,1620.0,1637.0,1621.0,2013,11
2678,2013-12-01,694440.0,Chattisgarh,Bilaspur,Maize,24.8,1652.0,1657.0,1656.0,2013,12
2728,2014-01-01,702837.0,Chattisgarh,Bilaspur,Maize,25.0,1676.0,1676.0,1676.0,2014,1
2776,2014-02-01,713195.0,Chattisgarh,Bilaspur,Maize,2.7,1686.0,1686.0,1686.0,2014,2
2819,2014-03-01,722235.0,Chattisgarh,Bilaspur,Maize,0.6,1661.0,1671.0,1661.0,2014,3
2860,2014-04-01,731566.0,Chattisgarh,Bilaspur,Maize,111.7,1556.0,1582.0,1581.0,2014,4
2902,2014-05-01,743968.0,Chattisgarh,Bilaspur,Maize,16.6,1511.0,1536.0,1524.0,2014,5
2950,2014-06-01,757973.0,Chattisgarh,Bilaspur,Maize,1.7,1411.0,1437.0,1425.0,2014,6
2995,2014-07-01,769116.0,Chattisgarh,Bilaspur,Maize,0.4,1400.0,1400.0,1400.0,2014,7
3052,2014-08-01,780675.0,Chattisgarh,Bilaspur,Maize,8.3,1531.0,1531.0,1531.0,2014,8
3101,2014-09-01,791122.0,Chattisgarh,Bilaspur,Maize,51.6,1527.0,1532.0,1528.0,2014,9
3170,2014-10-01,802644.0,Chattisgarh,Bilaspur,Maize,40.2,1531.0,1541.0,1536.0,2014,10
3221,2014-11-01,812677.0,Chattisgarh,Bilaspur,Maize,0.5,1400.0,1400.0,1400.0,2014,11
3275,2014-12-01,823227.0,Chattisgarh,Bilaspur,Maize,59.3,1543.0,1568.0,1567.0,2014,12
3332,2015-01-01,835133.0,Chattisgarh,Bilaspur,Maize,42.1,1653.0,1665.0,1653.0,2015,1
3378,2015-02-01,846832.0,Chattisgarh,Bilaspur,Maize,4.0,1636.0,1636.0,1636.0,2015,2
3410,2015-03-01,857568.0,Chattisgarh,Bilaspur,Maize,21.4,1545.0,1560.0,1555.0,2015,3
3439,2015-04-01,867936.0,Chattisgarh,Bilaspur,Maize,5.0,1450.0,1450.0,1450.0,2015,4
3483,2015-05-01,880918.0,Chattisgarh,Bilaspur,Maize,10.0,1450.0,1450.0,1450.0,2015,5
3529,2015-06-01,895082.0,Chattisgarh,Bilaspur,Maize,1.2,1325.0,1335.0,1325.0,2015,6
3569,2015-07-01,907951.0,Chattisgarh,Bilaspur,Maize,4.0,1500.0,1500.0,1500.0,2015,7
3618,2015-08-01,920230.0,Chattisgarh,Bilaspur,Maize,4.2,1475.0,1488.0,1480.0,2015,8
3673,2015-09-01,931634.0,Chattisgarh,Bilaspur,Maize,10.5,1521.0,1521.0,1521.0,2015,9
3718,2015-10-01,943400.0,Chattisgarh,Bilaspur,Maize,2.4,1480.0,1519.0,1500.0,2015,10
3749,2015-11-01,955275.0,Chattisgarh,Bilaspur,Maize,4.2,1691.0,1700.0,1691.0,2015,11
3773,2015-12-01,965123.0,Chattisgarh,Bilaspur,Maize,0.5,1646.0,1646.0,1646.0,2015,12
3801,2016-01-01,976624.0,Chattisgarh,Bilaspur,Maize,1.4,1780.0,1780.0,1780.0,2016,1
3819,2016-02-01,986884.0,Chattisgarh,Bilaspur,Maize,0.3,1560.0,1560.0,1560.0,2016,2
3830,2016-03-01,996366.0,Chattisgarh,Bilaspur,Maize,4.0,1500.0,1500.0,1500.0,2016,3
3862,2016-04-01,1006877.0,Chattisgarh,Bilaspur,Maize,3.5,1460.0,1530.0,1500.0,2016,4
3893,2016-05-01,1020642.0,Chattisgarh,Bilaspur,Maize,9.8,1586.0,1586.0,1586.0,2016,5
3945,2016-06-01,1035087.0,Chattisgarh,Bilaspur,Maize,3.1,1600.0,1700.0,1650.0,2016,6
3991,2016-07-01,1048743.0,Chattisgarh,Bilaspur,Maize,1.0,1726.0,1726.0,1726.0,2016,7
4035,2016-08-01,1059904.0,Chattisgarh,Bilaspur,Maize,4.8,1650.0,1790.0,1730.0,2016,8
4069,2016-09-01,1070568.0,Chattisgarh,Bilaspur,Maize,0.3,1780.0,1780.0,1780.0,2016,9
4098,2016-10-01,1081371.0,Chattisgarh,Bilaspur,Maize,14.8,1766.0,1766.0,1766.0,2016,10
4126,2016-11-01,1091623.0,Chattisgarh,Bilaspur,Maize,1.1,1790.0,1870.0,1850.0,2016,11
4135,2016-12-01,1101129.0,Chattisgarh,Bilaspur,Maize,0.1,2060.0,2060.0,2060.0,2016,12
4146,2017-01-01,1112884.0,Chattisgarh,Bilaspur,Maize,0.1,1900.0,1900.0,1900.0,2017,1
4151,2017-02-01,1123111.0,Chattisgarh,Bilaspur,Maize,4.5,1545.0,1555.0,1550.0,2017,2
4158,2017-03-01,1132505.0,Chattisgarh,Bilaspur,Maize,6.5,1470.0,1530.0,1500.0,2017,3
4181,2017-04-01,1145263.0,Chattisgarh,Bilaspur,Maize,2.8,1500.0,1560.0,1520.0,2017,4
4201,2017-05-01,1159533.0,Chattisgarh,Bilaspur,Maize,3.4,1440.0,1570.0,1550.0,2017,5
4227,2017-06-01,1174385.0,Chattisgarh,Bilaspur,Maize,5.5,1622.0,1625.0,1625.0,2017,6
4245,2017-07-01,,Chattisgarh,Bilaspur,Maize,14.209649122807017,1333.780701754386,1368.4035087719299,1351.2719298245613,2017,7
4246,2017-08-01,,Chattisgarh,Bilaspur,Maize,14.209649122807017,1333.780701754386,1368.4035087719299,1351.2719298245613,2017,8
4247,2017-09-01,,Chattisgarh,Bilaspur,Maize,14.209649122807017,1333.780701754386,1368.4035087719299,1351.2719298245613,2017,9
4248,2017-10-01,,Chattisgarh,Bilaspur,Maize,14.209649122807017,1333.780701754386,1368.4035087719299,1351.2719298245613,2017,10
4249,2017-11-01,,Chattisgarh,Bilaspur,Maize,14.209649122807017,1333.780701754386,1368.4035087719299,1351.2719298245613,2017,11
4250,2017-12-01,,Chattisgarh,Bilaspur,Maize,14.209649122807017,1333.780701754386,1368.4035087719299,1351.2719298245613,2017,12
