,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,3821.0,Chattisgarh,Durg,Maize,3.0,930.0,930.0,930.0,2008,1
5,2008-02-01,9434.0,Chattisgarh,Durg,Maize,0.2,851.0,851.0,851.0,2008,2
9,2008-03-01,16700.0,Chattisgarh,Durg,Maize,3.0,1200.0,1200.0,1200.0,2008,3
14,2008-04-01,26169.0,Chattisgarh,Durg,Maize,22.5,1005.0,1200.0,1005.0,2008,4
23,2008-05-01,37130.0,Chattisgarh,Durg,Maize,27.6,1000.0,1006.0,1000.0,2008,5
37,2008-06-01,48453.0,Chattisgarh,Durg,Maize,42.0,1010.0,1010.0,1010.0,2008,6
46,2008-07-01,60290.0,Chattisgarh,Durg,Maize,4.0,1200.0,1200.0,1200.0,2008,7
47,2008-08-01,66228.0,Chattisgarh,Durg,Maize,14.0,1005.0,1005.0,1005.0,2008,8
50,2008-09-01,,Chattisgarh,Durg,Maize,39.779553571428586,1323.2767857142858,1347.1607142857142,1333.7767857142858,2008,9
51,2008-10-01,82664.0,Chattisgarh,Durg,Maize,70.0,1100.0,1100.0,1100.0,2008,10
52,2008-11-01,87002.0,Chattisgarh,Durg,Maize,10.0,1100.0,1100.0,1100.0,2008,11
53,2008-12-01,93207.0,Chattisgarh,Durg,Maize,14.2,1025.0,1025.0,1025.0,2008,12
56,2009-01-01,102040.0,Chattisgarh,Durg,Maize,6.5,1200.0,1200.0,1200.0,2009,1
57,2009-02-01,110970.0,Chattisgarh,Durg,Maize,6.0,1250.0,1250.0,1250.0,2009,2
58,2009-03-01,118263.0,Chattisgarh,Durg,Maize,15.0,1055.0,1055.0,1055.0,2009,3
71,2009-04-01,122836.0,Chattisgarh,Durg,Maize,53.8,1060.0,1090.0,1090.0,2009,4
86,2009-05-01,133942.0,Chattisgarh,Durg,Maize,15.0,1000.0,1000.0,1000.0,2009,5
104,2009-06-01,142700.0,Chattisgarh,Durg,Maize,14.3,1005.0,1005.0,1005.0,2009,6
113,2009-07-01,150247.0,Chattisgarh,Durg,Maize,30.0,1050.0,1050.0,1050.0,2009,7
120,2009-08-01,157750.0,Chattisgarh,Durg,Maize,25.2,1050.0,1050.0,1050.0,2009,8
127,2009-09-01,168634.0,Chattisgarh,Durg,Maize,3.0,1000.0,1000.0,1000.0,2009,9
133,2009-10-01,174658.0,Chattisgarh,Durg,Maize,17.0,1150.0,1150.0,1150.0,2009,10
139,2009-11-01,183663.0,Chattisgarh,Durg,Maize,30.0,1100.0,1100.0,1100.0,2009,11
147,2009-12-01,200159.0,Chattisgarh,Durg,Maize,17.0,1300.0,1300.0,1300.0,2009,12
148,2010-01-01,204455.0,Chattisgarh,Durg,Maize,17.0,1350.0,1350.0,1350.0,2010,1
150,2010-02-01,,Chattisgarh,Durg,Maize,39.779553571428586,1323.2767857142858,1347.1607142857142,1333.7767857142858,2010,2
151,2010-03-01,221783.0,Chattisgarh,Durg,Maize,17.04,1100.0,1100.0,1100.0,2010,3
166,2010-04-01,230525.0,Chattisgarh,Durg,Maize,72.96,1115.0,1150.0,1150.0,2010,4
194,2010-05-01,244712.0,Chattisgarh,Durg,Maize,60.5,1000.0,1105.0,1100.0,2010,5
231,2010-06-01,256143.0,Chattisgarh,Durg,Maize,67.14,1200.0,1225.0,1200.0,2010,6
270,2010-07-01,266378.0,Chattisgarh,Durg,Maize,114.9,1200.0,1225.0,1200.0,2010,7
312,2010-08-01,276464.0,Chattisgarh,Durg,Maize,64.4,1200.0,1250.0,1250.0,2010,8
346,2010-09-01,286298.0,Chattisgarh,Durg,Maize,114.0,1219.0,1293.0,1256.0,2010,9
375,2010-10-01,295565.0,Chattisgarh,Durg,Maize,13.13,1000.0,1000.0,1000.0,2010,10
410,2010-11-01,306083.0,Chattisgarh,Durg,Maize,212.8,1217.0,1230.0,1223.0,2010,11
432,2010-12-01,314239.0,Chattisgarh,Durg,Maize,43.5,1298.0,1305.0,1301.0,2010,12
458,2011-01-01,323832.0,Chattisgarh,Durg,Maize,69.3,1292.0,1300.0,1296.0,2011,1
482,2011-02-01,333620.0,Chattisgarh,Durg,Maize,63.2,1335.0,1360.0,1347.0,2011,2
505,2011-03-01,342972.0,Chattisgarh,Durg,Maize,84.2,1295.0,1330.0,1312.0,2011,3
535,2011-04-01,352952.0,Chattisgarh,Durg,Maize,286.77,1125.0,1300.0,1125.0,2011,4
582,2011-05-01,365439.0,Chattisgarh,Durg,Maize,130.0,1120.0,1120.0,1120.0,2011,5
620,2011-06-01,378570.0,Chattisgarh,Durg,Maize,105.4,1093.0,1138.0,1115.0,2011,6
652,2011-07-01,389714.0,Chattisgarh,Durg,Maize,23.1,1127.0,1150.0,1138.0,2011,7
686,2011-08-01,400859.0,Chattisgarh,Durg,Maize,14.9,1152.0,1155.0,1153.0,2011,8
709,2011-09-01,411447.0,Chattisgarh,Durg,Maize,9.7,1105.0,1118.0,1111.0,2011,9
733,2011-10-01,421769.0,Chattisgarh,Durg,Maize,27.6,1120.0,1130.0,1125.0,2011,10
753,2011-11-01,430314.0,Chattisgarh,Durg,Maize,9.9,1125.0,1130.0,1127.0,2011,11
779,2011-12-01,440595.0,Chattisgarh,Durg,Maize,20.5,1125.0,1125.0,1125.0,2011,12
804,2012-01-01,451149.0,Chattisgarh,Durg,Maize,17.5,1160.0,1165.0,1162.0,2012,1
829,2012-02-01,460036.0,Chattisgarh,Durg,Maize,19.4,1205.0,1210.0,1207.0,2012,2
852,2012-03-01,468161.0,Chattisgarh,Durg,Maize,25.8,1205.0,1230.0,1217.0,2012,3
893,2012-04-01,477433.0,Chattisgarh,Durg,Maize,69.44,1120.0,1130.0,1120.0,2012,4
938,2012-05-01,489693.0,Chattisgarh,Durg,Maize,38.05,1120.0,1120.0,1120.0,2012,5
988,2012-06-01,503865.0,Chattisgarh,Durg,Maize,56.0,1165.0,1172.0,1168.0,2012,6
1026,2012-07-01,515218.0,Chattisgarh,Durg,Maize,33.78,1125.0,1220.0,1125.0,2012,7
1065,2012-08-01,526590.0,Chattisgarh,Durg,Maize,70.9,1345.0,1435.0,1390.0,2012,8
1100,2012-09-01,537010.0,Chattisgarh,Durg,Maize,48.2,1480.0,1590.0,1535.0,2012,9
1132,2012-10-01,548163.0,Chattisgarh,Durg,Maize,31.1,1370.0,1485.0,1427.0,2012,10
1153,2012-11-01,559458.0,Chattisgarh,Durg,Maize,9.0,1475.0,1475.0,1475.0,2012,11
