,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,1491.0,Chattisgarh,Surguja,Maize,2.4,1000.0,1000.0,1000.0,2008,1
9,2008-02-01,8245.0,Chattisgarh,Surguja,Maize,16.0,800.0,800.0,800.0,2008,2
21,2008-03-01,17149.0,Chattisgarh,Surguja,Maize,12.0,800.0,800.0,800.0,2008,3
32,2008-04-01,26171.0,Chattisgarh,Surguja,Maize,1.3,800.0,800.0,800.0,2008,4
48,2008-05-01,37133.0,Chattisgarh,Surguja,Maize,3.0,1000.0,1000.0,1000.0,2008,5
77,2008-06-01,48530.0,Chattisgarh,Surguja,Maize,7.0,1000.0,1000.0,1000.0,2008,6
95,2008-07-01,57438.0,Chattisgarh,Surguja,Maize,19.0,1000.0,1000.0,1000.0,2008,7
121,2008-08-01,65914.0,Chattisgarh,Surguja,Maize,4.5,1050.0,1050.0,1050.0,2008,8
142,2008-09-01,71968.0,Chattisgarh,Surguja,Maize,12.0,1000.0,1000.0,1000.0,2008,9
163,2008-10-01,80035.0,Chattisgarh,Surguja,Maize,5.0,1000.0,1000.0,1000.0,2008,10
177,2008-11-01,85257.0,Chattisgarh,Surguja,Maize,1.5,1000.0,1000.0,1000.0,2008,11
196,2008-12-01,93210.0,Chattisgarh,Surguja,Maize,20.0,1020.0,1020.0,1020.0,2008,12
213,2009-01-01,100103.0,Chattisgarh,Surguja,Maize,0.5,1050.0,1050.0,1050.0,2009,1
230,2009-02-01,108735.0,Chattisgarh,Surguja,Maize,1.2,1000.0,1000.0,1000.0,2009,2
246,2009-03-01,114934.0,Chattisgarh,Surguja,Maize,12.0,1100.0,1100.0,1100.0,2009,3
260,2009-04-01,122838.0,Chattisgarh,Surguja,Maize,16.0,1000.0,1000.0,1000.0,2009,4
279,2009-05-01,134828.0,Chattisgarh,Surguja,Maize,20.0,1100.0,1100.0,1100.0,2009,5
