,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,4.0,Gujarat,Amreli,Maize,85.0,955.0,1145.0,1070.0,2008,1
127,2008-02-01,8247.0,Gujarat,Amreli,Maize,46.5,1005.0,1145.0,1075.0,2008,2
266,2008-03-01,16704.0,Gujarat,Amreli,Maize,113.5,875.0,1185.0,1060.0,2008,3
375,2008-04-01,24897.0,Gujarat,Amreli,Maize,3.2,970.0,1020.0,1000.0,2008,4
560,2008-05-01,36687.0,Gujarat,Amreli,Maize,1.6,930.0,950.0,935.0,2008,5
721,2008-06-01,48534.0,Gujarat,Amreli,Maize,310.0,890.0,1060.0,960.0,2008,6
839,2008-07-01,57070.0,Gujarat,Amreli,Maize,47.5,855.0,1105.0,1030.0,2008,7
967,2008-08-01,65649.0,Gujarat,Amreli,Maize,60.0,985.0,1155.0,1065.0,2008,8
1066,2008-09-01,71971.0,Gujarat,Amreli,Maize,152.5,930.0,1150.0,1060.0,2008,9
1179,2008-10-01,79785.0,Gujarat,Amreli,Maize,2.0,905.0,1130.0,1018.0,2008,10
1260,2008-11-01,85548.0,Gujarat,Amreli,Maize,94.0,895.0,1155.0,1050.0,2008,11
1385,2008-12-01,92319.0,Gujarat,Amreli,Maize,70.0,965.0,1145.0,1075.0,2008,12
1516,2009-01-01,99802.0,Gujarat,Amreli,Maize,79.0,1040.0,1255.0,1150.0,2009,1
1636,2009-02-01,107490.0,Gujarat,Amreli,Maize,68.5,995.0,1220.0,1150.0,2009,2
1794,2009-03-01,114937.0,Gujarat,Amreli,Maize,107.0,950.0,1250.0,1100.0,2009,3
1954,2009-04-01,122551.0,Gujarat,Amreli,Maize,120.0,1050.0,1260.0,1155.0,2009,4
2171,2009-05-01,133947.0,Gujarat,Amreli,Maize,104.0,1470.0,1470.0,1470.0,2009,5
2371,2009-06-01,142438.0,Gujarat,Amreli,Maize,71.5,1010.0,1230.0,1125.0,2009,6
2477,2009-07-01,149711.0,Gujarat,Amreli,Maize,25.0,1020.0,1230.0,1100.0,2009,7
2627,2009-08-01,157371.0,Gujarat,Amreli,Maize,16.1,1095.0,1355.0,1240.0,2009,8
2721,2009-09-01,165096.0,Gujarat,Amreli,Maize,30.5,960.0,1375.0,1255.0,2009,9
2835,2009-10-01,174080.0,Gujarat,Amreli,Maize,35.9,1280.0,1280.0,1280.0,2009,10
2940,2009-11-01,183458.0,Gujarat,Amreli,Maize,70.8,1330.0,1655.0,1555.0,2009,11
3099,2009-12-01,193060.0,Gujarat,Amreli,Maize,46.2,1280.0,1635.0,1535.0,2009,12
3255,2010-01-01,202582.0,Gujarat,Amreli,Maize,51.3,1395.0,1640.0,1555.0,2010,1
3406,2010-02-01,211454.0,Gujarat,Amreli,Maize,43.0,1225.0,1530.0,1470.0,2010,2
3550,2010-03-01,220680.0,Gujarat,Amreli,Maize,46.4,1220.0,1470.0,1400.0,2010,3
3688,2010-04-01,230852.0,Gujarat,Amreli,Maize,75.5,1115.0,1585.0,1450.0,2010,4
3849,2010-05-01,244720.0,Gujarat,Amreli,Maize,0.36,1375.0,1430.0,1400.0,2010,5
3977,2010-06-01,256151.0,Gujarat,Amreli,Maize,27.5,1155.0,1520.0,1385.0,2010,6
4105,2010-07-01,266383.0,Gujarat,Amreli,Maize,18.7,1105.0,1455.0,1365.0,2010,7
4216,2010-08-01,276471.0,Gujarat,Amreli,Maize,18.4,1125.0,1460.0,1350.0,2010,8
4341,2010-09-01,287368.0,Gujarat,Amreli,Maize,17.9,1000.0,1545.0,1400.0,2010,9
4448,2010-10-01,295572.0,Gujarat,Amreli,Maize,18.8,1080.0,1540.0,1275.0,2010,10
4568,2010-11-01,305721.0,Gujarat,Amreli,Maize,32.7,1130.0,1800.0,1565.0,2010,11
4659,2010-12-01,314244.0,Gujarat,Amreli,Maize,30.6,1210.0,1690.0,1540.0,2010,12
4793,2011-01-01,323838.0,Gujarat,Amreli,Maize,34.5,1275.0,1735.0,1590.0,2011,1
4940,2011-02-01,333625.0,Gujarat,Amreli,Maize,21.9,1275.0,1595.0,1515.0,2011,2
5081,2011-03-01,342977.0,Gujarat,Amreli,Maize,167.3,1010.0,1360.0,1185.0,2011,3
5228,2011-04-01,353269.0,Gujarat,Amreli,Maize,3.12,980.0,1015.0,1000.0,2011,4
5391,2011-05-01,365686.0,Gujarat,Amreli,Maize,279.5,960.0,1175.0,1100.0,2011,5
5552,2011-06-01,378577.0,Gujarat,Amreli,Maize,158.6,950.0,1105.0,1000.0,2011,6
5702,2011-07-01,389721.0,Gujarat,Amreli,Maize,99.5,1010.0,1195.0,1090.0,2011,7
5833,2011-08-01,400865.0,Gujarat,Amreli,Maize,15.7,970.0,1065.0,1035.0,2011,8
5932,2011-09-01,411062.0,Gujarat,Amreli,Maize,199.2,950.0,1175.0,1060.0,2011,9
6075,2011-10-01,421271.0,Gujarat,Amreli,Maize,113.5,915.0,1150.0,1020.0,2011,10
6177,2011-11-01,429961.0,Gujarat,Amreli,Maize,60.3,1480.0,1480.0,1480.0,2011,11
6316,2011-12-01,440597.0,Gujarat,Amreli,Maize,42.5,1000.0,1245.0,1085.0,2011,12
6481,2012-01-01,451155.0,Gujarat,Amreli,Maize,85.0,1010.0,1330.0,1190.0,2012,1
6639,2012-02-01,460042.0,Gujarat,Amreli,Maize,46.5,1050.0,1220.0,1150.0,2012,2
6760,2012-03-01,468165.0,Gujarat,Amreli,Maize,46.5,1025.0,1285.0,1200.0,2012,3
6881,2012-04-01,477531.0,Gujarat,Amreli,Maize,53.0,2535.0,2560.0,2560.0,2012,4
7016,2012-05-01,489697.0,Gujarat,Amreli,Maize,79.5,1010.0,1455.0,1280.0,2012,5
7164,2012-06-01,504284.0,Gujarat,Amreli,Maize,25.0,1095.0,1435.0,1200.0,2012,6
7308,2012-07-01,515225.0,Gujarat,Amreli,Maize,24.5,1110.0,1445.0,1290.0,2012,7
7454,2012-08-01,526596.0,Gujarat,Amreli,Maize,11.5,1350.0,1705.0,1550.0,2012,8
7554,2012-09-01,537016.0,Gujarat,Amreli,Maize,13.0,1400.0,1815.0,1670.0,2012,9
7677,2012-10-01,548171.0,Gujarat,Amreli,Maize,11.4,1465.0,1580.0,1535.0,2012,10
7790,2012-11-01,559021.0,Gujarat,Amreli,Maize,34.9,1000.0,1825.0,1625.0,2012,11
7872,2012-12-01,568578.0,Gujarat,Amreli,Maize,35.3,1635.0,1850.0,1770.0,2012,12
7993,2013-01-01,578735.0,Gujarat,Amreli,Maize,28.3,1515.0,1830.0,1750.0,2013,1
8118,2013-02-01,588687.0,Gujarat,Amreli,Maize,21.8,1445.0,1825.0,1750.0,2013,2
8226,2013-03-01,597264.0,Gujarat,Amreli,Maize,25.0,1575.0,1840.0,1775.0,2013,3
8339,2013-04-01,606749.0,Gujarat,Amreli,Maize,49.9,1340.0,2260.0,1780.0,2013,4
8462,2013-05-01,620054.0,Gujarat,Amreli,Maize,26.0,1355.0,2155.0,1700.0,2013,5
8590,2013-06-01,633439.0,Gujarat,Amreli,Maize,13.7,1505.0,1955.0,1875.0,2013,6
8692,2013-07-01,644762.0,Gujarat,Amreli,Maize,4.6,1645.0,1925.0,1880.0,2013,7
8814,2013-08-01,656012.0,Gujarat,Amreli,Maize,3.0,1500.0,1895.0,1680.0,2013,8
8902,2013-09-01,665394.0,Gujarat,Amreli,Maize,12.0,1560.0,1820.0,1765.0,2013,9
9031,2013-10-01,675651.0,Gujarat,Amreli,Maize,8.6,1655.0,2100.0,2100.0,2013,10
9153,2013-11-01,686803.0,Gujarat,Amreli,Maize,7.0,1600.0,2510.0,2080.0,2013,11
9258,2013-12-01,694450.0,Gujarat,Amreli,Maize,27.0,1405.0,2210.0,1900.0,2013,12
9377,2014-01-01,702844.0,Gujarat,Amreli,Maize,10.0,1575.0,2075.0,1990.0,2014,1
9504,2014-02-01,712729.0,Gujarat,Amreli,Maize,8.6,1855.0,2145.0,2015.0,2014,2
9615,2014-03-01,721473.0,Gujarat,Amreli,Maize,136.5,1310.0,1855.0,1575.0,2014,3
9737,2014-04-01,731823.0,Gujarat,Amreli,Maize,432.5,1500.0,3650.0,3650.0,2014,4
9885,2014-05-01,743971.0,Gujarat,Amreli,Maize,80.1,2220.0,2220.0,2220.0,2014,5
10052,2014-06-01,757982.0,Gujarat,Amreli,Maize,37.2,1405.0,1745.0,1705.0,2014,6
10180,2014-07-01,769123.0,Gujarat,Amreli,Maize,14.4,1450.0,1850.0,1590.0,2014,7
10323,2014-08-01,780683.0,Gujarat,Amreli,Maize,13.7,1350.0,1865.0,1815.0,2014,8
10434,2014-09-01,791131.0,Gujarat,Amreli,Maize,13.8,1440.0,1740.0,1715.0,2014,9
10583,2014-10-01,802653.0,Gujarat,Amreli,Maize,20.6,1350.0,1730.0,1690.0,2014,10
10667,2014-11-01,812310.0,Gujarat,Amreli,Maize,19.4,1475.0,1905.0,1885.0,2014,11
10816,2014-12-01,823233.0,Gujarat,Amreli,Maize,26.7,1535.0,1720.0,1605.0,2014,12
10983,2015-01-01,835140.0,Gujarat,Amreli,Maize,22.4,1425.0,1845.0,1810.0,2015,1
11119,2015-02-01,846839.0,Gujarat,Amreli,Maize,20.0,1485.0,1840.0,1755.0,2015,2
11231,2015-03-01,857171.0,Gujarat,Amreli,Maize,25.0,1345.0,1655.0,1555.0,2015,3
11346,2015-04-01,868268.0,Gujarat,Amreli,Maize,209.5,3005.0,3005.0,3005.0,2015,4
11478,2015-05-01,880928.0,Gujarat,Amreli,Maize,71.4,1245.0,1865.0,1665.0,2015,5
11610,2015-06-01,895088.0,Gujarat,Amreli,Maize,55.9,1275.0,1785.0,1700.0,2015,6
11731,2015-07-01,907957.0,Gujarat,Amreli,Maize,271.0,1250.0,1685.0,1665.0,2015,7
11843,2015-08-01,920236.0,Gujarat,Amreli,Maize,23.8,1250.0,1690.0,1655.0,2015,8
11959,2015-09-01,931641.0,Gujarat,Amreli,Maize,24.2,1350.0,1865.0,1730.0,2015,9
12060,2015-10-01,943407.0,Gujarat,Amreli,Maize,0.1,1380.0,1380.0,1380.0,2015,10
12171,2015-11-01,955282.0,Gujarat,Amreli,Maize,39.4,1385.0,2090.0,1875.0,2015,11
12269,2015-12-01,965129.0,Gujarat,Amreli,Maize,40.3,1550.0,2180.0,1905.0,2015,12
12401,2016-01-01,976627.0,Gujarat,Amreli,Maize,10.6,1430.0,2035.0,1980.0,2016,1
