,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,9.0,Gujarat,Anand,Maize,1.2,1022.0,1550.0,1485.0,2008,1
76,2008-02-01,8253.0,Gujarat,Anand,Maize,1.4,1022.0,1550.0,1485.0,2008,2
153,2008-03-01,16712.0,Gujarat,Anand,Maize,1.1,1000.0,1250.0,1225.0,2008,3
230,2008-04-01,24900.0,Gujarat,Anand,Maize,4.5,975.0,1025.0,1020.0,2008,4
312,2008-05-01,36691.0,Gujarat,Anand,Maize,128.5,1500.0,1550.0,1520.0,2008,5
383,2008-06-01,48539.0,Gujarat,Anand,Maize,1.9,900.0,1050.0,1050.0,2008,6
432,2008-07-01,57075.0,Gujarat,Anand,Maize,5.6,975.0,1000.0,1000.0,2008,7
448,2008-08-01,65654.0,Gujarat,Anand,Maize,2.1,950.0,1050.0,1050.0,2008,8
467,2008-09-01,71976.0,Gujarat,Anand,Maize,1.2,1500.0,1600.0,1550.0,2008,9
521,2008-10-01,79191.0,Gujarat,Anand,Maize,1.5,950.0,1000.0,1000.0,2008,10
565,2008-11-01,86126.0,Gujarat,Anand,Maize,1.2,950.0,1050.0,1050.0,2008,11
627,2008-12-01,92324.0,Gujarat,Anand,Maize,11.5,1000.0,1100.0,1050.0,2008,12
664,2009-01-01,99808.0,Gujarat,Anand,Maize,1.8,950.0,1050.0,1050.0,2009,1
678,2009-02-01,107786.0,Gujarat,Anand,Maize,4.2,1050.0,1075.0,1075.0,2009,2
690,2009-03-01,114943.0,Gujarat,Anand,Maize,15.5,1075.0,1100.0,1080.0,2009,3
727,2009-04-01,122553.0,Gujarat,Anand,Maize,224.2,1075.0,1100.0,1080.0,2009,4
765,2009-05-01,133956.0,Gujarat,Anand,Maize,21.3,1075.0,1100.0,1080.0,2009,5
793,2009-06-01,142444.0,Gujarat,Anand,Maize,2.1,1075.0,1100.0,1080.0,2009,6
835,2009-07-01,149715.0,Gujarat,Anand,Maize,20.8,1075.0,1100.0,1080.0,2009,7
871,2009-08-01,157379.0,Gujarat,Anand,Maize,20.8,1075.0,1100.0,1080.0,2009,8
903,2009-09-01,165451.0,Gujarat,Anand,Maize,1.1,1050.0,1150.0,1075.0,2009,9
928,2009-10-01,175524.0,Gujarat,Anand,Maize,1.2,1100.0,1180.0,1150.0,2009,10
932,2009-11-01,186575.0,Gujarat,Anand,Maize,1.1,1200.0,1300.0,1250.0,2009,11
945,2009-12-01,195063.0,Gujarat,Anand,Maize,1.0,1300.0,1400.0,1350.0,2009,12
953,2010-01-01,202589.0,Gujarat,Anand,Maize,0.5,950.0,1100.0,1040.0,2010,1
961,2010-02-01,211856.0,Gujarat,Anand,Maize,0.5,1200.0,1350.0,1325.0,2010,2
971,2010-03-01,220687.0,Gujarat,Anand,Maize,1.5,1150.0,1200.0,1175.0,2010,3
1011,2010-04-01,230529.0,Gujarat,Anand,Maize,17.4,1100.0,1200.0,1100.0,2010,4
1053,2010-05-01,245302.0,Gujarat,Anand,Maize,7.0,1050.0,1150.0,1100.0,2010,5
1084,2010-06-01,258679.0,Gujarat,Anand,Maize,0.6,1000.0,1200.0,1200.0,2010,6
1093,2010-07-01,267784.0,Gujarat,Anand,Maize,1.2,1100.0,1150.0,1100.0,2010,7
1097,2010-08-01,277992.0,Gujarat,Anand,Maize,0.3,1100.0,1200.0,1100.0,2010,8
1104,2010-09-01,290881.0,Gujarat,Anand,Maize,0.4,1075.0,1175.0,1100.0,2010,9
1105,2010-10-01,297857.0,Gujarat,Anand,Maize,0.3,1000.0,1250.0,1250.0,2010,10
1108,2010-11-01,,Gujarat,Anand,Maize,11.818556701030925,1277.9278350515465,1408.8659793814434,1365.8247422680413,2010,11
1109,2010-12-01,321606.0,Gujarat,Anand,Maize,0.3,1125.0,1250.0,1200.0,2010,12
1111,2011-01-01,329658.0,Gujarat,Anand,Maize,0.9,1175.0,1300.0,1175.0,2011,1
1113,2011-02-01,334385.0,Gujarat,Anand,Maize,0.2,1150.0,1250.0,1150.0,2011,2
1119,2011-03-01,342982.0,Gujarat,Anand,Maize,0.9,1200.0,1225.0,1200.0,2011,3
